state_id,station,propagated_lower,propagated_upper,selector_state_count,selector_min,selector_max,domain_contiguous_complete,old_product_bit_count,old_binary_code_count,invalid_or_unreachable_codes_excluded
D1,1,9,35,27,9,35,True,6,64,37
D1,2,0,26,27,0,26,True,5,32,5
D1,3,0,29,30,0,29,True,6,64,34
D1,4,0,25,26,0,25,True,5,32,6
D1,5,0,20,21,0,20,True,5,32,11
D1,6,0,34,35,0,34,True,6,64,29
D1,7,0,30,31,0,30,True,6,64,33
D1,8,0,29,30,0,29,True,6,64,34
D1,9,1,20,20,1,20,True,5,32,12
D1,10,0,30,31,0,30,True,6,64,33
D1,11,11,47,37,11,47,True,6,64,27
D1,12,14,46,33,14,46,True,6,64,31
D2,1,22,33,12,22,33,True,6,64,52
D2,2,0,23,24,0,23,True,5,32,8
D2,3,5,23,19,5,23,True,6,64,45
D2,4,0,7,8,0,7,True,5,32,24
D2,5,0,18,19,0,18,True,6,64,45
D2,6,18,26,9,18,26,True,5,32,23
D2,7,8,20,13,8,20,True,5,32,19
D2,8,27,47,21,27,47,True,6,64,43
D2,9,0,15,16,0,15,True,6,64,48
D2,10,0,12,13,0,12,True,5,32,19
D3,1,13,26,14,13,26,True,5,32,18
D3,2,0,17,18,0,17,True,6,64,46
D3,3,0,18,19,0,18,True,6,64,45
D3,4,6,28,23,6,28,True,6,64,41
D3,5,11,23,13,11,23,True,5,32,19
D3,6,0,14,15,0,14,True,5,32,17
D3,7,11,26,16,11,26,True,5,32,16
D3,8,28,42,15,28,42,True,6,64,49
D3,9,25,47,23,25,47,True,6,64,41
D3,10,0,16,17,0,16,True,6,64,47
D3,11,3,23,21,3,23,True,6,64,43
D3,12,2,21,20,2,21,True,5,32,12
D4,1,13,26,14,13,26,True,5,32,18
D4,2,0,17,18,0,17,True,6,64,46
D4,3,0,18,19,0,18,True,6,64,45
D4,4,6,28,23,6,28,True,6,64,41
D4,5,11,23,13,11,23,True,5,32,19
D4,6,0,14,15,0,14,True,5,32,17
D4,7,11,26,16,11,26,True,5,32,16
D4,8,28,42,15,28,42,True,6,64,49
D4,9,25,47,23,25,47,True,6,64,41
D4,10,0,16,17,0,16,True,6,64,47
D4,11,3,23,21,3,23,True,6,64,43
D4,12,2,21,20,2,21,True,5,32,12
D5,1,13,26,14,13,26,True,5,32,18
D5,2,0,17,18,0,17,True,6,64,46
D5,3,0,18,19,0,18,True,6,64,45
D5,4,6,28,23,6,28,True,6,64,41
D5,5,11,23,13,11,23,True,5,32,19
D5,6,0,14,15,0,14,True,5,32,17
D5,7,11,26,16,11,26,True,5,32,16
D5,8,28,42,15,28,42,True,6,64,49
D5,9,25,47,23,25,47,True,6,64,41
D5,10,0,16,17,0,16,True,6,64,47
