stage,state_id,arm,baseline_certificate,candidate_certificate,certificate_gain,certificate_loss,baseline_work,candidate_work,shifted_work_ratio,baseline_gi,candidate_gi,gi_ratio,baseline_gap,candidate_gap,severe_regression,severe_reason,material_improvement,material_reason
fixed_interval_confirmation_1800s,D1,VD-P,True,True,0,0,431.25578561192424,489.6418983424289,1.135073062464277,0.010120212734284185,0.012623715332743117,1.2473764795210731,3.0838466209851717e-16,0,False,none,False,none
fixed_interval_confirmation_1800s,E_MAJOR_L,VD-P,True,True,0,0,1296.5316647339318,440.1318770335075,0.33997773543658744,0.021204770053529734,0.010432833827417236,0.49200410103898246,0,3.0838466209851717e-16,False,none,True,exact_work_reduction
fixed_interval_confirmation_1800s,E_MAJOR_R,VD-P,True,True,0,0,274.44725879742987,90.33342531264108,0.3315822626494524,0.006494315862088157,0.0027402162832357844,0.4219407158512868,3.0151384400436336e-16,0,False,none,True,exact_work_reduction
fixed_interval_confirmation_1800s,D3,VD-P,True,True,0,0,237.58013341940048,79.27804063043503,0.336482503718422,0.013792543805922044,0.004274432872805317,0.3099089575963582,2.1926290088907398e-16,2.1926290088907398e-16,False,none,True,exact_work_reduction
fixed_interval_confirmation_1800s,D4,VD-P,True,True,0,0,76.62864505252162,55.140254521244074,0.7231899317998011,0.004434429584847824,0.0034167796620100917,0.770511651355229,0,1.5348403062235178e-15,False,none,True,exact_work_reduction
fixed_interval_confirmation_1800s,D5,VD-P,True,True,0,0,2.410371655279133,3.3723586486444277,1.282076879180066,0.00011737181212130953,0.00011929127591571159,1.0163537031878191,0,0,False,none,False,none
fixed_interval_confirmation_1800s,D6,VD-P,True,True,0,0,6.662700217151986,2.9145841756487165,0.5108622371636586,0.00037132854154338027,0.00020324831651799349,0.5473544159192909,0,4.715970918658353e-16,False,none,False,none
fixed_interval_confirmation_1800s,D7,VD-P,True,True,0,0,3.558399959665791,2.5792473120940884,0.7851981712364943,0.000231466555314478,0.00019636533230861554,0.8483529389093568,0,0,False,none,False,none
fixed_interval_confirmation_1800s,D8,VD-P,True,True,0,0,0.25206055457594456,0.27186509710172946,1.0158175596646701,5.74439802098669e-05,5.536330101276752e-05,0.9637789868794472,0,0,False,none,False,none
fixed_interval_confirmation_1800s,D9,VD-P,False,True,1,0,3576.7834239137674,1758.569829990204,0.4918044558620588,0.08329211498180326,0.020656674917980216,0.248002766207162,0.06447458204854062,1.8482018057861296e-16,False,none,True,certificate_gain
fixed_interval_confirmation_1800s,D10,VD-P,True,True,0,0,199.30559044359478,42.197914643001795,0.21566005495571103,0.0025727922159662162,0.0008631141825575604,0.33547760983797087,0,0,False,none,True,exact_work_reduction
fixed_interval_confirmation_1800s,D11,VD-P,True,True,0,0,845.69208109825,743.0314361813989,0.8787509093226793,0.008108922119553181,0.008512091599537716,1.0497192443077787,0,0,False,none,True,exact_work_reduction
fixed_interval_confirmation_1800s,D12,VD-P,True,True,0,0,115.8245560515515,57.06489188985857,0.497026428794954,0.008752969347615198,0.005444252541481645,0.6219892159616641,1.3725171758618295e-15,6.862585879309148e-16,False,none,True,exact_work_reduction
fixed_interval_confirmation_1800s,C1,VD-P,False,True,1,0,56.21245087379639,50.31103836859105,0.8968509054397419,0.0070385521111031996,0.004869107626595325,0.6917768811035172,1.7913702960484084e-07,8.578232349136435e-15,False,none,True,certificate_gain
fixed_interval_confirmation_1800s,C2,VD-P,True,True,0,0,13.644224709072239,9.919515811664617,0.7456533909166165,0.0005413424714482408,0.0004343567410383252,0.802369598073344,0,0,False,none,False,none
fixed_interval_confirmation_1800s,D13,VD-P,True,True,0,0,469.8380750590921,370.2633658025567,0.7885160216831691,0.0032156199298275547,0.002405666528745038,0.7481190506012098,0,4.454796736426031e-09,False,none,True,exact_work_reduction
fixed_interval_confirmation_1800s,D14,VD-P,False,False,0,0,2978.1577315117966,3203.494667041334,1.075637799619018,0.02223450105309859,0.02735361180939893,1.230232769507401,0.006853964088328837,0.014528450042149326,False,none,False,none
fixed_interval_confirmation_1800s,V50_MODERATE,VD-P,False,False,0,0,5341.731507025014,5605.444212402593,1.0493591536521776,0.27587315486145736,0.13954146316432756,0.5058174770027879,0.265638145119946,0.13204741382243007,False,none,True,capped_gi_reduction
fixed_interval_confirmation_1800s,V50_TIGHT2400,VD-P,False,False,0,0,5106.103577975429,4724.522464346801,0.9252842422710573,0.07539964514294982,0.03130300357251462,0.4151611524663312,0.05884035937594226,0.017594143327991286,False,none,False,none
