instance_id,role,V,M,Q,T,arm,preset,inner_policy,cap_seconds,completion_status,certificate,correctness_gate,false_certificate,lower_bound,verified_upper_bound,gap,work,process_time_seconds,initial_root_range,split_count,interval_count,adaptive_score_count,adaptive_action_sha256,native_target_count,exact_parent_closure_count,fixed_interval_model_count,model_build_seconds,lp_work,terminal_mip_work,peak_memory_gb,executable_sha256,artifact_dir,gi_300s,gi_1200s,gi_1800s,gi_3600s
tight_T_seed3102,tight3102,20,3,30,3600.0,K1-AM-SF,paper-k1-am-sf,interval-mip-core-no-exhaustive-subset-duration,3600,round31_c6_external_gini_tree_time_limit,False,True,False,0.5779306145694818,0.6007044366851081,0.03791185935183033,7724.611450628623,3598.0683021,"[0,0.60070443668510809]",1,2,2,95826af82a1d2927b031b726f7e58e30c8c35a41062325e55937fc851979af54,1,0,5,0.5975303,2.707593618554021,7720.729359774117,0.207741861,3af8caf33b0437c6609871d11855be32e9a65f3e351e645de1c0751a10c3f397,results/gf_k1_am_sf_station_state_chain_round55/local_raw/k1_integration/tight_T_seed3102__K1-AM-SF__3600s,0.20357102895210125,0.1142862242592183,0.099662148788593,0.07523674893638403
tight_T_seed3102,tight3102,20,3,30,3600.0,K1-AM-SF-CANDIDATE,research-k1-am-sf-vdp,round55-vd-p,3600,optimal,True,True,False,0.6007044366851051,0.6007044366851081,4.99014487562255e-15,1213.1992909627902,643.5289481,"[0,0.60070443668510809]",1,2,2,a7f86945bc7eb495d0c4ae3a8092c05f1543e359ab9d1269abb8aad1d7bb232b,1,0,5,0.6170971000000001,3.2398481847373746,1208.534249222031,0.176264584,3af8caf33b0437c6609871d11855be32e9a65f3e351e645de1c0751a10c3f397,results/gf_k1_am_sf_station_state_chain_round55/local_raw/k1_integration/tight_T_seed3102__K1-AM-SF-CANDIDATE__3600s,0.15564626311933502,0.04851587924129307,0.03234391949419538,0.01617195974709769
tight_T_seed3101,tight3101,20,3,30,3600.0,K1-AM-SF,paper-k1-am-sf,interval-mip-core-no-exhaustive-subset-duration,3600,round31_c6_external_gini_tree_time_limit,False,True,False,0.07609155411263963,0.10725273413394144,0.2905397263102543,7292.284818789092,3598.0611234,"[0,0.10725273413394144]",0,1,1,99334a08813846382bd19d5996eb0e76c0aa304d38e825665df278e329e17350,0,0,3,0.3445904,2.635842496327455,7289.648976292765,0.223391354,3af8caf33b0437c6609871d11855be32e9a65f3e351e645de1c0751a10c3f397,results/gf_k1_am_sf_station_state_chain_round55/local_raw/k1_integration/tight_T_seed3101__K1-AM-SF__3600s,0.5637750473301327,0.4873014991431584,0.45854543313200513,0.39708724339046936
tight_T_seed3101,tight3101,20,3,30,3600.0,K1-AM-SF-CANDIDATE,research-k1-am-sf-vdp,round55-vd-p,3600,optimal,True,True,False,0.10725273413394149,0.10725273413394144,0.0,5505.819166708103,2857.5976681,"[0,0.10725273413394144]",0,1,1,99334a08813846382bd19d5996eb0e76c0aa304d38e825665df278e329e17350,0,0,3,0.3672676,2.5110224411335613,5503.308144266969,0.25367178,3af8caf33b0437c6609871d11855be32e9a65f3e351e645de1c0751a10c3f397,results/gf_k1_am_sf_station_state_chain_round55/local_raw/k1_integration/tight_T_seed3101__K1-AM-SF-CANDIDATE__3600s,0.5332216752461906,0.44672847061364773,0.40752020759054003,0.2512213256687096
moderate_seed3301,moderate3301,20,3,30,3600.0,K1-AM-SF,paper-k1-am-sf,interval-mip-core-no-exhaustive-subset-duration,3600,round31_c6_external_gini_tree_time_limit,False,True,False,0.04796472692368177,0.04915255266474515,0.024166104844344193,6409.542635709168,3598.045682,"[0,0.04915255266474515]",1,2,2,8053f38ec41e1ea5ef68487b6002b27addbf2d695e16f2cd3e9d849080f20936,2,0,5,0.5807247,2.2334122533500005,6233.336431350692,0.245698465,3af8caf33b0437c6609871d11855be32e9a65f3e351e645de1c0751a10c3f397,results/gf_k1_am_sf_station_state_chain_round55/local_raw/k1_integration/moderate_seed3301__K1-AM-SF__3600s,0.22161819526140927,0.07429887205208761,0.05758794964950647,0.04087702724692533
moderate_seed3301,moderate3301,20,3,30,3600.0,K1-AM-SF-CANDIDATE,research-k1-am-sf-vdp,round55-vd-p,3600,round31_c6_external_gini_tree_time_limit,False,True,False,0.04867446664104542,0.04915255266474515,0.009726575686935609,6833.008652105732,3598.0668992,"[0,0.04915255266474515]",0,1,2,09bf29430dabf0e56db74959ddd6256d22fb9306758cbe1ddf567ec4298fd7a8,1,0,3,0.3737252,1.709954436685678,6828.127216790322,0.278840348,3af8caf33b0437c6609871d11855be32e9a65f3e351e645de1c0751a10c3f397,results/gf_k1_am_sf_station_state_chain_round55/local_raw/k1_integration/moderate_seed3301__K1-AM-SF-CANDIDATE__3600s,0.21629649528580064,0.07546743467876169,0.05557662314660898,0.03496932791186527
moderate_seed3302,moderate3302,20,3,30,3600.0,K1-AM-SF,paper-k1-am-sf,interval-mip-core-no-exhaustive-subset-duration,3600,round31_c6_external_gini_tree_time_limit,False,True,False,0.14818573746038854,0.19563620654901237,0.24254441407161587,7138.138206710629,3598.0550643,"[0,0.19563620654901237]",0,1,2,5d93152d2fbeb554400ca5b3df11aca884f263f1c4906540370e1e3350eb2cf7,1,0,3,0.3487052,3.4168970204320925,7133.235616893474,0.237288156,3af8caf33b0437c6609871d11855be32e9a65f3e351e645de1c0751a10c3f397,results/gf_k1_am_sf_station_state_chain_round55/local_raw/k1_integration/moderate_seed3302__K1-AM-SF__3600s,0.3193262502543422,0.27112865214917686,0.2643638463956224,0.254860458143269
moderate_seed3302,moderate3302,20,3,30,3600.0,K1-AM-SF-CANDIDATE,research-k1-am-sf-vdp,round55-vd-p,3600,round31_c6_external_gini_tree_time_limit,False,True,False,0.16127525088165504,0.19563620654901237,0.17563699620575576,7065.458345530129,3598.0711995,"[0,0.19563620654901237]",0,1,2,dde4b4cb821cbc3d59fa35ca46cdee67d84437a87272ee0fc65c41b519f6410c,1,0,3,0.3723065,3.402541199416699,7059.477769640307,0.316082977,3af8caf33b0437c6609871d11855be32e9a65f3e351e645de1c0751a10c3f397,results/gf_k1_am_sf_station_state_chain_round55/local_raw/k1_integration/moderate_seed3302__K1-AM-SF-CANDIDATE__3600s,0.26013377915046165,0.20938918764780332,0.20141093958564418,0.19030056261351755
round54_generalization_moderate_3600_V50_M2_Q20_seed1123418787,additional V50,50,2,20,3600.0,K1-AM-SF,paper-k1-am-sf,interval-mip-core-no-exhaustive-subset-duration,3600,round31_c6_external_gini_tree_time_limit,False,True,False,0.6081590587240411,0.6740399981388079,0.0977404005647743,9919.900594913852,3598.1123259,"[0,0.72751297198715226]",0,1,2,5cddb424dd8f07a89022bdadd7ab1d970d6d331e4aaa04f263a7c390023e65b8,1,0,3,3.2202904,13.023832717479117,9889.42558508936,0.833890148,3af8caf33b0437c6609871d11855be32e9a65f3e351e645de1c0751a10c3f397,results/gf_k1_am_sf_station_state_chain_round55/local_raw/k1_integration/round54_generalization_moderate_3600_V50_M2_Q20_seed1123418787__K1-AM-SF__3600s,0.305218432662336,0.21936585647065968,0.20620226055111882,0.1884187709275762
round54_generalization_moderate_3600_V50_M2_Q20_seed1123418787,additional V50,50,2,20,3600.0,K1-AM-SF-CANDIDATE,research-k1-am-sf-vdp,round55-vd-p,3600,round31_c6_external_gini_tree_time_limit,False,True,False,0.6595056979691036,0.6740399981388079,0.02156296393364944,10201.377435063612,3598.2317021,"[0,0.72751297198715226]",0,1,2,35d5d9fecb9bf9f202e257ad5a19ee49a07f1f3e36cf86d5bbd941363f173e11,1,0,3,3.3358986999999996,12.510480886432095,10171.549665442877,1.170867153,3af8caf33b0437c6609871d11855be32e9a65f3e351e645de1c0751a10c3f397,results/gf_k1_am_sf_station_state_chain_round55/local_raw/k1_integration/round54_generalization_moderate_3600_V50_M2_Q20_seed1123418787__K1-AM-SF-CANDIDATE__3600s,0.24188721227428794,0.14991918444261343,0.13421637586451288,0.11541774656555444
