state_id,arm,rows,columns,nonzeros,station_state_formulation,selector_variables,perspective_variables,aggregate_mccormick_rows,model_build_seconds
D1,F0-CLEAN,3764,1404,16888,bit-product,0,0,0,0.06728397711181641
D2,F0-CLEAN,2650,1037,10431,bit-product,0,0,0,0.05549474659423828
D3,F0-CLEAN,3757,1402,16319,bit-product,0,0,0,0.07635989318847657
D4,F0-CLEAN,3757,1402,16319,bit-product,0,0,0,0.06473686866455078
D5,F0-CLEAN,3757,1402,16465,bit-product,0,0,0,0.06923658773803712
D6,F0-CLEAN,2731,1014,11129,bit-product,0,0,0,0.05772040762939454
D7,F0-CLEAN,2731,1014,11129,bit-product,0,0,0,0.05675550762939453
D8,F0-CLEAN,2731,1014,11271,bit-product,0,0,0,0.054437749591064455
D9,F0-CLEAN,10870,3372,53465,bit-product,0,0,0,0.13946009155273437
D10,F0-CLEAN,10870,3372,53465,bit-product,0,0,0,0.13742314577636716
D11,F0-CLEAN,10870,3372,53705,bit-product,0,0,0,0.13741430653991699
D12,F0-CLEAN,3757,1402,16028,bit-product,0,0,0,0.06706674768371582
D13,F0-CLEAN,10884,3376,53713,bit-product,0,0,0,0.1389957514984131
D14,F0-CLEAN,10891,3378,53488,bit-product,0,0,0,0.13686870108947752
C1,F0-CLEAN,3757,1402,16028,bit-product,0,0,0,0.06284462969970703
C2,F0-CLEAN,3757,1402,16174,bit-product,0,0,0,0.06557814768371582
C3,F0-CLEAN,10905,3382,53522,bit-product,0,0,0,0.14432260081787107
C4,F0-CLEAN,10863,3370,53686,bit-product,0,0,0,0.13860537138977053
C5,F0-CLEAN,10870,3372,53446,bit-product,0,0,0,0.14536055040893558
C6,F0-CLEAN,1275,479,4696,bit-product,0,0,0,0.05412170299682617
C7,F0-CLEAN,1740,636,6877,bit-product,0,0,0,0.05192265449523925
C8,F0-CLEAN,1289,483,4987,bit-product,0,0,0,0.045346137057495114
C9,F0-CLEAN,1774,726,7318,bit-product,0,0,0,0.04947503051757812
V50_HIGH,F0-CLEAN,86739,18201,467768,bit-product,0,0,0,0.9890293686645508
V50_MODERATE,F0-CLEAN,86648,18175,467438,bit-product,0,0,0,1.0138630961853026
V50_TIGHT2400,F0-CLEAN,86655,18177,467573,bit-product,0,0,0,1.0116573305175782
V50_TIGHT2550,F0-CLEAN,86711,18193,467706,bit-product,0,0,0,1.009061163760376
D1,SF-MC4,3812,1404,16992,aggregate-mc4,0,0,48,0.09192864959106445
D2,SF-MC4,2690,1037,10521,aggregate-mc4,0,0,40,0.05727171907348633
D3,SF-MC4,3805,1402,16431,aggregate-mc4,0,0,48,0.09317853814697266
D4,SF-MC4,3805,1402,16431,aggregate-mc4,0,0,48,0.07168223160705567
D5,SF-MC4,3805,1402,16601,aggregate-mc4,0,0,48,0.0715916057220459
D6,SF-MC4,2779,1014,11241,aggregate-mc4,0,0,48,0.06594596267089843
D7,SF-MC4,2779,1014,11241,aggregate-mc4,0,0,48,0.07236978664855957
D8,SF-MC4,2779,1014,11407,aggregate-mc4,0,0,48,0.06425733515014649
D9,SF-MC4,10950,3372,53641,aggregate-mc4,0,0,80,0.15550723623962404
D10,SF-MC4,10950,3372,53641,aggregate-mc4,0,0,80,0.15663627030029298
D11,SF-MC4,10950,3372,53921,aggregate-mc4,0,0,80,0.15021340953674317
D12,SF-MC4,3805,1402,16140,aggregate-mc4,0,0,48,0.06671592016296386
D13,SF-MC4,10964,3376,53925,aggregate-mc4,0,0,80,0.1551579114440918
D14,SF-MC4,10971,3378,53654,aggregate-mc4,0,0,80,0.1395053400543213
C1,SF-MC4,3805,1402,16140,aggregate-mc4,0,0,48,0.06733162670288086
C2,SF-MC4,3805,1402,16310,aggregate-mc4,0,0,48,0.06724024768371582
C3,SF-MC4,10985,3382,53692,aggregate-mc4,0,0,80,0.14362617030029295
C4,SF-MC4,10943,3370,53898,aggregate-mc4,0,0,80,0.14250574005432126
C5,SF-MC4,10950,3372,53610,aggregate-mc4,0,0,80,0.1389325904632568
C6,SF-MC4,1315,479,4786,aggregate-mc4,0,0,40,0.04790326457824707
C7,SF-MC4,1788,636,6989,aggregate-mc4,0,0,48,0.08310868855590821
C8,SF-MC4,1329,483,5077,aggregate-mc4,0,0,40,0.04669800299682617
C9,SF-MC4,1806,726,7388,aggregate-mc4,0,0,32,0.052238337057495116
V50_HIGH,SF-MC4,86939,18201,468200,aggregate-mc4,0,0,200,1.0180701866485595
V50_MODERATE,SF-MC4,86848,18175,467862,aggregate-mc4,0,0,200,1.0142531324249267
V50_TIGHT2400,SF-MC4,86855,18177,468033,aggregate-mc4,0,0,200,1.012742636239624
V50_TIGHT2550,SF-MC4,86911,18193,468158,aggregate-mc4,0,0,200,1.0049887923706056
D1,VD-P,4008,1964,18164,vd-p,348,348,0,0.07670260762939453
D2,VD-P,2593,1235,10574,vd-p,154,154,0,0.06175865313415527
D3,VD-P,3740,1696,16682,vd-p,214,214,0,0.07429336566772461
D4,VD-P,3740,1696,16682,vd-p,214,214,0,0.07276665912780762
D5,VD-P,3740,1696,16908,vd-p,214,214,0,0.08968555531311034
D6,VD-P,2740,1324,11568,vd-p,220,220,0,0.062070956130981444
D7,VD-P,2740,1324,11568,vd-p,220,220,0,0.08275294768371583
D8,VD-P,2740,1324,11800,vd-p,220,220,0,0.06293725613098144
D9,VD-P,11346,4358,55812,vd-p,603,603,0,0.1653663656677246
D10,VD-P,11346,4358,55812,vd-p,603,603,0,0.15998076103515624
D11,VD-P,11346,4358,56435,vd-p,603,603,0,0.15542219128112794
D12,VD-P,3746,1702,16412,vd-p,217,217,0,0.07278490381469727
D13,VD-P,11286,4298,56161,vd-p,573,573,0,0.15176881716613772
D14,VD-P,11514,4526,56362,vd-p,687,687,0,0.15034319782104494
C1,VD-P,3746,1702,16412,vd-p,217,217,0,0.07840482670288085
C2,VD-P,3746,1702,16641,vd-p,217,217,0,0.06986523623962401
C3,VD-P,11424,4436,56051,vd-p,642,642,0,0.1634778972747803
C4,VD-P,11288,4300,56199,vd-p,574,574,0,0.15686511253356938
C5,VD-P,11480,4492,56250,vd-p,670,670,0,0.15999303896484374
C6,VD-P,1239,703,4920,vd-p,168,168,0,0.04919736457824707
C7,VD-P,1800,1012,7517,vd-p,256,256,0,0.05272822261657714
C8,VD-P,1487,951,6045,vd-p,292,292,0,0.05206170299682617
C9,VD-P,1926,1082,8122,vd-p,222,222,0,0.05377323705749512
V50_HIGH,VD-P,87778,20575,473189,vd-p,1474,1474,0,1.0433709828338622
V50_MODERATE,VD-P,88050,20847,474024,vd-p,1610,1610,0,1.0532062343322752
V50_TIGHT2400,VD-P,87260,20057,471413,vd-p,1215,1215,0,1.0331948068115233
V50_TIGHT2550,VD-P,87402,20199,471899,vd-p,1286,1286,0,1.018032342779541
D1,VD-J,4032,1964,18864,vd-j,348,348,0,0.08151128964538573
D2,VD-J,2613,1235,10893,vd-j,154,154,0,0.061895898092651364
D3,VD-J,3764,1696,17123,vd-j,214,214,0,0.08312048664855957
D4,VD-J,3764,1696,17123,vd-j,214,214,0,0.0770438722076416
D5,VD-J,3764,1696,17349,vd-j,214,214,0,0.08721387629394531
D6,VD-J,2764,1324,12019,vd-j,220,220,0,0.06686799318847657
D7,VD-J,2764,1324,12019,vd-j,220,220,0,0.06767715122680663
D8,VD-J,2764,1324,12251,vd-j,220,220,0,0.0650735836517334
D9,VD-J,11386,4358,57027,vd-j,603,603,0,0.17820291416931155
D10,VD-J,11386,4358,57027,vd-j,603,603,0,0.17178961716613772
D11,VD-J,11386,4358,57650,vd-j,603,603,0,0.1587526495910645
D12,VD-J,3770,1702,16859,vd-j,217,217,0,0.07746098773803711
D13,VD-J,11326,4298,57321,vd-j,573,573,0,0.160073536239624
D14,VD-J,11554,4526,57739,vd-j,687,687,0,0.15354860381469726
C1,VD-J,3770,1702,16859,vd-j,217,217,0,0.07588987820129395
C2,VD-J,3770,1702,17088,vd-j,217,217,0,0.12969453978271483
C3,VD-J,11464,4436,57340,vd-j,642,642,0,0.16958019645690914
C4,VD-J,11328,4300,57362,vd-j,574,574,0,0.16742332861022946
C5,VD-J,11520,4492,57592,vd-j,670,670,0,0.16535460272521973
C6,VD-J,1259,703,5268,vd-j,168,168,0,0.05346886457824707
C7,VD-J,1824,1012,8039,vd-j,256,256,0,0.05833438201599121
C8,VD-J,1507,951,6634,vd-j,292,292,0,0.05936758201599121
C9,VD-J,1942,1082,8569,vd-j,222,222,0,0.05635600953674316
V50_HIGH,VD-J,87878,20575,476181,vd-j,1474,1474,0,1.0359529544952393
V50_MODERATE,VD-J,88150,20847,477256,vd-j,1610,1610,0,1.0496117923706052
V50_TIGHT2400,VD-J,87360,20057,473881,vd-j,1215,1215,0,1.0714362133514403
V50_TIGHT2550,VD-J,87502,20199,474510,vd-j,1286,1286,0,1.0396799106262207
