run_id,record_type,checkpoint_seconds,observation_available,freshness,source_observation_time_seconds,observation_age_seconds,native_best_bound,processed_nodes,open_nodes,simplex_iterations,gini_branch_count,ordinary_branch_count,common_same_run_ub,same_run_project_gap
round23_stage1__tight_T_seed3101__s0c__300s,checkpoint,1,True,fresh,0.70263759999999997,0.2973624,0.0023119870487970859,0,1,6862,0,0,0.10725273413394144,0.9784435607402812
round23_stage1__tight_T_seed3101__s0c__300s,checkpoint,2,True,fresh,1.8910054000000001,0.10899459999999994,0.015309295602691647,0,1,11539,0,0,0.10725273413394144,0.8572596239497933
round23_stage1__tight_T_seed3101__s0c__300s,checkpoint,5,True,stale,3.0250789,1.9749211,0.016086380287779367,0,1,13821,0,0,0.10725273413394144,0.8500142638071113
round23_stage1__tight_T_seed3101__s0c__300s,checkpoint,10,True,fresh,9.9457944000000005,0.05420559999999952,0.01659546571709114,4,5,16254,4,0,0.10725273413394144,0.8452676675228991
round23_stage1__tight_T_seed3101__s0c__300s,checkpoint,15,True,fresh,14.437426,0.5625739999999997,0.032950501074147626,18,15,32066,15,1,0.10725273413394144,0.6927770528162225
round23_stage1__tight_T_seed3101__s0c__300s,checkpoint,20,True,fresh,19.9454706,0.05452939999999984,0.032950501074147626,33,20,39887,15,11,0.10725273413394144,0.6927770528162225
round23_stage1__tight_T_seed3101__s0c__300s,checkpoint,30,True,fresh,29.769290999999999,0.23070900000000094,0.03385175776796219,70,39,63261,24,30,0.10725273413394144,0.6843739412210529
round23_stage1__tight_T_seed3101__s0c__300s,checkpoint,45,True,fresh,44.727502100000002,0.27249789999999763,0.034222382651065003,125,50,106805,28,59,0.10725273413394144,0.6809183194497704
round23_stage1__tight_T_seed3101__s0c__300s,checkpoint,60,True,fresh,59.922657200000003,0.07734279999999671,0.034670396941139936,256,105,168931,46,134,0.10725273413394144,0.6767411365211242
round23_stage1__tight_T_seed3101__s0c__300s,checkpoint,90,True,fresh,89.988639000000006,0.011360999999993737,0.035256270614987359,620,294,293242,81,376,0.10725273413394144,0.6712785841808196
round23_stage1__tight_T_seed3101__s0c__300s,checkpoint,120,True,fresh,119.33319830000001,0.6668016999999935,0.036465290520458139,924,398,423327,95,566,0.10725273413394144,0.6600059586833577
round23_stage1__tight_T_seed3101__s0c__300s,checkpoint,180,True,fresh,179.97980419999999,0.020195800000010422,0.03800517633443555,1405,506,698549,99,857,0.10725273413394144,0.6456484150140808
round23_stage1__tight_T_seed3101__s0c__300s,checkpoint,240,True,fresh,238.2424431,1.7575568999999973,0.039345559108808673,1930,719,950232,108,1217,0.10725273413394144,0.6331509921260153
round23_stage1__tight_T_seed3101__s0c__300s,checkpoint,300,True,stale,262.00049259999997,37.99950740000003,0.039543179603393507,2153,799,1042293,116,1361,0.10725273413394144,0.6313084237646528
round23_stage1__tight_T_seed3101__s0c__300s,solver_final,solver_final,True,solver_final,262.00077279999999,0,0.039543179603393507,2153,799,1042293,116,1361,0.10725273413394144,0.6313084237646528
