stage,instance,family,V,arm,repetition,horizon_seconds,return_code,runner_wall_seconds,emergency_timeout,result_exists,status,completed_process,authoritative,verified_witness,correctness_gates,strict_certificate,certificate_class,certificate_wall_seconds,verified_ub,valid_final_lb,common_ub,common_ub_gap,bound_progress_auc,process_wall_seconds,work,lp_relaxation_count,lp_work,terminal_mip_leaf_count,terminal_mip_optimize_count,terminal_mip_work,split_count,optimize_count,model_count,model_read_count,model_build_count,model_free_count,environment_count,environment_free_count,peak_memory_gb,final_stagnation_seconds,open_leaf_count,closed_leaf_count,global_deadline_interruptions,same_leaf_restarts,fresh_restarts,child_restarts,attempt_count,hga_stop_mode,hga_generations,hga_no_improve_generations,hga_improvement_count,hga_decoder_calls,hga_final_fitness,hga_verified_objective,hga_wall_time_seconds,result_path,run_path
stage2,high_imbalance_seed3202,high_imbalance,20,C0-LEGACY,0,300,0,288.60900000017136,False,True,external_gini_tree_time_limit,True,True,True,True,False,certificate_rejected,,1.7493134520506337,1.6977171353269032,1.7493134520506337,0.02949518090268313,0.8603398666990046,288.5878706,533.5826187697095,0,0,0,0,0,2,11,8,8,8,0,1,0,0.321154301,0.0007152000000019143,2,4,0,3,8,8,11,,0,0,0,0,,,,results/gf_paper_safe_gurobi_scheduling_round27/runs/stage2__high_imbalance_seed3202__c0_legacy__300s/result.json,results/gf_paper_safe_gurobi_scheduling_round27/runs/stage2__high_imbalance_seed3202__c0_legacy__300s
stage2,high_imbalance_seed3202,high_imbalance,20,C2-PAPER,0,300,0,294.155999999959,False,True,paper_external_gini_tree_time_limit,True,True,True,True,False,certificate_rejected,,1.7493134520506337,1.6100919655396664,1.7493134520506337,0.07958635792102603,0.8634209358564984,294.0474465,539.4864009723316,66,43.65362547956751,23,23,495.8327754927641,31,89,89,89,66,89,1,1,0.095879252,27.0829765,10,25,1,0,0,0,0,generation-stagnation,2083,2000,14,32545,-1.7493134520506333,1.7493134520506337,15.9745856,results/gf_paper_safe_gurobi_scheduling_round27/runs/stage2__high_imbalance_seed3202__c2_paper__300s/result.json,results/gf_paper_safe_gurobi_scheduling_round27/runs/stage2__high_imbalance_seed3202__c2_paper__300s
stage2,high_imbalance_seed3202,high_imbalance,20,P-GRB,0,300,0,294.094000000041,False,True,time_limit,True,True,True,True,False,certificate_rejected,,1.7630423841732887,1.074658780762213,1.7493134520506337,0.385668257737089,0.6049221810384456,294.0780654,581.5862640793697,0,0,0,0,0,0,1,1,1,0,1,1,1,0.083790794,0,0,0,0,0,0,0,0,not_run,0,0,0,0,0,0,0,results/gf_paper_safe_gurobi_scheduling_round27/runs/stage2__high_imbalance_seed3202__p_grb__300s/result.json,results/gf_paper_safe_gurobi_scheduling_round27/runs/stage2__high_imbalance_seed3202__p_grb__300s
stage2,moderate_seed3302,moderate,20,C0-LEGACY,0,300,0,288.719000000041,False,True,external_gini_tree_time_limit,True,True,True,True,False,certificate_rejected,,0.19563620654901237,0.15964157620068223,0.19563620654901237,0.18398757051810077,0.6136515214356211,288.6991362,510.4304132958197,0,0,0,0,0,1,8,6,6,6,0,1,0,0.250782336,57.395445300000006,4,1,0,2,6,6,8,,0,0,0,0,,,,results/gf_paper_safe_gurobi_scheduling_round27/runs/stage2__moderate_seed3302__c0_legacy__300s/result.json,results/gf_paper_safe_gurobi_scheduling_round27/runs/stage2__moderate_seed3302__c0_legacy__300s
stage2,moderate_seed3302,moderate,20,C2-PAPER,0,300,0,294.0779999997467,False,True,paper_external_gini_tree_time_limit,True,True,True,True,False,certificate_rejected,,0.19563620654901237,0.13951573914498416,0.19563620654901237,0.28686135554345077,0.6583149627631737,294.0469872,469.78945855785685,139,95.74578113585508,18,18,374.0436774220018,68,157,157,157,139,157,1,1,0.087584857,6.748468699999989,55,17,1,0,0,0,0,generation-stagnation,2282,2000,21,23373,-0.19563620654901193,0.19563620654901237,20.3447371,results/gf_paper_safe_gurobi_scheduling_round27/runs/stage2__moderate_seed3302__c2_paper__300s/result.json,results/gf_paper_safe_gurobi_scheduling_round27/runs/stage2__moderate_seed3302__c2_paper__300s
stage2,moderate_seed3302,moderate,20,P-GRB,0,300,0,294.1100000003353,False,True,time_limit,True,True,True,True,False,certificate_rejected,,0.219953022089018,0.12931018892684115,0.19563620654901237,0.33902731397296176,0.6541943559484915,294.0814925,560.5257184355947,0,0,0,0,0,0,1,1,1,0,1,1,1,0.081947461,0,0,0,0,0,0,0,0,not_run,0,0,0,0,0,0,0,results/gf_paper_safe_gurobi_scheduling_round27/runs/stage2__moderate_seed3302__p_grb__300s/result.json,results/gf_paper_safe_gurobi_scheduling_round27/runs/stage2__moderate_seed3302__p_grb__300s
stage2,tight_T_seed3101,tight_T,20,C0-LEGACY,0,300,0,288.719000000041,False,True,external_gini_tree_time_limit,True,True,True,True,False,certificate_rejected,,0.10725273413394144,0.05278924419596047,0.10725273413394144,0.5078051424774386,0.44695403485464025,288.7022372,530.3054022822358,0,0,0,0,0,2,8,6,6,6,0,1,0,0.272336649,176.7175282,5,1,0,2,6,6,8,,0,0,0,0,,,,results/gf_paper_safe_gurobi_scheduling_round27/runs/stage2__tight_T_seed3101__c0_legacy__300s/result.json,results/gf_paper_safe_gurobi_scheduling_round27/runs/stage2__tight_T_seed3101__c0_legacy__300s
stage2,tight_T_seed3101,tight_T,20,C2-PAPER,0,300,0,294.07800000021234,False,True,paper_external_gini_tree_time_limit,True,True,True,True,False,certificate_rejected,,0.10725273413394144,0.05362636706697072,0.10725273413394144,0.5,0.23652221090354064,294.0500933,509.62791970543987,30,23.46352216663424,9,9,486.16439753880564,9,39,39,39,30,39,1,1,0.183162604,248.20794850000001,3,10,1,0,0,0,0,generation-stagnation,2952,2000,26,37338,-0.10725273413394168,0.10725273413394144,15.1654063,results/gf_paper_safe_gurobi_scheduling_round27/runs/stage2__tight_T_seed3101__c2_paper__300s/result.json,results/gf_paper_safe_gurobi_scheduling_round27/runs/stage2__tight_T_seed3101__c2_paper__300s
stage2,tight_T_seed3101,tight_T,20,P-GRB,0,300,0,294.1099999998696,False,True,time_limit,True,True,True,True,False,certificate_rejected,,0.11608225228456553,0.01937849707503963,0.10725273413394144,0.8193193186959785,0.165711066229694,294.0874638,541.7649184045604,0,0,0,0,0,0,1,1,1,0,1,1,1,0.128933674,0,0,0,0,0,0,0,0,not_run,0,0,0,0,0,0,0,results/gf_paper_safe_gurobi_scheduling_round27/runs/stage2__tight_T_seed3101__p_grb__300s/result.json,results/gf_paper_safe_gurobi_scheduling_round27/runs/stage2__tight_T_seed3101__p_grb__300s
stage2,V12_M1,v12,12,C0-LEGACY,0,300,0,34.79700000025332,False,True,optimal,True,True,True,True,True,engineering_exact_original_problem_optimal,34.7512343,0.3572005832084155,0.3572005832084155,0.3572005832084155,0.0,0.94114960225,34.7512343,34.78137617640885,0,0,0,0,0,0,4,4,4,4,0,1,0,0.079810948,0.000373899999999594,0,4,0,0,4,4,4,,0,0,0,0,,,,results/gf_paper_safe_gurobi_scheduling_round27/runs/stage2__V12_M1__c0_legacy__300s/result.json,results/gf_paper_safe_gurobi_scheduling_round27/runs/stage2__V12_M1__c0_legacy__300s
