original_path,compressed_path,original_bytes,compressed_bytes,original_sha256,compressed_sha256,restoration_sha256,restoration_bytes,compression
results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.0.1.1.0.1.1.lp,results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.0.1.1.0.1.1.lp.gz,1501104,241553,f0dcf30ff13e63cc365522dedbe19019d26304a5b0e34481b6c51ac15b765d7b,3aeb97de394008873b61d1c0a9447619011b90332ad5068c091f1639286de230,f0dcf30ff13e63cc365522dedbe19019d26304a5b0e34481b6c51ac15b765d7b,1501104,gzip_level9_mtime0_filename_omitted
results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.0.1.1.0.1.lp,results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.0.1.1.0.1.lp.gz,1500441,241533,ebd4e207c88f3a04b8d82aa8f623006f79035516ef80451d0e941d9f349c8f9b,0618c004aae1a6bf7a86a30f12fafef116070ee5b9872b47fbd10bea459e13f6,ebd4e207c88f3a04b8d82aa8f623006f79035516ef80451d0e941d9f349c8f9b,1500441,gzip_level9_mtime0_filename_omitted
results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.0.1.1.0.lp,results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.0.1.1.0.lp.gz,1501110,241560,210db0fe13e4b49f98a57609e70b0af399100ae5862bfa8a5e5818b928634c73,8b5dc61b7cc22b8f31202ad833942e4a2caa5170d3edc42a278cdf57986e2001,210db0fe13e4b49f98a57609e70b0af399100ae5862bfa8a5e5818b928634c73,1501110,gzip_level9_mtime0_filename_omitted
results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.0.1.1.1.0.0.lp,results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.0.1.1.1.0.0.lp.gz,1501108,241544,9d4ba1d6dde54681ec5b74ac66d9f818d2e0d5377cfd7c83468141e661360baa,6ce2cd75e0e94d00099d20db754ee8e4f11df530061139e271f5a55db1504398,9d4ba1d6dde54681ec5b74ac66d9f818d2e0d5377cfd7c83468141e661360baa,1501108,gzip_level9_mtime0_filename_omitted
results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.0.1.1.1.0.1.lp,results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.0.1.1.1.0.1.lp.gz,1501118,241550,2d991ccf34ab94c8bdd72a7018e487413af213063c40124bd547ec86d505584f,4528350dee1ffcbb15eff1906a4748a8273e5a5e09d9bd7964c7be25a71c1952,2d991ccf34ab94c8bdd72a7018e487413af213063c40124bd547ec86d505584f,1501118,gzip_level9_mtime0_filename_omitted
results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.0.1.1.1.0.lp,results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.0.1.1.1.0.lp.gz,1501108,241546,0e1306b849d6972698ad4f4d5b8a63bd9af5c634061117912839cf9fd5d04540,05c622d63b4da9fd0c1666506db02df31235516c7fffce26bc7312990909339f,0e1306b849d6972698ad4f4d5b8a63bd9af5c634061117912839cf9fd5d04540,1501108,gzip_level9_mtime0_filename_omitted
results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.0.1.1.1.1.0.lp,results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.0.1.1.1.1.0.lp.gz,1501118,241553,bdc2b7ab1233488068423c7c65ccb180b7877ec06c3bd092bc9e270e45e74201,8c350bf911a2e87bb549deab3b6e31aaa018d471000ed1e9ba39e85ba1eda5a2,bdc2b7ab1233488068423c7c65ccb180b7877ec06c3bd092bc9e270e45e74201,1501118,gzip_level9_mtime0_filename_omitted
results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.0.1.1.1.1.1.lp,results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.0.1.1.1.1.1.lp.gz,1501119,241549,2a042baecab7f571428a3fbbb53d293324e81f16616be68edfe43211aceb8975,429428cb02d8120a5cf09386badd7ada2705470b60b4a5eed64832a7fe711008,2a042baecab7f571428a3fbbb53d293324e81f16616be68edfe43211aceb8975,1501119,gzip_level9_mtime0_filename_omitted
results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.0.1.1.1.1.lp,results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.0.1.1.1.1.lp.gz,1501118,241551,ef380d98f026330b30ff696d343695b7f0fe6fbf6c952ca77461c1da9f99b968,018305f0c461475af2aee2b63fe7cbe791a650079bb9f66e575757a67bf21764,ef380d98f026330b30ff696d343695b7f0fe6fbf6c952ca77461c1da9f99b968,1501118,gzip_level9_mtime0_filename_omitted
results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.0.1.1.1.lp,results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.0.1.1.1.lp.gz,1501108,241540,c1a57c5b7d82d46f05deea397aa5a6d706bc07a26a8e31862b5b3c39c36c20a3,09584090913b058cd21f248cfd16df62c9b6b798d4cbc6f604d72afeb0a50797,c1a57c5b7d82d46f05deea397aa5a6d706bc07a26a8e31862b5b3c39c36c20a3,1501108,gzip_level9_mtime0_filename_omitted
results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.0.1.1.lp,results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.0.1.1.lp.gz,1501110,241554,1b3c3f8c8189993a8e9274f7e932a635dcf069f2bfb5cb440201540426ab9e51,dd9bbbe4f97e3a4120ccff8c941c0458a649f08ee9d4f252b989ec8496093dfb,1b3c3f8c8189993a8e9274f7e932a635dcf069f2bfb5cb440201540426ab9e51,1501110,gzip_level9_mtime0_filename_omitted
results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.0.1.lp,results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.0.1.lp.gz,1501128,241541,b977f5e37edfd4726b1bcc3784a6eec8805fb9c5d8acc97dfe1f89143cd35634,281e65a9fb2f553fb2a8c2a1ed0155d2f8c081e708b8f550fc36c95125f6e976,b977f5e37edfd4726b1bcc3784a6eec8805fb9c5d8acc97dfe1f89143cd35634,1501128,gzip_level9_mtime0_filename_omitted
results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.0.lp,results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.0.lp.gz,1490515,240919,c9cd02a07e3c2a0d9f9edb8ce86d693efe552c9a4d30bd1852a3bef343b41473,09ff47f6abbcc0451c876b3cec055445339a3d826942b7a110a760bc55c5fd42,c9cd02a07e3c2a0d9f9edb8ce86d693efe552c9a4d30bd1852a3bef343b41473,1490515,gzip_level9_mtime0_filename_omitted
results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.1.lp,results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.1.lp.gz,1490076,241418,4bf599df4bdb1857ffe4d95678fadb1209287bdd6a5d87b712ca743099d366ba,439e82ca893d7e86f1f87f4a847c96be6f664d83aa6350fc4cbeec8ea9e9f152,4bf599df4bdb1857ffe4d95678fadb1209287bdd6a5d87b712ca743099d366ba,1490076,gzip_level9_mtime0_filename_omitted
results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.lp,results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.lp.gz,1479855,240823,a57e9d772df5c74b042d38369f8f9c5282e1c865a2a675e6f9b6c0df4754c968,0e5f8f01cfdd62be3c10bed4e5303e14f6b82ef4179846c2ddf560ede041891a,a57e9d772df5c74b042d38369f8f9c5282e1c865a2a675e6f9b6c0df4754c968,1479855,gzip_level9_mtime0_filename_omitted
results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L1.0.lp,results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L1.0.lp.gz,1488935,241408,50b746eee5f20c9742f228b246fed8eff1f8fa2272147743807cc422e68cb32a,4d6af23ca5c17791cad86865a6d03a342c1c94ce80b28d99ffe07580368393ee,50b746eee5f20c9742f228b246fed8eff1f8fa2272147743807cc422e68cb32a,1488935,gzip_level9_mtime0_filename_omitted
results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L1.1.lp,results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L1.1.lp.gz,1489412,241403,49bef6e937575f466476d7eae94fa391ee811bdca6bbb09c559fb2367f204974,8f509ad55a4e90ee2a6d77be1f6e7a73dc97b3740ad6662358cbf4aa7c949f89,49bef6e937575f466476d7eae94fa391ee811bdca6bbb09c559fb2367f204974,1489412,gzip_level9_mtime0_filename_omitted
results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L1.lp,results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L1.lp.gz,1490140,241381,03c4946184855312018f2380e1a78f825b6f79fdf7f7468cd1612cfb7dc0c626,9c7ca3877fc8ac8a4845213797f2c6a08bfda20a9a9810e6440684763ffe51ff,03c4946184855312018f2380e1a78f825b6f79fdf7f7468cd1612cfb7dc0c626,1490140,gzip_level9_mtime0_filename_omitted
results/gf_paper_safe_gurobi_scheduling_round27/runs/stage2__high_imbalance_seed3202__c0_legacy__300s/external/models/L0.lp,results/gf_paper_safe_gurobi_scheduling_round27/runs/stage2__high_imbalance_seed3202__c0_legacy__300s/external/models/L0.lp.gz,1307791,239281,e97bb5593c5c8d3b73d88829f9797ecbcca8e92d13ff7cdeb4d6260550712259,9868f4bbc9fb00195317ae57c920cb939fcb8b8717dd0715401be9b1c0dd6f6c,e97bb5593c5c8d3b73d88829f9797ecbcca8e92d13ff7cdeb4d6260550712259,1307791,gzip_level9_mtime0_filename_omitted
results/gf_paper_safe_gurobi_scheduling_round27/runs/stage2__high_imbalance_seed3202__c0_legacy__300s/external/models/L1.lp,results/gf_paper_safe_gurobi_scheduling_round27/runs/stage2__high_imbalance_seed3202__c0_legacy__300s/external/models/L1.lp.gz,1305081,239612,3b46039f3b4baba20ae33022cfae5042e961dee006b0bcf6ea3c6d1b51d70f6f,3dd5f735b8e6bd4baeb3e501a28d6f7ba3c975c19fe9e2e9f190aa809aeb7548,3b46039f3b4baba20ae33022cfae5042e961dee006b0bcf6ea3c6d1b51d70f6f,1305081,gzip_level9_mtime0_filename_omitted
