original_path,compressed_path,original_bytes,compressed_bytes,original_sha256,compressed_sha256,restoration_sha256,restoration_bytes,compression
results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.0.1.0.1.0.lp,results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.0.1.0.1.0.lp.gz,1501128,241569,32c0679626c4dd56968a5ef2f0612cf03c42080ddda8a8c6e8ab2c9d3fb305f0,53c7f0c4800ca0d916635f373e25342858ecc788b59a5166012af0b51dfc3c4b,32c0679626c4dd56968a5ef2f0612cf03c42080ddda8a8c6e8ab2c9d3fb305f0,1501128,gzip_level9_mtime0_filename_omitted
results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.0.1.0.1.1.0.lp,results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.0.1.0.1.1.0.lp.gz,1500367,241540,16359bb098cbd83da2a48782a5ed01795498675a77803f126f709a40f48de3ca,a6a5a673aa8725459b503bfd557cd443c3c7450fcdee9a7b4460cc3bcb5be73a,16359bb098cbd83da2a48782a5ed01795498675a77803f126f709a40f48de3ca,1500367,gzip_level9_mtime0_filename_omitted
results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.0.1.0.1.1.1.lp,results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.0.1.0.1.1.1.lp.gz,1501109,241555,c5332ab796420fbaae92db7ffc4bada4d8e986a9870dedbbd4327a4d6f56469f,a8dc1344a6851eb5c1a76894d3a765284ae5a04dddfcd1ea24ef98801b5f6020,c5332ab796420fbaae92db7ffc4bada4d8e986a9870dedbbd4327a4d6f56469f,1501109,gzip_level9_mtime0_filename_omitted
results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.0.1.0.1.1.lp,results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.0.1.0.1.1.lp.gz,1500747,241546,a4791d0f533d4c0222ddcadb3ae2d56f3107ff141d47c6ac552d195763054d7a,abd54bef7ee7b0624a76f2600066bc18c79578d74a3dfb43f90d82f622d4c25b,a4791d0f533d4c0222ddcadb3ae2d56f3107ff141d47c6ac552d195763054d7a,1500747,gzip_level9_mtime0_filename_omitted
results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.0.1.0.1.lp,results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.0.1.0.1.lp.gz,1500748,241545,0b27a8ac83b1f3f2a22f773219d01425a84f3aa81f780e67a5137588c99e1803,b790584e06c1ee5a9c369c44125b10c54ffd623610a1648a158d98200c45dab1,0b27a8ac83b1f3f2a22f773219d01425a84f3aa81f780e67a5137588c99e1803,1500748,gzip_level9_mtime0_filename_omitted
results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.0.1.0.lp,results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.0.1.0.lp.gz,1500748,241538,87f66d593f036645dfa634266e53e9bc8056ad2058704dd9a8f304decc491d91,7bd7d5dd06f196a14e81e3467187d05d3b6f6ed9137629178d0ba21c798aa626,87f66d593f036645dfa634266e53e9bc8056ad2058704dd9a8f304decc491d91,1500748,gzip_level9_mtime0_filename_omitted
results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.0.1.1.0.0.0.lp,results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.0.1.1.0.0.0.lp.gz,1501110,241560,c213f86d10ebfbdade9e51f307899607720f76d4ba2a2c7825f0d26d6e0dfe00,c284617c9ee147650980f5c93cd8457f26ea103cd82f0e9485e64220dc082ba7,c213f86d10ebfbdade9e51f307899607720f76d4ba2a2c7825f0d26d6e0dfe00,1501110,gzip_level9_mtime0_filename_omitted
results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.0.1.1.0.0.1.lp,results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.0.1.1.0.0.1.lp.gz,1499460,241512,18569ac724d565b1a492c38caa5a32c1979905ba4517b5d011ee6484616b537a,860929da77c5d5d93cc61a6dcb824cd97b024d1065008dec9cbcf7430a60401b,18569ac724d565b1a492c38caa5a32c1979905ba4517b5d011ee6484616b537a,1499460,gzip_level9_mtime0_filename_omitted
results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.0.1.1.0.0.lp,results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.0.1.1.0.0.lp.gz,1499460,241518,6ea1f698edb7b76ce837d21e43ebd7608220bcaa617bed3088d117795ff7459e,9bef3c3e99bff909952f88bce2a9289c7fcb75b788a943481e10c02f8932b8da,6ea1f698edb7b76ce837d21e43ebd7608220bcaa617bed3088d117795ff7459e,1499460,gzip_level9_mtime0_filename_omitted
results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.0.1.1.0.1.0.lp,results/gf_paper_safe_gurobi_scheduling_round27/runs/sentinel__moderate_seed4301__c2_paper__60s/external/models/L0.0.1.1.0.1.0.lp.gz,1500441,241526,cff6f30c3da718be70e2b3c8df15a4603f02ffc29b077386ea8954575e43fe78,cf632db9d0f40a6fa152374ea24eb9697dc7bdf03eb8d80d37ae09af79338708,cff6f30c3da718be70e2b3c8df15a4603f02ffc29b077386ea8954575e43fe78,1500441,gzip_level9_mtime0_filename_omitted
