stage,instance,evaluated,root_coverage,parent_child_coverage,all_bounds_valid,global_bound_monotone,leaf_bounds_monotone,lifecycle_complete,verified_incumbent,no_same_leaf_restart,no_attempt_scheduling,terminal_mip_once,passed,exclusion_reason,strict_certificate,open_leaf_count
stage2,high_imbalance_seed3202,True,True,True,True,True,True,True,True,True,True,True,True,,False,10
stage2,moderate_seed3302,True,True,True,True,True,True,True,True,True,True,True,True,,False,55
stage2,tight_T_seed3101,True,True,True,True,True,True,True,True,True,True,True,True,,False,3
stage2,V12_M1,True,True,True,True,True,True,True,True,True,True,True,True,,True,0
stage2,V12_M2,True,True,True,True,True,True,True,True,True,True,True,True,,False,4
stage3,moderate_seed6301,False,False,False,False,False,False,False,False,True,True,True,,process_terminated_without_final_json,False,
