stage,instance,arm,status,authoritative,work,lp_relaxation_count,lp_work,terminal_mip_leaf_count,terminal_mip_optimize_count,terminal_mip_work,split_count,optimize_count,model_count,model_read_count,model_build_count,model_free_count,environment_count,environment_free_count,peak_memory_gb,same_leaf_restarts,fresh_restarts,child_restarts,global_deadline_interruptions,open_leaf_count,closed_leaf_count
stage2,high_imbalance_seed3202,C0-LEGACY,external_gini_tree_time_limit,True,533.5826187697095,0,0,0,0,0,2,11,8,8,8,0,1,0,0.321154301,3,8,8,0,2,4
stage2,high_imbalance_seed3202,C2-PAPER,paper_external_gini_tree_time_limit,True,539.4864009723316,66,43.65362547956751,23,23,495.8327754927641,31,89,89,89,66,89,1,1,0.095879252,0,0,0,1,10,25
stage2,high_imbalance_seed3202,P-GRB,time_limit,True,581.5862640793697,0,0,0,0,0,0,1,1,1,0,1,1,1,0.083790794,0,0,0,0,0,0
stage2,moderate_seed3302,C0-LEGACY,external_gini_tree_time_limit,True,510.4304132958197,0,0,0,0,0,1,8,6,6,6,0,1,0,0.250782336,2,6,6,0,4,1
stage2,moderate_seed3302,C2-PAPER,paper_external_gini_tree_time_limit,True,469.78945855785685,139,95.74578113585508,18,18,374.0436774220018,68,157,157,157,139,157,1,1,0.087584857,0,0,0,1,55,17
stage2,moderate_seed3302,P-GRB,time_limit,True,560.5257184355947,0,0,0,0,0,0,1,1,1,0,1,1,1,0.081947461,0,0,0,0,0,0
stage2,tight_T_seed3101,C0-LEGACY,external_gini_tree_time_limit,True,530.3054022822358,0,0,0,0,0,2,8,6,6,6,0,1,0,0.272336649,2,6,6,0,5,1
stage2,tight_T_seed3101,C2-PAPER,paper_external_gini_tree_time_limit,True,509.62791970543987,30,23.46352216663424,9,9,486.16439753880564,9,39,39,39,30,39,1,1,0.183162604,0,0,0,1,3,10
stage2,tight_T_seed3101,P-GRB,time_limit,True,541.7649184045604,0,0,0,0,0,0,1,1,1,0,1,1,1,0.128933674,0,0,0,0,0,0
stage2,V12_M1,C0-LEGACY,optimal,True,34.78137617640885,0,0,0,0,0,0,4,4,4,4,0,1,0,0.079810948,0,4,4,0,0,4
stage2,V12_M1,C2-PAPER,optimal,True,172.85109000753008,164,30.732874329038196,69,69,142.1182156784919,77,233,233,233,164,233,1,1,0.066071976,0,0,0,0,0,81
stage2,V12_M1,P-GRB,optimal,True,53.573278258640755,0,0,0,0,0,0,1,1,1,0,1,1,1,0.024137236,0,0,0,0,0,0
stage2,V12_M2,C0-LEGACY,optimal,True,343.120568711371,0,0,0,0,0,1,8,6,6,6,0,1,0,0.215189898,2,6,6,0,0,5
stage2,V12_M2,C2-PAPER,paper_external_gini_tree_time_limit,True,469.0482116763907,112,30.873837965497756,48,48,438.17437371089295,54,160,160,160,112,160,1,1,0.090709885,0,0,0,1,4,54
stage2,V12_M2,P-GRB,optimal,True,282.0967431295214,0,0,0,0,0,0,1,1,1,0,1,1,1,0.038775405,0,0,0,0,0,0
stage3,moderate_seed6301,C2-PAPER,missing_result,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
stage3,moderate_seed6301,P-GRB,time_limit,True,722.3824948745566,0,0,0,0,0,0,1,1,1,0,1,1,1,0.463384793,0,0,0,0,0,0
