stage,instance,comparison,other_strict,c2_strict,other_verified_ub,c2_verified_ub,other_final_lb,c2_final_lb,other_common_ub_gap,c2_common_ub_gap,gap_delta,other_bound_auc,c2_bound_auc,auc_delta,other_work,c2_work,work_delta
stage2,high_imbalance_seed3202,C2-PAPER minus P-GRB,False,False,1.7630423841732887,1.7493134520506337,1.074658780762213,1.6100919655396664,0.385668257737089,0.07958635792102603,-0.306081899816063,0.6049221810384456,0.8634209358564984,0.25849875481805273,581.5862640793697,539.4864009723316,-42.09986310703812
stage2,moderate_seed3302,C2-PAPER minus P-GRB,False,False,0.219953022089018,0.19563620654901237,0.12931018892684115,0.13951573914498416,0.33902731397296176,0.28686135554345077,-0.052165958429510995,0.6541943559484915,0.6583149627631737,0.004120606814682182,560.5257184355947,469.78945855785685,-90.7362598777379
stage2,tight_T_seed3101,C2-PAPER minus P-GRB,False,False,0.11608225228456553,0.10725273413394144,0.01937849707503963,0.05362636706697072,0.8193193186959785,0.5,-0.3193193186959785,0.165711066229694,0.23652221090354064,0.07081114467384664,541.7649184045604,509.62791970543987,-32.13699869912051
stage2,V12_M1,C2-PAPER minus P-GRB,True,True,0.3572005832084155,0.3572005832084155,0.3572005832084151,0.3572005832084146,1.2432488375612486e-15,2.641903779817653e-15,1.3986549422564045e-15,0.9912688783079833,0.9194970210379082,-0.07177185727007507,53.573278258640755,172.85109000753008,119.27781174888932
stage2,V12_M2,C2-PAPER minus P-GRB,True,False,0.7185040707549709,0.7185040707549709,0.7185040707549712,0.6557601837879294,0.0,0.08732572231791685,0.08732572231791685,0.9742462894204938,0.8814004454254225,-0.09284584399507134,282.0967431295214,469.0482116763907,186.95146854686925
stage3,moderate_seed6301,C2-PAPER minus P-GRB,False,False,1.042133065991235,,0.4334604561007951,,0.5840641946347753,,,0.40562075707916245,,,722.3824948745566,,
