run_id,result_exists,check_count,passed,failed_checks
stage2__high_imbalance_seed3202__c2_paper__300s,True,17,True,
stage2__moderate_seed3302__c2_paper__300s,True,17,True,
stage2__tight_T_seed3101__c2_paper__300s,True,17,True,
stage2__V12_M1__c2_paper__300s,True,17,True,
stage2__V12_M2__c2_paper__300s,True,17,True,
stage3__moderate_seed6301__c2_paper__300s,False,5,True,
