instance_id,input_sha256,expected_fingerprint,actual_fingerprint,fingerprint_match,expected_canonical_model_sha256,actual_canonical_model_sha256,canonical_model_match,expected_objective_fingerprint,actual_objective_fingerprint,objective_fingerprint_match,executable_binding_valid,lifecycle_valid,solver_settings_valid,domain_identity_valid,independent_original_solution_feasible,independent_recomputed_objective,native_objective,objective_residual,objective_recomputation_valid,no_external_information,original_command_expected_fingerprint_present,posthoc_frozen_expected_binding_applied,raw_result_sha256,raw_command_sha256,raw_completion_marker_sha256,original_artifact_rewritten
round53_sealed_v12_tight_T_2400_V12_M2_Q20_seed19430436,79e97109b277e5461234fdee40a795152c3cf847f5616d800768e4dba4f32b1c,-1291916243,-1291916243,True,7a1fd0390de0317c8435eebff6ae4bce14da76cf6cf616a83573434fd2ea2038,7a1fd0390de0317c8435eebff6ae4bce14da76cf6cf616a83573434fd2ea2038,True,65952aaecc7fe360fda741002d5e67326ef82f675553ea18550dd54dc39e8e2e,65952aaecc7fe360fda741002d5e67326ef82f675553ea18550dd54dc39e8e2e,True,True,True,True,True,True,0.26329824434386917,0.2632982443438691,5.551115123125783e-17,True,True,False,True,8329c66b40ff6d7e012acdf0ecdba55b8a65677f8b21c8b80ef2bed372fe8064,6d0524508794f5dc5f59a1afca8ffde47f2a56f9835bbefefc9ee7569d29e49d,c5cb17edd5a38efb24d53a40deb607dc5b7190ffc60705ff67925963ebd5d935,False
round53_sealed_v12_high_imbalance_3600_V12_M2_Q20_seed15988921,4f040c22819b20e5e2271c43008169d703c184b7ff12071921418b25e491cf4a,1153621150,1153621150,True,92a9a49ca37b7d29a958ab1391b3c8c501e75c73e8ed10d5507d75035fb0f05a,92a9a49ca37b7d29a958ab1391b3c8c501e75c73e8ed10d5507d75035fb0f05a,True,b9d5a6cb81479412b2e97fcb06744a0335c5c735b749672ef1eb9a0bd51acd3b,b9d5a6cb81479412b2e97fcb06744a0335c5c735b749672ef1eb9a0bd51acd3b,True,True,True,True,True,True,3.0847793433298136,3.084779343329814,4.440892098500626e-16,True,True,False,True,0c659fff3475034a8587e17851ca9cbfd02ec68f5d53d6b8859c44f84e7467d6,d7f47e75398b958cfdb287b5fd989f28f539f76fa2596505361bbd2ae00e76a5,9fd35c4c2b24be2ef68a5c5866fabca7c9167cec95f15a79bf3704c38ab40cd3,False
round53_sealed_v12_moderate_3600_V12_M2_Q20_seed1498709331,a2854525d31f3c1e96c8e5cb0c138f14c236bb18a4b638ef5a745bbf9290bd36,-1715961301,-1715961301,True,a65dc5930ecde4a97e114810a0617e1643c432827b36cd70cb9a0aedafc852d0,a65dc5930ecde4a97e114810a0617e1643c432827b36cd70cb9a0aedafc852d0,True,c556367ae2495791543a3772e9c08e897f6dfa09915bf103bdeea992d9c7a05d,c556367ae2495791543a3772e9c08e897f6dfa09915bf103bdeea992d9c7a05d,True,True,True,True,True,True,0.04092763834315388,0.0409276383431539,2.0816681711721685e-17,True,True,False,True,76b6b3472b7e20b3324aa189d7d67e5da415a38b9d8a192d963c523ecf670501,05da35345be0da82862f26603a7603735fa44ceb4b640c9e8b18988c7ec8ec23,fbf644a0354c74ffd1ffa7f5ca3835ff7cd2c880ecb775464cbc5ad27767a621,False
round53_sealed_v12_tight_T_2400_V12_M2_Q30_seed1826205989,77c67a7b3a4b0122227de6525dcdf5c3c327060d25afddbe55c57cd5d6c04316,-732435008,-732435008,True,f5e1a73455413091e8b9309aafe1848bc6a8beaa79a9407ba73095e19196b28a,f5e1a73455413091e8b9309aafe1848bc6a8beaa79a9407ba73095e19196b28a,True,76d2161a803c63a80ea7fca525cae730b84fada6d00b93f74106b0224043cc5d,76d2161a803c63a80ea7fca525cae730b84fada6d00b93f74106b0224043cc5d,True,True,True,True,True,True,0.8816394445505088,0.8816394445505088,0.0,True,True,False,True,9ce27dcbbc5e8e355c5bf8c1f8bef15774a86c1247263a38e9de30c9b6390d72,dea6c05d82fcaac0be3310c69a51f7f0e88a809c1ad8b265f40efc241e2d69f4,5e04266a200334b09773e8248cf84b7f9e018738f7ad7a8430ba1b5a4074cc36,False
round53_sealed_v12_high_imbalance_3600_V12_M2_Q30_seed527237204,5ee14e4400b3def53a5f3295d8e34e020484f0c2929664d46a935444c548c533,-190369403,-190369403,True,34577d4ae070f90a9339b5f1259d35cf131401e4086db791806a602626dff6a4,34577d4ae070f90a9339b5f1259d35cf131401e4086db791806a602626dff6a4,True,21a8a5da6858f7d9e3684ae4134bf0733ae257e8606feae5aea9269ea9c84f50,21a8a5da6858f7d9e3684ae4134bf0733ae257e8606feae5aea9269ea9c84f50,True,True,True,True,True,True,2.7489486497559508,2.7489486497559508,0.0,True,True,False,True,704ba745661a0e19f2d180ff9dd17abbe4a4ee310401d1c7b7bfb5213a82a8c6,5ad74c3451bfe209f47c993a12fcc04f564d0947a084ecb58a2e881b6fa2ffbc,38d8d02e0f168916acba263487c97b0b7c6e63bd473843f0691b5b4f7992cac8,False
round53_sealed_v12_moderate_3600_V12_M2_Q30_seed1230493897,4306248f6d1816d3e456b641c6cb87c0e06d0db9ea4d8b66e809e4f8b91cf30a,518235096,518235096,True,e3edfa0df025d0f70754de9ec38eb4718bce38c03fa757c700d0599929aea614,e3edfa0df025d0f70754de9ec38eb4718bce38c03fa757c700d0599929aea614,True,e81552af82edd8986f1fcc7759bc8e349696fad728c16f759300d794fd5a501f,e81552af82edd8986f1fcc7759bc8e349696fad728c16f759300d794fd5a501f,True,True,True,True,True,True,0.17343523331547525,0.17343523331547528,2.7755575615628914e-17,True,True,False,True,8f3552e1688f956caf935462454adae1bd46835058e2e4d7b09a54f9d67632f6,fcbe613ed76627f520a462c3710e198b6b249272e4f166a2a2ba2f74d5eb78a4,77ca6a586debc962265089583041f3203a4ab65355a2fb94b0f770cf4b8dc26e,False
round53_sealed_v12_tight_T_2400_V12_M3_Q20_seed1388001936,91c18baceff12d8249aa82f7a98bd289ccf309fbb3b86b1765db6313380ec9c4,600115427,600115427,True,ae77b2185134022737c03eb91732f3643e1fcde73938eae253819b88e4feceb3,ae77b2185134022737c03eb91732f3643e1fcde73938eae253819b88e4feceb3,True,eafa0f8ad48ada43479c99bcc18689970125e9959e8ca93774bc8dd29465a66c,eafa0f8ad48ada43479c99bcc18689970125e9959e8ca93774bc8dd29465a66c,True,True,True,True,True,True,0.7639134640505693,0.7639134640505694,1.1102230246251565e-16,True,True,False,True,a7c5b3cfd62feedadc63e2e4f9ec5b29e18737a85592e920736955f5abecfc0a,b6669c974341433048bbfc789bcc15fc27d8775a6a4d690608976a23e588a92e,d8f65166e44e2a883642edd2b175763eb76177255146e8c50297db12a9a996dd,False
round53_sealed_v12_high_imbalance_3600_V12_M3_Q20_seed912024350,d23afd0bd5bf48436fc4c1bc57857c1da4b66cd6cf17956be38cf2607664b74a,-1625989198,-1625989198,True,ad87761457c635288090f62e99612b540b8698e77459d44b3806fa9ef825e424,ad87761457c635288090f62e99612b540b8698e77459d44b3806fa9ef825e424,True,a7fa2ab5ca2a009796466f1b981f96fb447f3e4890bc66105d54b9c326bde04d,a7fa2ab5ca2a009796466f1b981f96fb447f3e4890bc66105d54b9c326bde04d,True,True,True,True,True,True,1.0077106257945092,1.0077106211548226,4.639686634888562e-09,True,True,False,True,8bcccebb324d1f816c36ad7ef4736c3cf7620ee11b325ab38e181c277bb8ab64,ed489efe32864a97bfd2fc50f7e3c6c41f18db820a67cf9a54d0e0d0eec3b9a7,4550f78799ba11c7eb1b8fafdd4197c6fd21f322823a4491a1623c56a1f030de,False
round53_sealed_v12_moderate_3600_V12_M3_Q20_seed587061832,056380dc56129e114f4a47dfc57deaa3063488b5e3fbab175b1af54321de2f83,-1344985454,-1344985454,True,3e088ca2b7c079180e75065582bb4b94ea00f4adc90d64cb8e2ef7d07a04c31a,3e088ca2b7c079180e75065582bb4b94ea00f4adc90d64cb8e2ef7d07a04c31a,True,53d4421f143a830ab0a8b895daf9a398f11fef1569de1b2bf2c9adcf29a1cc44,53d4421f143a830ab0a8b895daf9a398f11fef1569de1b2bf2c9adcf29a1cc44,True,True,True,True,True,True,0.006249137336093858,0.006249137336093858,0.0,True,True,False,True,ff64996a76bb28056678b8f932a0087fa23589b5acaf957568fa68acc95d8ba9,838d508d3a86c5c7dab829d6d18c97b630fed58b13f6307aa5567d2d4c612a6e,d29bda1b393fb178df5db251a07c2c2a6467082dcd6700ffcc780b0a5dbad6f8,False
round53_sealed_v12_tight_T_2400_V12_M3_Q30_seed169390111,69e4a45cc718e52b9af8e0b446a30fab450b8e6fcfec206bdf20b0c165500118,-56771088,-56771088,True,625b1428cc5b8b147a886fc6f87b9ac617cc9601a452f909fa06a5207ca26f84,625b1428cc5b8b147a886fc6f87b9ac617cc9601a452f909fa06a5207ca26f84,True,02f77ab19f7356bd71fa0542a55a7b0ad83df2db337768520b34944c01ccf892,02f77ab19f7356bd71fa0542a55a7b0ad83df2db337768520b34944c01ccf892,True,True,True,True,True,True,1.2737822369636074,1.2737822369636076,2.220446049250313e-16,True,True,False,True,a90fb4a4a774b18b5688e20f1adda43ed58b42c5a3048c3c6117974ab789dba1,638bf1e33a8487d788c3e7d3f4211ddd630fe6c670e61a29c716918b282dd64a,86f0cc7c6c71e88c100d7e4dae7a46358f0cc8089d1fb5c4f3a84a01866c519e,False
