instance_id,difficulty_configuration,V,M,Q,pgrb_original_certificate,pgrb_corrected_certificate,pgrb_work,pgrb_process_time_seconds,pgrb_gap,pgrb_gi,k1_am_v0_certificate,k1_am_v0_work,k1_am_v0_gi,k1_am_f0_certificate,k1_am_f0_work,k1_am_f0_gi,round53_f0_promotion_decision_changed
round53_sealed_v12_tight_T_2400_V12_M2_Q20_seed19430436,tight_T_2400,12,2,20,False,True,196.2226485741378,120.6975648,2.108299330654097e-16,0.0072241144528376175,True,20.48714277685593,0.001696108941550011,True,3.561852313237818,0.0010112926125533744,False
round53_sealed_v12_high_imbalance_3600_V12_M2_Q20_seed15988921,high_imbalance_3600,12,2,20,False,True,94.15399577760002,62.252887,0.0,0.0002024603499712479,True,48.94208770297176,0.0011867353554857536,True,11.723887681771723,0.0009752892874688214,False
round53_sealed_v12_moderate_3600_V12_M2_Q20_seed1498709331,moderate_3600,12,2,20,False,True,297.60099331861335,195.1442715,2.9837543046951445e-09,0.031012831414458805,True,95.48217473793136,0.009658989737131208,True,23.46691331738243,0.004652378615235446,False
round53_sealed_v12_tight_T_2400_V12_M2_Q30_seed1826205989,tight_T_2400,12,2,30,False,True,483.3612506013472,273.66208,1.888906567453753e-15,0.006513285648389354,True,144.9731279018783,0.0034702187974438125,True,35.10793385335524,0.0012588194435068107,False
round53_sealed_v12_high_imbalance_3600_V12_M2_Q30_seed527237204,high_imbalance_3600,12,2,30,False,True,332.4862183261337,183.896178,0.0,0.0009249987687106459,True,53.22054403321715,0.002205272363493319,True,10.25776235947301,0.002082693791939185,False
round53_sealed_v12_moderate_3600_V12_M2_Q30_seed1230493897,moderate_3600,12,2,30,False,True,862.5995230771775,500.478871,0.0,0.03601398237525749,True,496.2831087472315,0.034287641868958066,True,124.26011622525193,0.008872633458343522,False
round53_sealed_v12_tight_T_2400_V12_M3_Q20_seed1388001936,tight_T_2400,12,3,20,False,True,4242.58504796054,2443.8033707,1.3529521095428077e-08,0.07667888626829905,True,1633.123682096775,0.031823428321608574,True,410.9656371464908,0.00995491599874178,False
round53_sealed_v12_high_imbalance_3600_V12_M3_Q20_seed912024350,high_imbalance_3600,12,3,20,False,False,6980.974899492934,3580.3054072,0.05919387900394525,0.08311819800463978,False,8490.28768313298,0.07226821751137187,True,2181.114614753231,0.01142720214781858,False
round53_sealed_v12_moderate_3600_V12_M3_Q20_seed587061832,moderate_3600,12,3,20,False,True,0.26912976321681414,3.074347,0.0,1.3094955986047694e-05,True,8.474807117911666,0.0011519607008457415,True,1.736174530358729,0.0009042743397391125,False
round53_sealed_v12_tight_T_2400_V12_M3_Q30_seed169390111,tight_T_2400,12,3,30,False,True,1902.3660709210449,1010.7344864,0.0,0.032057365246507055,True,441.62906762863116,0.00552819655230004,True,134.98487023412633,0.002599229277480155,False
round53_sealed_v12_high_imbalance_3600_V12_M3_Q30_seed1699094863,high_imbalance_3600,12,3,30,False,False,6589.683054323914,3580.4184073,0.05974276146246382,0.12397250168413433,True,2500.3528408468833,0.030201393367710192,True,1107.4486247913972,0.022313973817779054,False
round53_sealed_v12_moderate_3600_V12_M3_Q30_seed894901702,moderate_3600,12,3,30,False,False,5582.469966172583,3581.5982482,0.22574708837708543,0.31644631910862764,True,1550.7211942808894,0.05931588473350609,True,372.28180335893626,0.018939100215683295,False
