parent_id,eligible,decision_valid,split,child_infeasibility_trigger,strict_bound_trigger,normalized_disjunction_gain,parent_native_bound_target,target_phase_required,reason,b_plus,eta_proof,eta_anchor,normalization_source,normalization_upper_bound
L1,true,1,0,0,0,0,,0,"current_child_gain_not_strict",0.17379180329874633,0,0,"proof",0.35363892908469974
L2,true,1,0,0,0,0,,0,"current_child_gain_not_strict",0.23593033743091649,0,0,"proof",0.35363892908469974
L3,true,1,1,1,0,,,0,"current_complete_child_infeasibility",0.32434010332119489,,,"proof",0.33993609699240646
L3.0,true,1,0,0,0,0,,0,"current_child_gain_not_strict",0.32434010332119489,0,0,"proof",0.33993609699240646
