leaf_id,gamma_L,gamma_U,factory_version,factory_signature,canonical_row_signature,model_sha256,global_family_count,interval_family_count,selector_variable_count,contract_valid
R.1.0.0.0.0.0.1,0.18139092116052352,0.18418155071683925,round19_v2_projected_centering,10840525aaeed99f,571564b6ad395a96594bcaa69bbedd0aa329ba49a1b3734424eea29aa11f316a,571564b6ad395a96594bcaa69bbedd0aa329ba49a1b3734424eea29aa11f316a,6,9,0,1
R.1.0.0.0.0.0.0,0.17860029160420776,0.18139092116052352,round19_v2_projected_centering,ecda583edea0da15,02dbd408e717cbc117a184f698d3c116722726dc5435863defd9d5fbd1687b1f,02dbd408e717cbc117a184f698d3c116722726dc5435863defd9d5fbd1687b1f,6,9,0,1
R.1.0.0.0.0.1.0,0.18418155071683925,0.18697218027315499,round19_v2_projected_centering,4e084694e4558a3a,e7d808c6c09c231d464cdb47b21ab76b13d1daa6904869e9d84b493537a8c665,e7d808c6c09c231d464cdb47b21ab76b13d1daa6904869e9d84b493537a8c665,6,9,0,1
R.1.0.0.0.0.1.1,0.18697218027315499,0.18976280982947075,round19_v2_projected_centering,9d248a54a046d4bd,7ce253b555963f653e7c84c7988c437b1b99644696bb364eb564099a5e516962,7ce253b555963f653e7c84c7988c437b1b99644696bb364eb564099a5e516962,6,9,0,1
R.1.0.0.0.0.0.1.0,0.18139092116052352,0.18278623593868137,round19_v2_projected_centering,08011f8d3809ce38,9057bce39c035813929a95811943d3496d37fc0b0d50d37dbc56d0dd04b5ea39,9057bce39c035813929a95811943d3496d37fc0b0d50d37dbc56d0dd04b5ea39,6,9,0,1
R.1.0.0.0.0.0.1.1,0.18278623593868137,0.18418155071683925,round19_v2_projected_centering,9b8156e94bf14004,6022ba12b45bddded99d967ea0e305e3a87573969df3461ebb549e1723ba2656,6022ba12b45bddded99d967ea0e305e3a87573969df3461ebb549e1723ba2656,6,9,0,1
R.1.0.0.0.0.1.0.1,0.18557686549499713,0.18697218027315499,round19_v2_projected_centering,092792f8f35276ae,9fd68858a035a258d9f4940c23da3d22a431795ce024c4fb474c286315388dc1,9fd68858a035a258d9f4940c23da3d22a431795ce024c4fb474c286315388dc1,6,9,0,1
R.1.0.0.0.0.1.0.0,0.18418155071683925,0.18557686549499713,round19_v2_projected_centering,50b20d81584898a9,7e30040092805c89adbe95f4f33250376a65ed3a387d62adf4f06c328484e3b8,7e30040092805c89adbe95f4f33250376a65ed3a387d62adf4f06c328484e3b8,6,9,0,1
R.1.0.0.0.0.0.1.0.0,0.18139092116052352,0.18208857854960245,round19_v2_projected_centering,6a9fbdb10c280f1a,f690dc1ee7e0dd4936ec0a65981517df46a11e8ff8e28939095e8f25879a6403,f690dc1ee7e0dd4936ec0a65981517df46a11e8ff8e28939095e8f25879a6403,6,9,0,1
R.1.0.0.0.0.0.1.0.1,0.18208857854960245,0.18278623593868137,round19_v2_projected_centering,e1ece985365970cd,caf870ce3eea9fcd4ec9cf8850f0988179dee810408c019f939255cc6fa0f7a1,caf870ce3eea9fcd4ec9cf8850f0988179dee810408c019f939255cc6fa0f7a1,6,9,0,1
R.1.0.0.0.0.0.0.0,0.17860029160420776,0.17999560638236564,round19_v2_projected_centering,45e62750023d7e70,87089d1f998724338d69b645dd2981e343dde3c4b0a15cfd2c44b20a45ac9f6c,87089d1f998724338d69b645dd2981e343dde3c4b0a15cfd2c44b20a45ac9f6c,6,9,0,1
R.1.0.0.0.0.0.0.1,0.17999560638236564,0.18139092116052352,round19_v2_projected_centering,77fbaaa5f2fc2d5e,c7ca5f8ca8fd39cda97d7e612395c663635ff688833256f499b2939cf4684970,c7ca5f8ca8fd39cda97d7e612395c663635ff688833256f499b2939cf4684970,6,9,0,1
R.1.0.0.0.0.0.1.1.1,0.18348389332776033,0.18418155071683925,round19_v2_projected_centering,548cca46470fb833,0943fa1d567d30665b947414d7b78b7655180d0458bc936b34b2df90d05d0468,0943fa1d567d30665b947414d7b78b7655180d0458bc936b34b2df90d05d0468,6,9,0,1
R.1.0.0.0.0.0.1.1.0,0.18278623593868137,0.18348389332776033,round19_v2_projected_centering,b79c4a42115fab27,ff57294671b52da40e4fc1b5951feb672b91b79a06f89bc11bf3c16425bdd313,ff57294671b52da40e4fc1b5951feb672b91b79a06f89bc11bf3c16425bdd313,6,9,0,1
R.1.0.0.0.1.0,0.18976280982947075,0.19534406894210224,round19_v2_projected_centering,da9539c54e9e8c08,12df9227094928cb178903fdadbb58c246e9bcf44abf8d7ac7195f9ea801e0ae,12df9227094928cb178903fdadbb58c246e9bcf44abf8d7ac7195f9ea801e0ae,6,9,0,1
R.1.0.0.0.1.1,0.19534406894210224,0.20092532805473373,round19_v2_projected_centering,b5590ed89d5e9c45,b1786cc63d78070f8b00384e12b77e39881e97ec7eeb5f329d8d1acc511afb06,b1786cc63d78070f8b00384e12b77e39881e97ec7eeb5f329d8d1acc511afb06,6,9,0,1
