stage,suite,instance,budget_seconds,arm,run_id,ub_view,comparison_ub,observed_horizon_seconds,normalized_bound_progress_auc,observation_count,performance_eligible
stage2,existing,V12_M1,900,S0,stage2__V12_M1__s0__900s__dense_on,plain_ub,0.3572005832084155,110.6047345,0.9600170174707038,7682,True
stage2,existing,V12_M1,900,S0,stage2__V12_M1__s0__900s__dense_on,frozen_common_ub,0.3572005832084155,110.6047345,0.9600170174707038,7682,True
stage2,existing,V12_M1,900,plain,stage2__V12_M1__plain__900s__dense_on,plain_ub,0.3572005832084155,616.3255237000001,0.9618205130437434,391411,True
stage2,existing,V12_M1,900,plain,stage2__V12_M1__plain__900s__dense_on,frozen_common_ub,0.3572005832084155,616.3255237000001,0.9618205130437434,391411,True
stage2,existing,V12_M2,900,S0,stage2__V12_M2__s0__900s__dense_on,plain_ub,0.7185040707549709,266.8244039,0.9684048781529085,12740,True
stage2,existing,V12_M2,900,S0,stage2__V12_M2__s0__900s__dense_on,frozen_common_ub,0.7185040707549709,266.8244039,0.9684048781529085,12740,True
stage2,existing,V12_M2,900,plain,stage2__V12_M2__plain__900s__dense_on,plain_ub,0.7185040707549709,882.0009937,0.7959197226804654,64449,True
stage2,existing,V12_M2,900,plain,stage2__V12_M2__plain__900s__dense_on,frozen_common_ub,0.7185040707549709,882.0009937,0.7959197226804654,64449,True
stage2,existing,high_imbalance_seed3201,900,S0,stage2__high_imbalance_seed3201__s0__900s__dense_on,plain_ub,2.4434031919432,862.7209756,0.9577786271207618,10364,True
stage2,existing,high_imbalance_seed3201,900,S0,stage2__high_imbalance_seed3201__s0__900s__dense_on,frozen_common_ub,2.4434031919432,862.7209756,0.9577786271207618,10364,True
stage2,existing,high_imbalance_seed3201,900,plain,stage2__high_imbalance_seed3201__plain__900s__dense_on,plain_ub,2.4434031919432,882.0146204,0.8268173791395134,2419,True
stage2,existing,high_imbalance_seed3201,900,plain,stage2__high_imbalance_seed3201__plain__900s__dense_on,frozen_common_ub,2.4434031919432,882.0146204,0.8268173791395134,2419,True
stage2,existing,high_imbalance_seed3202,900,S0,stage2__high_imbalance_seed3202__s0__900s__dense_on,plain_ub,1.7651813107857242,861.9844317,0.9577053146080532,4928,True
stage2,existing,high_imbalance_seed3202,900,S0,stage2__high_imbalance_seed3202__s0__900s__dense_on,frozen_common_ub,1.7493134520506337,861.9844317,0.9663925699562791,4928,True
stage2,existing,high_imbalance_seed3202,900,plain,stage2__high_imbalance_seed3202__plain__900s__dense_on,plain_ub,1.7651813107857242,882.0124581,0.5986128540502618,4184,True
stage2,existing,high_imbalance_seed3202,900,plain,stage2__high_imbalance_seed3202__plain__900s__dense_on,frozen_common_ub,1.7493134520506337,882.0124581,0.6040428152695847,4184,True
stage2,existing,moderate_seed3301,900,S0,stage2__moderate_seed3301__s0__900s__dense_on,plain_ub,0.05642737771357258,862.0063211,0.7970934391193064,4340,True
stage2,existing,moderate_seed3301,900,S0,stage2__moderate_seed3301__s0__900s__dense_on,frozen_common_ub,0.04915255266474515,862.0063211,0.9150672777663542,4340,True
stage2,existing,moderate_seed3301,900,plain,stage2__moderate_seed3301__plain__900s__dense_on,plain_ub,0.05642737771357258,882.1180278,0.7158679677321514,1664,True
stage2,existing,moderate_seed3301,900,plain,stage2__moderate_seed3301__plain__900s__dense_on,frozen_common_ub,0.04915255266474515,882.1180278,0.8218200280215127,1664,True
stage2,existing,moderate_seed3302,900,S0,stage2__moderate_seed3302__s0__900s__dense_on,plain_ub,0.20445010767962485,861.9791710999999,0.6884510227595266,6316,True
stage2,existing,moderate_seed3302,900,S0,stage2__moderate_seed3302__s0__900s__dense_on,frozen_common_ub,0.19563620654901237,861.9791710999999,0.7194674657529209,6316,True
stage2,existing,moderate_seed3302,900,plain,stage2__moderate_seed3302__plain__900s__dense_on,plain_ub,0.20445010767962485,882.1038806,0.5950515482808307,2623,True
stage2,existing,moderate_seed3302,900,plain,stage2__moderate_seed3302__plain__900s__dense_on,frozen_common_ub,0.19563620654901237,882.1038806,0.6218601110038634,2623,True
stage2,existing,tight_T_seed3101,900,S0,stage2__tight_T_seed3101__s0__900s__dense_on,plain_ub,0.1722565765191228,861.9753876,0.23423603261439155,8670,True
stage2,existing,tight_T_seed3101,900,S0,stage2__tight_T_seed3101__s0__900s__dense_on,frozen_common_ub,0.10725273413394144,861.9753876,0.3762020371917756,8670,True
