run_id,stage,suite,instance,arm,budget_seconds,root_completion_seconds,root_lower_bound,first_gini_branch_seconds,first_ordinary_branch_seconds,gini_branches,ordinary_branches,equal_estimate_sibling_pairs,discriminated_sibling_pairs,sibling_delay_max_seconds,sibling_delay_max_nodes,maximum_open_nodes,final_native_lower_bound,last_lower_bound_improvement_seconds,stagnation_seconds,simplex_iterations,iterations_per_processed_node,local_rows,mean_post_row_relaxation_lift,row_factory_seconds,row_api_seconds,native_cut_counts,dense_instrumentation_percent,dominant_observed_bottleneck
stage2__high_imbalance_seed3201__s0__900s__dense_on,stage2,existing,high_imbalance_seed3201,S0,900,6.7578479,2.1311471334409884,6.7578479,13.4816961,93,10245,93,0,709.7562265,11064.0,7661.0,2.3542472504446037,0,882.4813293,4743601,365.31390065460147,224196,0.002283676241776969,4.594119899999997,0.2824037999999999,cover=44|gub_cover=5|flow_cover=188|clique=0|fractional=2|mir=41|flow_path=0|disjunctive=0|implied_bound=712|zero_half=25|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,0.1869166032140893,sibling_starvation
stage2__high_imbalance_seed3201__s1__900s__dense_on,stage2,existing,high_imbalance_seed3201,S1,900,6.2099764,2.139948201904845,6.2099764,12.0082161,91,9028,91,0,512.6450285000001,7291.0,6413.0,2.361332260784045,0,882.4488099,3997718,339.2784520071289,241332,0.0019889015804530927,4.6484014999999985,0.22358300000000003,cover=46|gub_cover=9|flow_cover=111|clique=0|fractional=3|mir=56|flow_path=0|disjunctive=0|implied_bound=615|zero_half=28|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,0.1477293195508689,sibling_starvation
stage2__high_imbalance_seed3202__s0__900s__dense_on,stage2,existing,high_imbalance_seed3202,S0,900,7.2016101,1.448790683549598,7.2016101,12.1461381,108,4792,108,0,652.2425900000001,5233.0,3196.0,1.7106233063320933,0,882.2577306,3779586,572.7513259584786,271872,0.0009165822210738157,5.504498600000006,0.2957384,cover=32|gub_cover=5|flow_cover=341|clique=1|fractional=0|mir=41|flow_path=0|disjunctive=0|implied_bound=859|zero_half=37|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,0.03762114060229004,sibling_starvation
stage2__high_imbalance_seed3202__s1__900s__dense_on,stage2,existing,high_imbalance_seed3202,S1,900,6.1226281,1.4312629853487282,6.1226281,11.1258647,94,4947,94,0,326.945282,2536.0,3305.0,1.699286432788388,0,882.3284612,3397870,502.71785767125317,236472,0.0031048476835335887,4.750465399999997,0.23840620000000004,cover=44|gub_cover=5|flow_cover=118|clique=1|fractional=0|mir=51|flow_path=0|disjunctive=0|implied_bound=729|zero_half=29|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,0.0375485001586013,sibling_starvation
stage2__moderate_seed3301__s0__900s__dense_on,stage2,existing,moderate_seed3301,S0,900,6.4605966,0.03453798009362849,6.4605966,10.5758494,150,4165,150,0,602.6908972,3749.0,2796.0,0.04582884457139124,0,882.3397742,1989235,341.08967764060355,403129,0.00019930196356100213,8.537923900000004,0.5755547999999999,cover=46|gub_cover=0|flow_cover=117|clique=0|fractional=2|mir=30|flow_path=0|disjunctive=0|implied_bound=1428|zero_half=11|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,0.030248474850165755,sibling_starvation
stage2__moderate_seed3301__s1__900s__dense_on,stage2,existing,moderate_seed3301,S1,900,5.1114068,0.03472304540982346,5.1114068,8.0956044,165,4991,165,0,629.2181664,5319.0,3013.0,0.0464395076085957,0,882.410531,1276331,174.7680405312885,434742,0.00019137577814146118,9.381960299999996,0.6779177000000003,cover=24|gub_cover=1|flow_cover=26|clique=0|fractional=6|mir=27|flow_path=0|disjunctive=0|implied_bound=906|zero_half=8|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,0.04590770609398797,sibling_starvation
stage2__moderate_seed3302__s0__900s__dense_on,stage2,existing,moderate_seed3302,S0,900,6.2713416,0.11195893573207412,6.2713416,12.7400464,122,6163,122,0,798.3002038,6929.0,5247.0,0.14235799745236324,0,882.3490899,3692076,504.6577364680153,299831,0.0008971631486383572,6.686311199999999,0.3145014,cover=13|gub_cover=13|flow_cover=195|clique=0|fractional=8|mir=44|flow_path=0|disjunctive=0|implied_bound=399|zero_half=20|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,0.05836796192087537,sibling_starvation
stage2__moderate_seed3302__s1__900s__dense_on,stage2,existing,moderate_seed3302,S1,900,7.4353434,0.10941596008621492,7.4353434,13.4344037,135,8862,135,0,801.039023,10717.0,6786.0,0.1429418160190675,0,882.4643527,3501271,313.7339605734767,341040,0.0008020291954035653,7.5460798,0.25632920000000015,cover=21|gub_cover=9|flow_cover=97|clique=0|fractional=4|mir=43|flow_path=0|disjunctive=0|implied_bound=337|zero_half=13|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=1|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,0.13170870353918276,sibling_starvation
stage2__tight_T_seed3101__s0__900s__dense_on,stage2,existing,tight_T_seed3101,S0,900,4.7863712,0.014627354220092537,4.7863712,9.2877613,151,8484,151,0,548.0917929,8471.0,3800.0,0.044587371306241005,0,882.3097121,5342938,396.0372099918464,410971,0.00022568310481061653,8.663876499999995,0.3142764000000002,cover=21|gub_cover=5|flow_cover=266|clique=0|fractional=5|mir=44|flow_path=0|disjunctive=0|implied_bound=580|zero_half=22|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,0.1215459465080343,sibling_starvation
stage2__tight_T_seed3101__s1__900s__dense_on,stage2,existing,tight_T_seed3101,S1,900,6.9159344,0.014290983894609753,6.9159344,12.3239503,188,6644,188,0,520.3205981,6619.0,2896.0,0.04373165173226623,0,882.3072326,4634303,430.0977262180974,485973,0.00016462297197107956,10.477019600000007,0.3435192000000003,cover=10|gub_cover=7|flow_cover=140|clique=0|fractional=1|mir=45|flow_path=0|disjunctive=0|implied_bound=456|zero_half=35|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,0.07711097192119044,sibling_starvation
