stage,suite,instance,budget_seconds,S0_status,plain_status,S0_native_lb,plain_native_lb,plain_verified_ub,frozen_common_verified_ub,S0_plain_ub_gap,plain_plain_ub_gap,S0_common_ub_gap,plain_common_ub_gap,hierarchy_winner,decision_basis,performance_eligible
stage2,existing,V12_M1,900,101,101,0.3572005832084155,0.3572005832084155,0.3572005832084155,0.3572005832084155,0.0,0.0,0.0,0.0,S0,strict_process_wall_time,True
stage2,existing,V12_M2,900,101,107,0.7185040707549651,0.5864623612276484,0.7185040707549709,0.7185040707549709,8.034971495686369e-15,0.18377308480462637,8.034971495686369e-15,0.18377308480462637,S0,strict_certificate,True
stage2,existing,high_imbalance_seed3201,900,108,107,2.3542472504446037,2.0453895645273468,2.4434031919432,2.4434031919432,0.036488428022266754,0.1628931437628676,0.036488428022266754,0.1628931437628676,S0,common_ub_native_lower_bound,True
stage2,existing,high_imbalance_seed3202,900,108,107,1.7106233063320933,1.094251875190592,1.7651813107857242,1.7493134520506337,0.030907875650091628,0.38009094674613647,0.02211733161554661,0.3744678096953667,S0,common_ub_native_lower_bound,True
stage2,existing,moderate_seed3301,900,108,107,0.04582884457139124,0.040568396762711796,0.05642737771357258,0.04915255266474515,0.18782607967323728,0.28105117752169073,0.06762025394741811,0.17464313523212746,S0,common_ub_native_lower_bound,True
stage2,existing,moderate_seed3302,900,108,107,0.14235799745236324,0.12248660886057412,0.20445010767962485,0.19563620654901237,0.30370299596300776,0.4008973130378012,0.27233307186060896,0.3739062363699647,S0,common_ub_native_lower_bound,True
stage2,existing,tight_T_seed3101,900,108,107,0.044587371306241005,0.01458543703187541,0.1722565765191228,0.10725273413394144,0.7411572190319757,0.9153272558493218,0.5842775322579792,0.8640087159581354,S0,common_ub_native_lower_bound,True
stage2,existing,tight_T_seed3102,900,108,107,0.5536878881050952,0.3232198712841516,0.6083914942609021,0.6007044366851081,0.08991513962939772,0.4687304567319571,0.0782690216830531,0.46193193932811777,S0,common_ub_native_lower_bound,True
stage3,existing,V12_M1,1800,101,101,0.3572005832084155,0.3572005832084155,0.3572005832084155,0.3572005832084155,0.0,0.0,0.0,0.0,S0,strict_process_wall_time,True
stage3,existing,V12_M2,1800,101,107,0.7185040707549651,0.5971178079556667,0.7243949354801448,0.7185040707549709,0.008132117490958216,0.17570129399112377,8.034971495686369e-15,0.16894304116016645,S0,strict_certificate,True
stage3,existing,high_imbalance_seed3201,1800,108,107,2.3681685370650123,2.0573904669000473,2.4436931141192626,2.4434031919432,0.030905917202893256,0.15808148944203393,0.03079092927694621,0.15798159154247599,S0,common_ub_native_lower_bound,True
stage3,existing,high_imbalance_seed3202,1800,108,107,1.7309075109241547,1.1258475982421532,1.8353905679342581,1.7493134520506337,0.056926879126168575,0.3865896349738243,0.010521808487153974,0.35640602493373746,S0,common_ub_native_lower_bound,True
stage3,existing,moderate_seed3301,1800,108,107,0.046154440838773785,0.04071460691268692,0.058884174969223976,0.04915255266474515,0.2161826014732045,0.3085645348013018,0.06099605541182345,0.17166851556237442,S0,common_ub_native_lower_bound,True
stage3,existing,moderate_seed3302,1800,108,107,0.14332868831052353,0.12282345400848682,0.2525257855687099,0.19563620654901237,0.4324195923686172,0.5136201488023182,0.26737135809973056,0.372184442874504,S0,common_ub_native_lower_bound,True
stage3,existing,tight_T_seed3101,1800,108,107,0.04623262060917055,0.016195070773159095,0.14687567304238552,0.10725273413394144,0.6852261531708611,0.8897361936276166,0.5689376034793348,0.8490008585428316,S0,common_ub_native_lower_bound,True
stage3,existing,tight_T_seed3102,1800,108,107,0.5620470679506854,0.3298272024691279,0.6007044366851081,0.6007044366851081,0.06435339307255204,0.45093263454282634,0.06435339307255204,0.45093263454282634,S0,common_ub_native_lower_bound,True
stage4,heldout,high_imbalance_seed4201,900,108,107,2.734563407021374,2.0380630370263972,2.7846302751762,2.784107571242904,0.0179797183852919,0.26810282313064454,0.017795348402939858,0.26796541265948703,S0,common_ub_native_lower_bound,True
stage4,heldout,high_imbalance_seed4202,900,108,107,2.158503837619085,1.7157392040073198,2.229746745951722,2.2297090832281636,0.031951121113635156,0.23052283532989692,0.03193476949288297,0.23050983784697165,S0,common_ub_native_lower_bound,True
stage4,heldout,moderate_seed4301,900,103,107,,0.004278553610109157,0.04865896849455246,0.019278051143257303,,0.9120706060468965,,0.7780608849766629,unavailable,round22_s0_status103_excluded_after_correctness_fix,False
stage4,heldout,moderate_seed4302,900,108,107,0.003982031391783616,6.776263578034403e-20,0.053796641523224026,0.04854285887126694,0.925979925901795,1.0,0.91796875,1.0,S0,common_ub_native_lower_bound,True
stage4,heldout,tight_T_seed4101,900,108,107,0.48589420398679267,0.35709263132736974,0.5965870204927315,0.562981400559009,0.1855434541879837,0.40144083082390764,0.13692671995144615,0.365711494246885,S0,common_ub_native_lower_bound,True
stage4,heldout,tight_T_seed4102,900,108,107,0.1854713925590057,0.12994480348929308,0.2485776842856502,0.24331429587887546,0.2538694972076682,0.47724670513879075,0.23772916059426533,0.46593847673471256,S0,common_ub_native_lower_bound,True
stage5,existing,high_imbalance_seed3202,3600,101,107,1.749313452050633,1.1496412166944878,1.7493134520506337,1.7493134520506337,3.807972859262119e-16,0.3428043354112322,3.807972859262119e-16,0.3428043354112322,S0,strict_certificate,True
stage5,heldout,high_imbalance_seed4201,3600,108,107,2.750535975594117,2.134335399258389,2.784107571242904,2.784107571242904,0.012058296883191072,0.23338615888840764,0.012058296883191072,0.23338615888840764,S0,common_ub_native_lower_bound,True
