stage,instance,arm,run_id,source_commit,executable_sha256,instance_sha256,manifest_sha256,structural_gate_passed,native_status_code,strict_certificate_class,strict_certified_original_problem,model_correctness_verified,verified_incumbent_original_problem_feasible,feasibility_consistency_gate_passed,strict_gap_parameter_readbacks_valid,global_tree_lifecycle_valid,callback_and_exactness_failure_count,raw_event_count,raw_timestamps_strictly_increase,raw_final_bound,solver_final_endpoint_matches_result,final_record_appended,exactness_audit_passed
stage1,V12_M2,S0-C,round23_stage1__V12_M2__s0c__300s,427e15f4cb1a993093d3a355356e8a772a964cc3,880f9fb08dd178d0849447b76c8bfbafee2d5abe9402dcfbc594e558d630e3c4,0bb0416cc9540fffbb91299d5c9ed3d6c2363906424005b1c40b4e3829ddf4f0,624b3bcbd4d0a70dd1dd93df4b34472808c255734857b3ea75bd750169ce4c2e,True,108,time_limit_valid_bound,False,True,True,True,True,True,0,9395,True,0.7065069926910437,True,True,True
stage1,V12_M2,S0-M,round23_stage1__V12_M2__s0m__300s,427e15f4cb1a993093d3a355356e8a772a964cc3,880f9fb08dd178d0849447b76c8bfbafee2d5abe9402dcfbc594e558d630e3c4,0bb0416cc9540fffbb91299d5c9ed3d6c2363906424005b1c40b4e3829ddf4f0,5702a9152231298927ce434a13baadfdc818e659dbfb31cf84b5b28bbafa0a25,True,108,time_limit_valid_bound,False,True,True,True,True,True,0,9328,True,0.7064145285727573,True,True,True
stage1,high_imbalance_seed3202,S0-C,round23_stage1__high_imbalance_seed3202__s0c__300s,427e15f4cb1a993093d3a355356e8a772a964cc3,880f9fb08dd178d0849447b76c8bfbafee2d5abe9402dcfbc594e558d630e3c4,902f4c46fa076f3e24b537737c5d58ffe833e6de21e900a42bb8846d3f76db50,624b3bcbd4d0a70dd1dd93df4b34472808c255734857b3ea75bd750169ce4c2e,True,108,time_limit_valid_bound,False,True,True,True,True,True,0,2861,True,1.6806038349356158,True,True,True
stage1,high_imbalance_seed3202,S0-M,round23_stage1__high_imbalance_seed3202__s0m__300s,427e15f4cb1a993093d3a355356e8a772a964cc3,880f9fb08dd178d0849447b76c8bfbafee2d5abe9402dcfbc594e558d630e3c4,902f4c46fa076f3e24b537737c5d58ffe833e6de21e900a42bb8846d3f76db50,5702a9152231298927ce434a13baadfdc818e659dbfb31cf84b5b28bbafa0a25,True,108,time_limit_valid_bound,False,True,True,True,True,True,0,2862,True,1.6806038349356158,True,True,True
stage1,tight_T_seed3101,S0-C,round23_stage1__tight_T_seed3101__s0c__300s,427e15f4cb1a993093d3a355356e8a772a964cc3,880f9fb08dd178d0849447b76c8bfbafee2d5abe9402dcfbc594e558d630e3c4,30aea92f1d6ce551ef8fffe15acdd3422a94b06e60ddd13ad5166149653d4ef3,624b3bcbd4d0a70dd1dd93df4b34472808c255734857b3ea75bd750169ce4c2e,True,108,time_limit_valid_bound,False,True,True,True,True,True,0,1509,True,0.039543179603393507,True,True,True
stage1,tight_T_seed3101,S0-M,round23_stage1__tight_T_seed3101__s0m__300s,427e15f4cb1a993093d3a355356e8a772a964cc3,880f9fb08dd178d0849447b76c8bfbafee2d5abe9402dcfbc594e558d630e3c4,30aea92f1d6ce551ef8fffe15acdd3422a94b06e60ddd13ad5166149653d4ef3,5702a9152231298927ce434a13baadfdc818e659dbfb31cf84b5b28bbafa0a25,True,108,time_limit_valid_bound,False,True,True,True,True,True,0,1025,True,0.038748802415877304,True,True,True
stage2,V12_M1,S0-C,round23_stage2__V12_M1__s0c__900s,427e15f4cb1a993093d3a355356e8a772a964cc3,880f9fb08dd178d0849447b76c8bfbafee2d5abe9402dcfbc594e558d630e3c4,e395cfef336d3407a65f04d7e201aa29ac844a08aff25d1991ce6983e5e9508d,624b3bcbd4d0a70dd1dd93df4b34472808c255734857b3ea75bd750169ce4c2e,True,101,native_engineering_exact_optimal,True,True,True,True,True,True,0,11203,True,0.35720058320841547,True,True,True
stage2,V12_M1,S0-M,round23_stage2__V12_M1__s0m__900s,427e15f4cb1a993093d3a355356e8a772a964cc3,880f9fb08dd178d0849447b76c8bfbafee2d5abe9402dcfbc594e558d630e3c4,e395cfef336d3407a65f04d7e201aa29ac844a08aff25d1991ce6983e5e9508d,5702a9152231298927ce434a13baadfdc818e659dbfb31cf84b5b28bbafa0a25,True,101,native_engineering_exact_optimal,True,True,True,True,True,True,0,11197,True,0.35720058320841547,True,True,True
stage2,V12_M2,S0-C,round23_stage2__V12_M2__s0c__900s,427e15f4cb1a993093d3a355356e8a772a964cc3,880f9fb08dd178d0849447b76c8bfbafee2d5abe9402dcfbc594e558d630e3c4,0bb0416cc9540fffbb91299d5c9ed3d6c2363906424005b1c40b4e3829ddf4f0,624b3bcbd4d0a70dd1dd93df4b34472808c255734857b3ea75bd750169ce4c2e,True,101,native_engineering_exact_optimal,True,True,True,True,True,True,0,16870,True,0.718504070754971,True,True,True
stage2,V12_M2,S0-M,round23_stage2__V12_M2__s0m__900s,427e15f4cb1a993093d3a355356e8a772a964cc3,880f9fb08dd178d0849447b76c8bfbafee2d5abe9402dcfbc594e558d630e3c4,0bb0416cc9540fffbb91299d5c9ed3d6c2363906424005b1c40b4e3829ddf4f0,5702a9152231298927ce434a13baadfdc818e659dbfb31cf84b5b28bbafa0a25,True,101,native_engineering_exact_optimal,True,True,True,True,True,True,0,16875,True,0.718504070754971,True,True,True
