stage,suite,instance,budget_seconds,S0_strict,plain_strict,S0_process_wall_seconds,plain_process_wall_seconds,hierarchy_winner,decision_basis
stage2,existing,V12_M1,900,True,True,124.1571048,619.4512238,S0,strict_process_wall_time
stage2,existing,V12_M2,900,True,False,280.4388002,882.7390755,S0,strict_certificate
stage2,existing,high_imbalance_seed3201,900,False,False,882.4813293,882.0841265,S0,common_ub_native_lower_bound
stage2,existing,high_imbalance_seed3202,900,False,False,882.2577306,882.707901,S0,common_ub_native_lower_bound
stage2,existing,moderate_seed3301,900,False,False,882.3397742,903.4535809,S0,common_ub_native_lower_bound
stage2,existing,moderate_seed3302,900,False,False,882.3490899,902.9118418,S0,common_ub_native_lower_bound
stage2,existing,tight_T_seed3101,900,False,False,882.3097121,882.1338343,S0,common_ub_native_lower_bound
stage2,existing,tight_T_seed3102,900,False,False,882.30646,882.1435806,S0,common_ub_native_lower_bound
stage3,existing,V12_M1,1800,True,True,122.7270492,620.3832578,S0,strict_process_wall_time
stage3,existing,V12_M2,1800,True,False,281.0980333,1771.3858144,S0,strict_certificate
stage3,existing,high_imbalance_seed3201,1800,False,False,1771.015799,1770.1000042,S0,common_ub_native_lower_bound
stage3,existing,high_imbalance_seed3202,1800,False,False,1770.3584629,1772.0106665,S0,common_ub_native_lower_bound
stage3,existing,moderate_seed3301,1800,False,False,1770.5904704,1801.4162523,S0,common_ub_native_lower_bound
stage3,existing,moderate_seed3302,1800,False,False,1770.643726,1803.2421046,S0,common_ub_native_lower_bound
stage3,existing,tight_T_seed3101,1800,False,False,1770.530487,1770.2867426,S0,common_ub_native_lower_bound
stage3,existing,tight_T_seed3102,1800,False,False,1770.5558745,1770.2575579,S0,common_ub_native_lower_bound
stage4,heldout,high_imbalance_seed4201,900,False,False,882.4486412,882.0924521,S0,common_ub_native_lower_bound
stage4,heldout,high_imbalance_seed4202,900,False,False,882.2129537,882.1258881,S0,common_ub_native_lower_bound
stage4,heldout,moderate_seed4301,900,False,False,22.6065082,907.6476982,unavailable,round22_s0_status103_excluded_after_correctness_fix
stage4,heldout,moderate_seed4302,900,False,False,882.1855889,914.1010464,S0,common_ub_native_lower_bound
stage4,heldout,tight_T_seed4101,900,False,False,882.3483649,882.1539393,S0,common_ub_native_lower_bound
stage4,heldout,tight_T_seed4102,900,False,False,882.4788516,882.1412779,S0,common_ub_native_lower_bound
stage5,existing,high_imbalance_seed3202,3600,True,False,3285.8834974,3576.5976295,S0,strict_certificate
stage5,heldout,high_imbalance_seed4201,3600,False,False,3572.4849191,3570.2853631,S0,common_ub_native_lower_bound
