stage,suite,instance,budget_seconds,arm,run_id,ub_view,comparison_ub,gap_threshold,crossing_observed,preceding_observation_seconds,preceding_gap,first_observed_crossing_seconds,first_observed_gap
stage2,existing,V12_M1,900,S0,stage2__V12_M1__s0__900s__dense_on,plain_ub,0.3572005832084155,0.2,True,1.8123273,0.3238886757734091,1.9276564,0.12394534906637489
stage2,existing,V12_M1,900,S0,stage2__V12_M1__s0__900s__dense_on,plain_ub,0.3572005832084155,0.1,True,3.0081875,0.11767448219242822,3.0177638,0.0975267709547474
stage2,existing,V12_M1,900,S0,stage2__V12_M1__s0__900s__dense_on,plain_ub,0.3572005832084155,0.05,True,31.1038899,0.050087729309303934,31.124047,0.04995884421907169
stage2,existing,V12_M1,900,S0,stage2__V12_M1__s0__900s__dense_on,plain_ub,0.3572005832084155,0.02,True,63.4908423,0.020070563190949645,63.6103338,0.019912481870224732
stage2,existing,V12_M1,900,S0,stage2__V12_M1__s0__900s__dense_on,plain_ub,0.3572005832084155,0.01,True,85.4927983,0.01000090536948852,85.5183732,0.00999997264340902
stage2,existing,V12_M1,900,S0,stage2__V12_M1__s0__900s__dense_on,plain_ub,0.3572005832084155,0.005,True,99.1284656,0.005004746320020564,99.1444863,0.00499990159295865
stage2,existing,V12_M1,900,S0,stage2__V12_M1__s0__900s__dense_on,plain_ub,0.3572005832084155,0.001,True,109.3939889,0.001056051945790625,109.4744796,0.0009968267134529817
stage2,existing,V12_M1,900,S0,stage2__V12_M1__s0__900s__dense_on,frozen_common_ub,0.3572005832084155,0.2,True,1.8123273,0.3238886757734091,1.9276564,0.12394534906637489
stage2,existing,V12_M1,900,S0,stage2__V12_M1__s0__900s__dense_on,frozen_common_ub,0.3572005832084155,0.1,True,3.0081875,0.11767448219242822,3.0177638,0.0975267709547474
stage2,existing,V12_M1,900,S0,stage2__V12_M1__s0__900s__dense_on,frozen_common_ub,0.3572005832084155,0.05,True,31.1038899,0.050087729309303934,31.124047,0.04995884421907169
stage2,existing,V12_M1,900,S0,stage2__V12_M1__s0__900s__dense_on,frozen_common_ub,0.3572005832084155,0.02,True,63.4908423,0.020070563190949645,63.6103338,0.019912481870224732
stage2,existing,V12_M1,900,S0,stage2__V12_M1__s0__900s__dense_on,frozen_common_ub,0.3572005832084155,0.01,True,85.4927983,0.01000090536948852,85.5183732,0.00999997264340902
stage2,existing,V12_M1,900,S0,stage2__V12_M1__s0__900s__dense_on,frozen_common_ub,0.3572005832084155,0.005,True,99.1284656,0.005004746320020564,99.1444863,0.00499990159295865
stage2,existing,V12_M1,900,S0,stage2__V12_M1__s0__900s__dense_on,frozen_common_ub,0.3572005832084155,0.001,True,109.3939889,0.001056051945790625,109.4744796,0.0009968267134529817
stage2,existing,V12_M1,900,plain,stage2__V12_M1__plain__900s__dense_on,plain_ub,0.3572005832084155,0.2,True,1.7854925,0.20011812196546275,1.7996341,0.19954476544350652
stage2,existing,V12_M1,900,plain,stage2__V12_M1__plain__900s__dense_on,plain_ub,0.3572005832084155,0.1,True,27.6074539,0.10000662126158998,27.6126007,0.09999289749620469
stage2,existing,V12_M1,900,plain,stage2__V12_M1__plain__900s__dense_on,plain_ub,0.3572005832084155,0.05,True,163.9833361,0.05000030082873663,163.9877881,0.04999979217414422
stage2,existing,V12_M1,900,plain,stage2__V12_M1__plain__900s__dense_on,plain_ub,0.3572005832084155,0.02,True,409.9034727,0.020000146026423082,409.9059201,0.019999971732146512
stage2,existing,V12_M1,900,plain,stage2__V12_M1__plain__900s__dense_on,plain_ub,0.3572005832084155,0.01,True,536.6670629,0.010000054435976121,536.6684295,0.009999997360676464
stage2,existing,V12_M1,900,plain,stage2__V12_M1__plain__900s__dense_on,plain_ub,0.3572005832084155,0.005,True,590.2382214,0.005000157763867702,590.2385449,0.004999917547933856
stage2,existing,V12_M1,900,plain,stage2__V12_M1__plain__900s__dense_on,plain_ub,0.3572005832084155,0.001,True,613.2257309,0.0010001363657652558,613.2260684,0.0009999497436984882
stage2,existing,V12_M1,900,plain,stage2__V12_M1__plain__900s__dense_on,frozen_common_ub,0.3572005832084155,0.2,True,1.7854925,0.20011812196546275,1.7996341,0.19954476544350652
stage2,existing,V12_M1,900,plain,stage2__V12_M1__plain__900s__dense_on,frozen_common_ub,0.3572005832084155,0.1,True,27.6074539,0.10000662126158998,27.6126007,0.09999289749620469
stage2,existing,V12_M1,900,plain,stage2__V12_M1__plain__900s__dense_on,frozen_common_ub,0.3572005832084155,0.05,True,163.9833361,0.05000030082873663,163.9877881,0.04999979217414422
stage2,existing,V12_M1,900,plain,stage2__V12_M1__plain__900s__dense_on,frozen_common_ub,0.3572005832084155,0.02,True,409.9034727,0.020000146026423082,409.9059201,0.019999971732146512
stage2,existing,V12_M1,900,plain,stage2__V12_M1__plain__900s__dense_on,frozen_common_ub,0.3572005832084155,0.01,True,536.6670629,0.010000054435976121,536.6684295,0.009999997360676464
