run_id,instance,arm,observed_first_touch_count,delay_seconds_median,delay_seconds_p90,delay_seconds_p95,delay_seconds_max,delay_nodes_median,delay_nodes_p95,delay_nodes_max,delays_over_300_seconds,delays_over_900_seconds,positive_node_delay_count
stage2__high_imbalance_seed3201__s0__900s__dense_on,high_imbalance_seed3201,S0,157,0.14537639999999996,132.54774940000001,383.26904449999995,709.7562265,2.0,5535.0,11064.0,10,0,157
stage2__high_imbalance_seed3201__s1__900s__dense_on,high_imbalance_seed3201,S1,169,0.19945769999999996,139.00035480000003,320.83573600000005,512.6450285000001,2.0,5126.0,7291.0,11,0,169
stage2__high_imbalance_seed3202__s0__900s__dense_on,high_imbalance_seed3202,S0,192,0.18052610000000868,122.98606080000002,291.0417119,652.2425900000001,2.0,2250.0,5233.0,7,0,192
stage2__high_imbalance_seed3202__s1__900s__dense_on,high_imbalance_seed3202,S1,167,0.2546381000000224,120.3070142,236.1023507,326.945282,2.0,1825.0,2536.0,5,0,167
stage2__moderate_seed3301__s0__900s__dense_on,moderate_seed3301,S0,281,0.12179640000002223,77.07391319999999,158.2651191,602.6908972,2.0,1342.0,3749.0,7,0,281
stage2__moderate_seed3301__s1__900s__dense_on,moderate_seed3301,S1,303,0.09488370000000046,69.84967290000003,146.6144155,629.2181664,2.0,1306.0,5319.0,3,0,303
stage2__moderate_seed3302__s0__900s__dense_on,moderate_seed3302,S0,211,0.1506138999999962,161.836971,330.8646265,798.3002038,2.0,3090.0,6929.0,12,0,211
stage2__moderate_seed3302__s1__900s__dense_on,moderate_seed3302,S1,240,0.14411960000001045,209.92953079999998,364.13336499999997,801.039023,2.0,5069.0,10717.0,17,0,240
stage2__tight_T_seed3101__s0__900s__dense_on,tight_T_seed3101,S0,285,0.12476669999999501,51.83811170000001,120.57623799999999,548.0917929,2.0,1973.0,8471.0,8,0,285
stage2__tight_T_seed3101__s1__900s__dense_on,tight_T_seed3101,S1,337,0.10751460000000179,57.62916270000005,133.74538989999996,520.3205981,2.0,1744.0,6619.0,5,0,337
stage2__tight_T_seed3102__s0__900s__dense_on,tight_T_seed3102,S0,222,0.1399214999999998,99.94457890000001,155.87608269999998,330.142426,2.0,1459.0,3010.0,5,0,222
stage2__tight_T_seed3102__s1__900s__dense_on,tight_T_seed3102,S1,228,0.1365818000000001,78.81537750000001,140.29272690000005,377.02606180000004,2.0,2427.0,6298.0,4,0,228
stage2__V12_M1__s0__900s__dense_on,V12_M1,S0,442,0.036867300000000824,6.387917099999999,13.747485499999996,53.826087900000005,2.0,1385.0,8444.0,0,0,442
stage2__V12_M1__s1__900s__dense_on,V12_M1,S1,439,0.0484852999999994,8.032476900000002,16.0454286,47.5248345,2.0,1517.0,4495.0,0,0,439
stage2__V12_M2__s0__900s__dense_on,V12_M2,S0,275,0.06528800000000246,13.0236911,50.5748196,134.4077398,2.0,3923.0,14923.0,0,0,275
stage2__V12_M2__s1__900s__dense_on,V12_M2,S1,276,0.055645599999998296,30.862525799999986,57.43576600000006,456.8571081,2.0,6123.0,45220.0,2,0,276
stage3__high_imbalance_seed3201__s0__1800s__dense_on,high_imbalance_seed3201,S0,204,0.15833920000000035,348.91482269999995,707.3831105,1707.8957206,2.0,10187.0,23459.0,25,8,204
stage3__high_imbalance_seed3201__s1__1800s__dense_on,high_imbalance_seed3201,S1,230,0.22557519999999975,249.00446839999995,458.56549980000005,992.9096705000001,2.0,5936.0,13949.0,19,4,230
stage3__high_imbalance_seed3202__s0__1800s__dense_on,high_imbalance_seed3202,S0,225,0.19260230000000433,287.0474963,405.9159535,733.6150046999999,2.0,3257.0,5233.0,18,0,225
stage3__high_imbalance_seed3202__s1__1800s__dense_on,high_imbalance_seed3202,S1,219,0.2779513999998926,243.5993107,513.9391631999999,1344.0195052,2.0,4073.0,9155.0,18,7,219
stage3__moderate_seed3301__s0__1800s__dense_on,moderate_seed3301,S0,286,0.12758479999999395,91.15792190000002,163.938766,600.2298512,2.0,1521.0,3749.0,8,0,286
stage3__moderate_seed3301__s1__1800s__dense_on,moderate_seed3301,S1,324,0.0994115000000022,90.90117670000001,202.85568790000002,1417.7222102,2.0,1945.0,9906.0,10,3,324
stage3__moderate_seed3302__s0__1800s__dense_on,moderate_seed3302,S0,256,0.1475913999999534,238.528727,426.7980724,1642.836598,2.0,3536.0,11999.0,22,5,256
stage3__moderate_seed3302__s1__1800s__dense_on,moderate_seed3302,S1,363,0.18223629999999957,308.65630880000003,610.3967458,1506.8039479,2.0,7078.0,17599.0,37,5,363
stage3__tight_T_seed3101__s0__1800s__dense_on,tight_T_seed3101,S0,326,0.12293800000000132,104.35243399999996,246.32215070000007,1269.2084678,2.0,3911.0,20026.0,16,2,326
