field,plain,s0,s1,classification
executable_sha256,b3fecef84dce8d6a2323d25a7877d5f16d14aa5f1fb644ae642bf636a229ee62,b3fecef84dce8d6a2323d25a7877d5f16d14aa5f1fb644ae642bf636a229ee62,b3fecef84dce8d6a2323d25a7877d5f16d14aa5f1fb644ae642bf636a229ee62,same_core_setting
source_commit,,,,same_core_setting
instance_path,E:\codes\ExactEBRP\reference\heldout_round22\V20_M3\moderate_seed4301.txt,E:\codes\ExactEBRP\reference\heldout_round22\V20_M3\moderate_seed4301.txt,E:\codes\ExactEBRP\reference\heldout_round22\V20_M3\moderate_seed4301.txt,same_core_setting
instance_sha256,,,,same_core_setting
internal_instance_hash,67459d3ab38ff69f,67459d3ab38ff69f,67459d3ab38ff69f,same_core_setting
lambda,0.15,0.15,0.15,same_core_setting
route_time_limit,,,,same_core_setting
stations,20,20,20,same_core_setting
vehicles,3,3,3,same_core_setting
vehicle_capacities,,,,same_core_setting
pickup_time,60,60,60,same_core_setting
drop_time,60,60,60,same_core_setting
process_wall_budget,900,900,900,same_core_setting
native_deadline,882,882,882,same_core_setting
threads,1,1,1,same_core_setting
presolve,1,on,on,expected_plain_versus_Tailored_difference
search,1,traditional,traditional,expected_plain_versus_Tailored_difference
node_selection,1,1,1,same_core_setting
relative_gap_requested,0,0,0,same_core_setting
relative_gap_effective,0,0,0,same_core_setting
absolute_gap_requested,0,0,0,same_core_setting
absolute_gap_effective,0,0,0,same_core_setting
flow,off,round20-current,normalized-start-coupled,expected_S0_versus_S1_flow_difference
child_estimate,,parent-copy,parent-copy,expected_plain_versus_Tailored_difference
row_attachment,,full-inherited-pack,full-inherited-pack,expected_plain_versus_Tailored_difference
row_timing,,deferred,deferred,expected_plain_versus_Tailored_difference
production_manifest_sha256,,,,same_core_setting
