run_id,instance,arm,estimate_mode,equal_estimate_pairs,discriminated_pairs,discrimination_fraction,child_estimate_failures
stage2__high_imbalance_seed3201__s0__900s__dense_on,high_imbalance_seed3201,S0,parent-copy,93,0,0.0,0
stage2__high_imbalance_seed3201__s1__900s__dense_on,high_imbalance_seed3201,S1,parent-copy,91,0,0.0,0
stage2__high_imbalance_seed3202__s0__900s__dense_on,high_imbalance_seed3202,S0,parent-copy,108,0,0.0,0
stage2__high_imbalance_seed3202__s1__900s__dense_on,high_imbalance_seed3202,S1,parent-copy,94,0,0.0,0
stage2__moderate_seed3301__s0__900s__dense_on,moderate_seed3301,S0,parent-copy,150,0,0.0,0
stage2__moderate_seed3301__s1__900s__dense_on,moderate_seed3301,S1,parent-copy,165,0,0.0,0
stage2__moderate_seed3302__s0__900s__dense_on,moderate_seed3302,S0,parent-copy,122,0,0.0,0
stage2__moderate_seed3302__s1__900s__dense_on,moderate_seed3302,S1,parent-copy,135,0,0.0,0
stage2__tight_T_seed3101__s0__900s__dense_on,tight_T_seed3101,S0,parent-copy,151,0,0.0,0
stage2__tight_T_seed3101__s1__900s__dense_on,tight_T_seed3101,S1,parent-copy,188,0,0.0,0
stage2__tight_T_seed3102__s0__900s__dense_on,tight_T_seed3102,S0,parent-copy,124,0,0.0,0
stage2__tight_T_seed3102__s1__900s__dense_on,tight_T_seed3102,S1,parent-copy,127,0,0.0,0
stage2__V12_M1__s0__900s__dense_on,V12_M1,S0,parent-copy,223,0,0.0,0
stage2__V12_M1__s1__900s__dense_on,V12_M1,S1,parent-copy,222,0,0.0,0
stage2__V12_M2__s0__900s__dense_on,V12_M2,S0,parent-copy,140,0,0.0,0
stage2__V12_M2__s1__900s__dense_on,V12_M2,S1,parent-copy,140,0,0.0,0
stage3__high_imbalance_seed3201__s0__1800s__dense_on,high_imbalance_seed3201,S0,parent-copy,115,0,0.0,0
stage3__high_imbalance_seed3201__s1__1800s__dense_on,high_imbalance_seed3201,S1,parent-copy,125,0,0.0,0
stage3__high_imbalance_seed3202__s0__1800s__dense_on,high_imbalance_seed3202,S0,parent-copy,120,0,0.0,0
stage3__high_imbalance_seed3202__s1__1800s__dense_on,high_imbalance_seed3202,S1,parent-copy,116,0,0.0,0
stage3__moderate_seed3301__s0__1800s__dense_on,moderate_seed3301,S0,parent-copy,151,0,0.0,0
stage3__moderate_seed3301__s1__1800s__dense_on,moderate_seed3301,S1,parent-copy,173,0,0.0,0
stage3__moderate_seed3302__s0__1800s__dense_on,moderate_seed3302,S0,parent-copy,151,0,0.0,0
stage3__moderate_seed3302__s1__1800s__dense_on,moderate_seed3302,S1,parent-copy,204,0,0.0,0
stage3__tight_T_seed3101__s0__1800s__dense_on,tight_T_seed3101,S0,parent-copy,171,0,0.0,0
stage3__tight_T_seed3101__s1__1800s__dense_on,tight_T_seed3101,S1,parent-copy,192,0,0.0,0
stage3__tight_T_seed3102__s0__1800s__dense_on,tight_T_seed3102,S0,parent-copy,127,0,0.0,0
stage3__tight_T_seed3102__s1__1800s__dense_on,tight_T_seed3102,S1,parent-copy,130,0,0.0,0
stage3__V12_M1__s0__1800s__dense_on,V12_M1,S0,parent-copy,223,0,0.0,0
stage3__V12_M1__s1__1800s__dense_on,V12_M1,S1,parent-copy,222,0,0.0,0
stage3__V12_M2__s0__1800s__dense_on,V12_M2,S0,parent-copy,140,0,0.0,0
stage3__V12_M2__s1__1800s__dense_on,V12_M2,S1,parent-copy,140,0,0.0,0
stage4__high_imbalance_seed4201__s0__900s__dense_on,high_imbalance_seed4201,S0,parent-copy,57,0,0.0,0
stage4__high_imbalance_seed4201__s1__900s__dense_on,high_imbalance_seed4201,S1,parent-copy,84,0,0.0,0
stage4__high_imbalance_seed4202__s0__900s__dense_on,high_imbalance_seed4202,S0,parent-copy,70,0,0.0,0
stage4__high_imbalance_seed4202__s1__900s__dense_on,high_imbalance_seed4202,S1,parent-copy,70,0,0.0,0
stage4__moderate_seed4302__s0__900s__dense_on,moderate_seed4302,S0,parent-copy,56,0,0.0,0
stage4__moderate_seed4302__s1__900s__dense_on,moderate_seed4302,S1,parent-copy,59,0,0.0,0
stage4__tight_T_seed4101__s0__900s__dense_on,tight_T_seed4101,S0,parent-copy,123,0,0.0,0
stage4__tight_T_seed4101__s1__900s__dense_on,tight_T_seed4101,S1,parent-copy,138,0,0.0,0
stage4__tight_T_seed4102__s0__900s__dense_on,tight_T_seed4102,S0,parent-copy,113,0,0.0,0
stage4__tight_T_seed4102__s1__900s__dense_on,tight_T_seed4102,S1,parent-copy,132,0,0.0,0
stage5__high_imbalance_seed3202__s0__3600s__dense_on,high_imbalance_seed3202,S0,parent-copy,130,0,0.0,0
stage5__high_imbalance_seed3202__s1__3600s__dense_on,high_imbalance_seed3202,S1,parent-copy,139,0,0.0,0
stage5__high_imbalance_seed4201__s0__3600s__dense_on,high_imbalance_seed4201,S0,parent-copy,86,0,0.0,0
stage5__high_imbalance_seed4201__s1__3600s__dense_on,high_imbalance_seed4201,S1,parent-copy,105,0,0.0,0
