child_uid,family,witness_root_extension_satisfies_actual_root,child_row_attachment_state,witness_evaluation,first_violation
2,direct_gini_cap,True,deferred_not_attached_before_loss,root_rows_pass; child-local row never reached,False
2,direct_gini_floor,True,deferred_not_attached_before_loss,root_rows_pass; child-local row never reached,False
2,gini_interval_bound,True,deferred_not_attached_before_loss,root_rows_pass; child-local row never reached,False
2,gini_pairwise_spread,True,deferred_not_attached_before_loss,root_rows_pass; child-local row never reached,False
2,global_handling_capacity,True,global_active,root_rows_pass; child-local row never reached,False
2,interval_tight_mccormick_G_bit,True,deferred_not_attached_before_loss,root_rows_pass; child-local row never reached,False
2,inventory_conservation,True,global_active,root_rows_pass; child-local row never reached,False
2,low_gini_centering_band,True,deferred_not_attached_before_loss,root_rows_pass; child-local row never reached,False
2,movement_reachability_domains,True,global_active,root_rows_pass; child-local row never reached,False
2,objective_lower_estimator_cutoff,True,deferred_not_attached_before_loss,root_rows_pass; child-local row never reached,False
2,penalty_deviation_upper_bound,True,deferred_not_attached_before_loss,root_rows_pass; child-local row never reached,False
2,penalty_final_inventory_domain,True,deferred_not_attached_before_loss,root_rows_pass; child-local row never reached,False
2,penalty_lower_bound_closure,True,deferred_not_attached_before_loss,root_rows_pass; child-local row never reached,False
2,required_station_movement,True,deferred_not_attached_before_loss,root_rows_pass; child-local row never reached,False
2,sp_product_mccormick,True,deferred_not_attached_before_loss,root_rows_pass; child-local row never reached,False
2,sp_product_objective_estimator_paper_safe,True,deferred_not_attached_before_loss,root_rows_pass; child-local row never reached,False
2,support_duration,True,global_active,root_rows_pass; child-local row never reached,False
2,transfer_compat,True,global_active,root_rows_pass; child-local row never reached,False
2,variable_s_low_gini_centering,True,deferred_not_attached_before_loss,root_rows_pass; child-local row never reached,False
2,verified_incumbent_objective_row,True,global_active,root_rows_pass; child-local row never reached,False
2,visit_inventory_linking,True,global_active,root_rows_pass; child-local row never reached,False
