run_id,instance,arm,return_code,interrupted,runner_wall_seconds,structural_gate_passed,structural_gate_failures,status,native_mip_status_code,native_mip_status_text,strict_certified_original_problem,strict_certificate_class,runtime_seconds,wall_time_seconds,native_mip_best_bound,verified_incumbent_objective,global_gini_tree_gini_children_created,global_gini_tree_sibling_first_process_count,global_gini_tree_sibling_equal_estimate_pairs,global_gini_tree_sibling_discriminated_pairs
round23_stage2__V12_M1__s0c__900s,V12_M1,S0-C,0,False,308.9487207001075,True,,optimal,101,integer optimal solution,True,native_engineering_exact_optimal,308.9233091,308.9233091,0.35720058320841547,0.3572005832084155,472,468,236,0
round23_stage2__V12_M1__s0m__900s,V12_M1,S0-M,0,False,310.25845790002495,True,,optimal,101,integer optimal solution,True,native_engineering_exact_optimal,310.2278851,310.2278851,0.35720058320841547,0.3572005832084155,472,468,236,0
round23_stage2__V12_M2__s0c__900s,V12_M2,S0-C,0,False,771.4505423000082,True,,optimal,101,integer optimal solution,True,native_engineering_exact_optimal,771.4241663,771.4241663,0.718504070754971,0.7185040707549709,282,277,141,0
round23_stage2__V12_M2__s0m__900s,V12_M2,S0-M,0,False,789.0640443000011,True,,optimal,101,integer optimal solution,True,native_engineering_exact_optimal,789.0391743,789.0391743,0.718504070754971,0.7185040707549709,282,277,140,1
round23_stage2__high_imbalance_seed3202__s0c__900s,high_imbalance_seed3202,S0-C,0,False,882.3924161996692,True,,global_gini_tree_time_limit,108,"time limit exceeded, no integer solution",False,time_limit_valid_bound,882.3595145,882.3595145,1.6963486674839783,1.7493134520506337,158,137,79,0
round23_stage2__high_imbalance_seed3202__s0m__900s,high_imbalance_seed3202,S0-M,0,False,882.9658325999044,True,,global_gini_tree_time_limit,108,"time limit exceeded, no integer solution",False,time_limit_valid_bound,882.9391788,882.9391788,1.6963405848470194,1.7493134520506337,158,137,79,0
round23_stage2__high_imbalance_seed4201__s0c__900s,high_imbalance_seed4201,S0-C,0,False,882.71721099969,True,,global_gini_tree_time_limit,108,"time limit exceeded, no integer solution",False,time_limit_valid_bound,882.6876135,882.6876135,2.740272483475108,2.784107571242904,142,123,71,0
round23_stage2__high_imbalance_seed4201__s0m__900s,high_imbalance_seed4201,S0-M,0,False,882.7794236000627,True,,global_gini_tree_time_limit,108,"time limit exceeded, no integer solution",False,time_limit_valid_bound,882.7460703,882.7460703,2.74049970888065,2.784107571242904,142,123,71,0
round23_stage2__tight_T_seed3101__s0c__900s,tight_T_seed3101,S0-C,0,False,882.3831632998772,True,,global_gini_tree_time_limit,108,"time limit exceeded, no integer solution",False,time_limit_valid_bound,882.2815169,882.2815169,0.043059938321521996,0.10725273413394144,324,289,162,0
round23_stage2__tight_T_seed3101__s0m__900s,tight_T_seed3101,S0-M,0,False,882.2633580998518,True,,global_gini_tree_time_limit,108,"time limit exceeded, no integer solution",False,time_limit_valid_bound,882.2364409,882.2364409,0.04399113657286026,0.10725273413394144,348,307,167,7
round23_stage2__moderate_seed4302__s0c__900s,moderate_seed4302,S0-C,0,False,882.2218955997378,True,,global_gini_tree_time_limit,108,"time limit exceeded, no integer solution",False,time_limit_valid_bound,882.1888018,882.1888018,0.004266462205482446,0.04854285887126694,108,89,54,0
round23_stage2__moderate_seed4302__s0m__900s,moderate_seed4302,S0-M,0,False,882.2060162997805,True,,global_gini_tree_time_limit,108,"time limit exceeded, no integer solution",False,time_limit_valid_bound,882.1793708,882.1793708,0.00379241084931773,0.04854285887126694,136,105,0,68
