column,mapped,value,lower_bound,upper_bound,integer,lower_bound_satisfied,upper_bound_satisfied,integrality_satisfied
G,True,0.015302186003961113,0.0,0.019278051143257303,False,True,True,True
W_SP,True,0.5261794619504997,0.0,51.61563330879861,False,True,True,True
Y_1,True,16.0,0.0,32.0,True,True,True,True
Y_10,True,16.0,8.0,31.0,True,True,True,True
Y_11,True,29.0,0.0,41.0,True,True,True,True
Y_12,True,27.0,0.0,42.0,True,True,True,True
Y_13,True,17.0,0.0,31.0,True,True,True,True
Y_14,True,17.0,0.0,25.0,True,True,True,True
Y_15,True,13.0,0.0,31.0,True,True,True,True
Y_16,True,25.0,0.0,38.0,True,True,True,True
Y_17,True,5.0,0.0,11.0,True,True,True,True
Y_18,True,23.0,2.0,35.0,True,True,True,True
Y_19,True,12.0,0.0,25.0,True,True,True,True
Y_2,True,23.0,0.0,30.0,True,True,True,True
Y_20,True,13.0,0.0,20.0,True,True,True,True
Y_3,True,1.0,1.0,1.0,True,True,True,True
Y_4,True,29.0,0.0,34.0,True,True,True,True
Y_5,True,4.0,3.0,5.0,True,True,True,True
Y_6,True,21.0,0.0,47.0,True,True,True,True
Y_7,True,36.0,11.0,48.0,True,True,True,True
Y_8,True,30.0,3.0,45.0,True,True,True,True
Y_9,True,13.0,0.0,30.0,True,True,True,True
bit_10_0,True,0.0,0.0,1.0,True,True,True,True
bit_10_1,True,0.0,0.0,1.0,True,True,True,True
bit_10_2,True,0.0,0.0,1.0,True,True,True,True
bit_10_3,True,0.0,0.0,1.0,True,True,True,True
bit_10_4,True,1.0,0.0,1.0,True,True,True,True
bit_10_5,True,0.0,0.0,1.0,True,True,True,True
bit_11_0,True,1.0,0.0,1.0,True,True,True,True
bit_11_1,True,0.0,0.0,1.0,True,True,True,True
bit_11_2,True,1.0,0.0,1.0,True,True,True,True
bit_11_3,True,1.0,0.0,1.0,True,True,True,True
bit_11_4,True,1.0,0.0,1.0,True,True,True,True
bit_11_5,True,0.0,0.0,1.0,True,True,True,True
bit_12_0,True,1.0,0.0,1.0,True,True,True,True
bit_12_1,True,1.0,0.0,1.0,True,True,True,True
bit_12_2,True,0.0,0.0,1.0,True,True,True,True
bit_12_3,True,1.0,0.0,1.0,True,True,True,True
bit_12_4,True,1.0,0.0,1.0,True,True,True,True
bit_12_5,True,0.0,0.0,1.0,True,True,True,True
bit_13_0,True,1.0,0.0,1.0,True,True,True,True
bit_13_1,True,0.0,0.0,1.0,True,True,True,True
bit_13_2,True,0.0,0.0,1.0,True,True,True,True
bit_13_3,True,0.0,0.0,1.0,True,True,True,True
bit_13_4,True,1.0,0.0,1.0,True,True,True,True
bit_14_0,True,1.0,0.0,1.0,True,True,True,True
bit_14_1,True,0.0,0.0,1.0,True,True,True,True
bit_14_2,True,0.0,0.0,1.0,True,True,True,True
bit_14_3,True,0.0,0.0,1.0,True,True,True,True
bit_14_4,True,1.0,0.0,1.0,True,True,True,True
bit_15_0,True,1.0,0.0,1.0,True,True,True,True
bit_15_1,True,0.0,0.0,1.0,True,True,True,True
bit_15_2,True,1.0,0.0,1.0,True,True,True,True
bit_15_3,True,1.0,0.0,1.0,True,True,True,True
bit_15_4,True,0.0,0.0,1.0,True,True,True,True
bit_15_5,True,0.0,0.0,1.0,True,True,True,True
bit_16_0,True,1.0,0.0,1.0,True,True,True,True
bit_16_1,True,0.0,0.0,1.0,True,True,True,True
bit_16_2,True,0.0,0.0,1.0,True,True,True,True
bit_16_3,True,1.0,0.0,1.0,True,True,True,True
bit_16_4,True,1.0,0.0,1.0,True,True,True,True
bit_16_5,True,0.0,0.0,1.0,True,True,True,True
bit_17_0,True,1.0,0.0,1.0,True,True,True,True
bit_17_1,True,0.0,0.0,1.0,True,True,True,True
bit_17_2,True,1.0,0.0,1.0,True,True,True,True
bit_17_3,True,0.0,0.0,1.0,True,True,True,True
bit_17_4,True,0.0,0.0,1.0,True,True,True,True
bit_18_0,True,1.0,0.0,1.0,True,True,True,True
bit_18_1,True,1.0,0.0,1.0,True,True,True,True
bit_18_2,True,1.0,0.0,1.0,True,True,True,True
bit_18_3,True,0.0,0.0,1.0,True,True,True,True
bit_18_4,True,1.0,0.0,1.0,True,True,True,True
bit_18_5,True,0.0,0.0,1.0,True,True,True,True
bit_19_0,True,0.0,0.0,1.0,True,True,True,True
bit_19_1,True,0.0,0.0,1.0,True,True,True,True
bit_19_2,True,1.0,0.0,1.0,True,True,True,True
bit_19_3,True,1.0,0.0,1.0,True,True,True,True
bit_19_4,True,0.0,0.0,1.0,True,True,True,True
bit_1_0,True,0.0,0.0,1.0,True,True,True,True
bit_1_1,True,0.0,0.0,1.0,True,True,True,True
bit_1_2,True,0.0,0.0,1.0,True,True,True,True
bit_1_3,True,0.0,0.0,1.0,True,True,True,True
bit_1_4,True,1.0,0.0,1.0,True,True,True,True
bit_1_5,True,0.0,0.0,1.0,True,True,True,True
bit_20_0,True,1.0,0.0,1.0,True,True,True,True
bit_20_1,True,0.0,0.0,1.0,True,True,True,True
bit_20_2,True,1.0,0.0,1.0,True,True,True,True
bit_20_3,True,1.0,0.0,1.0,True,True,True,True
bit_20_4,True,0.0,0.0,1.0,True,True,True,True
bit_2_0,True,1.0,0.0,1.0,True,True,True,True
bit_2_1,True,1.0,0.0,1.0,True,True,True,True
bit_2_2,True,1.0,0.0,1.0,True,True,True,True
bit_2_3,True,0.0,0.0,1.0,True,True,True,True
bit_2_4,True,1.0,0.0,1.0,True,True,True,True
bit_3_0,True,1.0,0.0,1.0,True,True,True,True
bit_3_1,True,0.0,0.0,1.0,True,True,True,True
bit_3_2,True,0.0,0.0,1.0,True,True,True,True
bit_3_3,True,0.0,0.0,1.0,True,True,True,True
bit_3_4,True,0.0,0.0,1.0,True,True,True,True
bit_4_0,True,1.0,0.0,1.0,True,True,True,True
bit_4_1,True,0.0,0.0,1.0,True,True,True,True
bit_4_2,True,1.0,0.0,1.0,True,True,True,True
bit_4_3,True,1.0,0.0,1.0,True,True,True,True
bit_4_4,True,1.0,0.0,1.0,True,True,True,True
bit_4_5,True,0.0,0.0,1.0,True,True,True,True
bit_5_0,True,0.0,0.0,1.0,True,True,True,True
bit_5_1,True,0.0,0.0,1.0,True,True,True,True
bit_5_2,True,1.0,0.0,1.0,True,True,True,True
