instance,S0_C_topology_branch_rows,S0_C_proved_child_estimates,S0_C_dispersion_bound_used_children,S0_C_domain_contradiction_children,S0_C_discriminated_pairs_from_trace,S0_C_mean_estimate_lift,S0_C_maximum_estimate_lift,S0_C_sibling_observations,S0_C_median_sibling_delay_seconds,S0_C_p95_sibling_delay_seconds,S0_C_maximum_sibling_delay_seconds,S0_C_median_sibling_delay_nodes,S0_C_p95_sibling_delay_nodes,S0_C_maximum_sibling_delay_nodes,S0_C_process_wall_seconds,S0_C_row_factory_seconds,S0_C_callback_packing_seconds,S0_C_local_row_api_seconds,S0_C_dense_callback_wall_seconds,S0_C_dense_serialization_seconds,S0_C_dense_instrumentation_wall_percent,S0_C_processed_nodes,S0_C_simplex_iterations,S0_C_gini_children,S0_C_ordinary_branches,S0_M_topology_branch_rows,S0_M_proved_child_estimates,S0_M_dispersion_bound_used_children,S0_M_domain_contradiction_children,S0_M_discriminated_pairs_from_trace,S0_M_mean_estimate_lift,S0_M_maximum_estimate_lift,S0_M_sibling_observations,S0_M_median_sibling_delay_seconds,S0_M_p95_sibling_delay_seconds,S0_M_maximum_sibling_delay_seconds,S0_M_median_sibling_delay_nodes,S0_M_p95_sibling_delay_nodes,S0_M_maximum_sibling_delay_nodes,S0_M_process_wall_seconds,S0_M_row_factory_seconds,S0_M_callback_packing_seconds,S0_M_local_row_api_seconds,S0_M_dense_callback_wall_seconds,S0_M_dense_serialization_seconds,S0_M_dense_instrumentation_wall_percent,S0_M_processed_nodes,S0_M_simplex_iterations,S0_M_gini_children,S0_M_ordinary_branches,process_wall_delta_M_minus_C,callback_packing_delta_M_minus_C
V12_M1,236,472,0,0,0,0.0,0.0,468,0.0566281500000001,19.989713199999997,167.15230279999997,2.0,1394.0,13037.0,308.9487207001075,3.883329399999998,4.442082100000002,0.1982142000000001,1.6487088999999964,0.1263845,0.5979190790575926,21696,1150235,472,10944,236,472,0,0,0,0.0,0.0,468,0.056146799999999164,20.069093100000003,168.0769481,2.0,1394.0,13037.0,310.25845790002495,3.931270799999998,4.497526799999996,0.20252230000000002,1.677599700000005,0.1104891,0.5997126999638763,21696,1150235,472,10944,1.3097371999174356,0.055444699999993574
V12_M2,141,282,0,0,0,4.101667145862344e-05,0.01156670135133181,277,0.059639100000005385,131.776013,545.8949606,2.0,6711.0,20975.0,771.4505423000082,2.3231107999999994,2.6551419000000016,0.0395561,4.203422300000017,0.1663473,0.5766578805061249,32714,2061820,282,16701,141,282,1,0,1,4.101667145862324e-05,0.011566701351331754,277,0.060762700000005054,135.17895220000003,560.1145908,2.0,6711.0,20975.0,789.0640443000011,2.3282971999999997,2.663318600000002,0.038877400000000006,4.104836499999996,0.1692959,0.5509561927443026,32714,2061820,282,16701,17.613501999992877,0.00817670000000037
high_imbalance_seed3202,79,158,0,0,0,0.0,0.0,137,0.21755479999995941,372.2181734,763.5629495,2.0,4475.0,8018.0,882.3924161996692,4.041910099999999,4.6413980000000015,0.22607349999999998,0.6038234999999998,0.0756288,0.07879219058475306,8749,3390246,158,7041,79,158,0,0,0,0.0,0.0,137,0.2149827000000073,370.4974909,764.1242183,2.0,4475.0,8018.0,882.9658325999044,4.0246184,4.6198165999999965,0.24387620000000002,0.5782239999999985,0.0736166,0.07553833562293448,8744,3387256,158,7036,0.5734164002351463,-0.02158140000000497
high_imbalance_seed4201,71,142,0,0,0,0.0,0.0,123,0.33645449999994526,183.50131980000003,789.9718637999999,2.0,3596.0,9104.0,882.71721099969,3.6314580999999975,4.1888327,0.13085339999999998,0.7964192999999995,0.0797026,0.10155988248998075,9483,3195949,142,7904,71,142,0,0,0,0.0,0.0,123,0.34018219999995836,182.04985569999997,782.4528118000001,2.0,3596.0,9104.0,882.7794236000627,3.5874885,4.1121438999999995,0.2687618999999999,0.8215994999999979,0.0803737,0.10454945097581259,9540,3217359,142,7951,0.062212600372731686,-0.07668880000000033
tight_T_seed3101,162,324,0,0,0,0.00022383832670263743,0.03753998677919098,289,0.1562675999999783,183.99979249999998,601.5506319,2.0,1634.0,4958.0,882.3831632998772,9.125043699999999,10.316707200000002,0.26288,0.23313900000000018,0.0519766,0.03306574260208704,6896,3100624,324,4709,174,348,7,0,7,0.0002464952443542939,0.03876870701204282,307,0.1388645999999767,151.20309070000008,562.7683657,2.0,983.0,3533.0,882.2633580998518,9.7068381,10.94801,0.28989650000000017,0.1409316000000002,0.0367273,0.020604693138999087,5327,3668315,348,3357,-0.11980520002543926,0.6313027999999985
moderate_seed4302,54,108,0,0,0,0.0007400468393460293,0.02427142943563347,89,0.24477070000000012,214.44458369999995,302.33898250000004,2.0,750.0,1254.0,882.2218955997378,2.918592500000002,3.2797646999999994,0.11898039999999993,0.03619709999999998,0.0177271,0.006254408964869445,3182,2912986,108,1680,68,136,127,0,68,0.000894740934996097,0.02490871854099377,105,0.05777869999997165,257.9266323,487.55190230000005,1.0,901.0,1680.0,882.2060162997805,3.546444899999998,3.972672,0.16190529999999997,0.03268540000000001,0.0156438,0.005605585917118091,2877,2951056,136,1456,-0.015879299957305193,0.6929073000000008
