instance,arm,run_id,frozen_common_verified_ub,final_native_lb,final_common_ub_gap,normalized_bound_progress_auc,auc_horizon_seconds,raw_bound_observation_count,last_valid_lb_improvement_seconds,stagnation_duration_seconds
V12_M1,S0-C,round23_stage2__V12_M1__s0c__900s,0.3572005832084155,0.35720058320841547,1.5540610469515607e-16,0.9736838078851677,296.6510928,11203,296.6499973,0.0068100999999956
V12_M1,S0-M,round23_stage2__V12_M1__s0m__900s,0.3572005832084155,0.35720058320841547,1.5540610469515607e-16,0.9737453397543625,297.9422636,11197,297.941959,0.0068334000000049855
V12_M2,S0-C,round23_stage2__V12_M2__s0c__900s,0.7185040707549709,0.718504070754971,0.0,0.9800960419140796,757.4432697,16870,757.4418619,0.0067257999999128515
V12_M2,S0-M,round23_stage2__V12_M2__s0m__900s,0.7185040707549709,0.718504070754971,0.0,0.9802790484018143,775.4307829,16875,775.4299923,0.006412400000044727
high_imbalance_seed3202,S0-C,round23_stage2__high_imbalance_seed3202__s0c__900s,1.7493134520506337,1.6963486674839783,0.03027746942925948,0.9617899048862317,861.9810405,7143,861.7007198,0.29325949999997647
high_imbalance_seed3202,S0-M,round23_stage2__high_imbalance_seed3202__s0m__900s,1.7493134520506337,1.6963405848470194,0.030282089891618222,0.9618058141254169,862.5552433,7138,862.5669629,0.000885100000004968
high_imbalance_seed4201,S0-C,round23_stage2__high_imbalance_seed4201__s0c__900s,2.784107571242904,2.740272483475108,0.0157447536225143,0.9814285335377966,862.2323763,8003,861.2068666,1.0389714000000367
high_imbalance_seed4201,S0-M,round23_stage2__high_imbalance_seed4201__s0m__900s,2.784107571242904,2.74049970888065,0.015663138455094407,0.9814505933872657,862.2921379,8049,860.9282369,1.3772219999999606
tight_T_seed3101,S0-C,round23_stage2__tight_T_seed3101__s0c__900s,0.10725273413394144,0.043059938321521996,0.5985189685910753,0.371876971845527,862.0001209999999,4905,862.0167387,0.0005374999999503416
tight_T_seed3101,S0-M,round23_stage2__tight_T_seed3101__s0m__900s,0.10725273413394144,0.04399113657286026,0.5898366887512406,0.3691388145549452,861.9964387,3567,862.0143691,0.00046270000007098133
moderate_seed4302,S0-C,round23_stage2__moderate_seed4302__s0c__900s,0.04854285887126694,0.004266462205482446,0.9121093749999999,0.0647884240558881,862.0041094999999,1747,809.8954123,52.126307699999984
moderate_seed4302,S0-M,round23_stage2__moderate_seed4302__s0m__900s,0.04854285887126694,0.00379241084931773,0.921875,0.05018942826907991,861.9885465,1543,825.2413968,36.76463960000001
