instance,frozen_common_verified_ub,selection_rule,source_run_ids,frozen_before_round23_candidate_runs,plain_information_enters_tailored_solve
V12_M1,0.3572005832084155,minimum independently verified UB in immutable Round 22 official evidence,stage2__V12_M1__plain__900s__dense_on|stage2__V12_M1__s0__900s__dense_on|stage2__V12_M1__s1__900s__dense_on|stage3__V12_M1__plain__1800s__dense_on|stage3__V12_M1__s0__1800s__dense_on|stage3__V12_M1__s1__1800s__dense_on,True,False
V12_M2,0.7185040707549709,minimum independently verified UB in immutable Round 22 official evidence,stage2__V12_M2__plain__900s__dense_on|stage2__V12_M2__s0__900s__dense_on|stage2__V12_M2__s1__900s__dense_on|stage3__V12_M2__s0__1800s__dense_on|stage3__V12_M2__s1__1800s__dense_on,True,False
high_imbalance_seed3201,2.4434031919432,minimum independently verified UB in immutable Round 22 official evidence,stage2__high_imbalance_seed3201__plain__900s__dense_on|stage2__high_imbalance_seed3201__s0__900s__dense_on|stage2__high_imbalance_seed3201__s1__900s__dense_on|stage3__high_imbalance_seed3201__s0__1800s__dense_on|stage3__high_imbalance_seed3201__s1__1800s__dense_on,True,False
high_imbalance_seed3202,1.7493134520506337,minimum independently verified UB in immutable Round 22 official evidence,stage2__high_imbalance_seed3202__s0__900s__dense_on|stage2__high_imbalance_seed3202__s1__900s__dense_on|stage3__high_imbalance_seed3202__s0__1800s__dense_on|stage3__high_imbalance_seed3202__s1__1800s__dense_on|stage5__high_imbalance_seed3202__plain__3600s__dense_on|stage5__high_imbalance_seed3202__s0__3600s__dense_on|stage5__high_imbalance_seed3202__s1__3600s__dense_on,True,False
high_imbalance_seed4201,2.784107571242904,minimum independently verified UB in immutable Round 22 official evidence,stage4__high_imbalance_seed4201__s0__900s__dense_on|stage4__high_imbalance_seed4201__s1__900s__dense_on|stage5__high_imbalance_seed4201__plain__3600s__dense_on|stage5__high_imbalance_seed4201__s0__3600s__dense_on|stage5__high_imbalance_seed4201__s1__3600s__dense_on,True,False
high_imbalance_seed4202,2.2297090832281636,minimum independently verified UB in immutable Round 22 official evidence,stage4__high_imbalance_seed4202__s0__900s__dense_on|stage4__high_imbalance_seed4202__s1__900s__dense_on,True,False
moderate_seed3301,0.04915255266474515,minimum independently verified UB in immutable Round 22 official evidence,stage2__moderate_seed3301__s0__900s__dense_on|stage2__moderate_seed3301__s1__900s__dense_on|stage3__moderate_seed3301__s0__1800s__dense_on|stage3__moderate_seed3301__s1__1800s__dense_on,True,False
moderate_seed3302,0.19563620654901237,minimum independently verified UB in immutable Round 22 official evidence,stage2__moderate_seed3302__s0__900s__dense_on|stage2__moderate_seed3302__s1__900s__dense_on|stage3__moderate_seed3302__s0__1800s__dense_on|stage3__moderate_seed3302__s1__1800s__dense_on,True,False
moderate_seed4301,0.019278051143257303,minimum independently verified UB in immutable Round 22 official evidence,stage4__moderate_seed4301__s0__900s__dense_on|stage4__moderate_seed4301__s1__900s__dense_on,True,False
moderate_seed4302,0.04854285887126694,minimum independently verified UB in immutable Round 22 official evidence,stage4__moderate_seed4302__s0__900s__dense_on|stage4__moderate_seed4302__s1__900s__dense_on,True,False
tight_T_seed3101,0.10725273413394144,minimum independently verified UB in immutable Round 22 official evidence,stage2__tight_T_seed3101__s0__900s__dense_on|stage2__tight_T_seed3101__s1__900s__dense_on|stage3__tight_T_seed3101__s0__1800s__dense_on|stage3__tight_T_seed3101__s1__1800s__dense_on,True,False
tight_T_seed3102,0.6007044366851081,minimum independently verified UB in immutable Round 22 official evidence,stage2__tight_T_seed3102__s0__900s__dense_on|stage2__tight_T_seed3102__s1__900s__dense_on|stage3__tight_T_seed3102__plain__1800s__dense_on|stage3__tight_T_seed3102__s0__1800s__dense_on|stage3__tight_T_seed3102__s1__1800s__dense_on,True,False
tight_T_seed4101,0.562981400559009,minimum independently verified UB in immutable Round 22 official evidence,stage4__tight_T_seed4101__s0__900s__dense_on|stage4__tight_T_seed4101__s1__900s__dense_on,True,False
tight_T_seed4102,0.24331429587887546,minimum independently verified UB in immutable Round 22 official evidence,stage4__tight_T_seed4102__s0__900s__dense_on|stage4__tight_T_seed4102__s1__900s__dense_on,True,False
