run_id,instance,arm,return_code,interrupted,runner_wall_seconds,structural_gate_passed,structural_gate_failures,status,native_mip_status_code,native_mip_status_text,strict_certified_original_problem,strict_certificate_class,runtime_seconds,wall_time_seconds,native_mip_best_bound,verified_incumbent_objective,global_gini_tree_gini_children_created,global_gini_tree_sibling_first_process_count,global_gini_tree_sibling_equal_estimate_pairs,global_gini_tree_sibling_discriminated_pairs
round23_stage1__V12_M2__s0c__300s,V12_M2,S0-C,0,False,282.353559399955,True,,global_gini_tree_time_limit,108,"time limit exceeded, no integer solution",False,time_limit_valid_bound,282.3220197,282.3220197,0.7065069926910437,0.7185040707549709,270,258,135,0
round23_stage1__V12_M2__s0m__300s,V12_M2,S0-M,0,False,282.36550540011376,True,,global_gini_tree_time_limit,108,"time limit exceeded, no integer solution",False,time_limit_valid_bound,282.3350363,282.3350363,0.7064145285727573,0.7185040707549709,270,257,134,1
round23_stage1__high_imbalance_seed3202__s0c__300s,high_imbalance_seed3202,S0-C,0,False,282.2442426001653,True,,global_gini_tree_time_limit,108,"time limit exceeded, no integer solution",False,time_limit_valid_bound,282.2160291,282.2160291,1.6806038349356158,1.7493134520506337,94,77,47,0
round23_stage1__high_imbalance_seed3202__s0m__300s,high_imbalance_seed3202,S0-M,0,False,282.24052789993584,True,,global_gini_tree_time_limit,108,"time limit exceeded, no integer solution",False,time_limit_valid_bound,282.2102348,282.2102348,1.6806038349356158,1.7493134520506337,94,77,47,0
round23_stage1__tight_T_seed3101__s0c__300s,tight_T_seed3101,S0-C,0,False,282.21069390000775,True,,global_gini_tree_time_limit,108,"time limit exceeded, no integer solution",False,time_limit_valid_bound,282.1804882,282.1804882,0.039543179603393507,0.10725273413394144,232,201,116,0
round23_stage1__tight_T_seed3101__s0m__300s,tight_T_seed3101,S0-M,0,False,282.2151600997895,True,,global_gini_tree_time_limit,108,"time limit exceeded, no integer solution",False,time_limit_valid_bound,282.1852851,282.1852851,0.038748802415877304,0.10725273413394144,236,195,111,7
