fixation_case,column,fixed_value,fixation_scope
retained_labels,G,0.015302186003961113,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,G,0.015302186003961113,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,W_SP,0.5261794619504997,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,W_SP,0.5261794619504997,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,Y_1,16.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,Y_1,16.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,Y_10,16.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,Y_10,16.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,Y_11,29.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,Y_11,29.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,Y_12,27.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,Y_12,27.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,Y_13,17.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,Y_13,17.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,Y_14,17.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,Y_14,17.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,Y_15,13.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,Y_15,13.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,Y_16,25.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,Y_16,25.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,Y_17,5.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,Y_17,5.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,Y_18,23.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,Y_18,23.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
