"method","exit","out","log"
"pricing","0","results\optimization_update_round15\raw\v4_pricing.json","logs\optimization_update_round15\v4_pricing.log"
"pricing-branch","0","results\optimization_update_round15\raw\v4_pricing-branch.json","logs\optimization_update_round15\v4_pricing-branch.log"
"cuts","0","results\optimization_update_round15\raw\v4_cuts.json","logs\optimization_update_round15\v4_cuts.log"
"branching","0","results\optimization_update_round15\raw\v4_branching.json","logs\optimization_update_round15\v4_branching.log"
"master","0","results\optimization_update_round15\raw\v4_master.json","logs\optimization_update_round15\v4_master.log"
"cg","0","results\optimization_update_round15\raw\v4_cg.json","logs\optimization_update_round15\v4_cg.log"
"gcap-cg","0","results\optimization_update_round15\raw\v4_gcap-cg.json","logs\optimization_update_round15\v4_gcap-cg.log"
"gcap-tree","0","results\optimization_update_round15\raw\v4_gcap-tree.json","logs\optimization_update_round15\v4_gcap-tree.log"
"gcap-frontier","0","results\optimization_update_round15\raw\v4_gcap-frontier.json","logs\optimization_update_round15\v4_gcap-frontier.log"
"dominance-test","0","results\optimization_update_round15\raw\v4_dominance-test.json","logs\optimization_update_round15\v4_dominance-test.log"
"support-pruning-test","0","results\optimization_update_round15\raw\v4_support-pruning-test.json","logs\optimization_update_round15\v4_support-pruning-test.log"
"route-mask-support-test","0","results\optimization_update_round15\raw\v4_route-mask-support-test.json","logs\optimization_update_round15\v4_route-mask-support-test.log"
"route-mask-operation-budget-test","0","results\optimization_update_round15\raw\v4_route-mask-operation-budget-test.json","logs\optimization_update_round15\v4_route-mask-operation-budget-test.log"
"adaptive-frontier-split-test","0","results\optimization_update_round15\raw\v4_adaptive-frontier-split-test.json","logs\optimization_update_round15\v4_adaptive-frontier-split-test.log"
"inventory-branching-test","0","results\optimization_update_round15\raw\v4_inventory-branching-test.json","logs\optimization_update_round15\v4_inventory-branching-test.log"
"operation-mode-branching-test","0","results\optimization_update_round15\raw\v4_operation-mode-branching-test.json","logs\optimization_update_round15\v4_operation-mode-branching-test.log"
"pricing-closure-audit-test","0","results\optimization_update_round15\raw\v4_pricing-closure-audit-test.json","logs\optimization_update_round15\v4_pricing-closure-audit-test.log"
"resume-state-test","0","results\optimization_update_round15\raw\v4_resume-state-test.json","logs\optimization_update_round15\v4_resume-state-test.log"
"pricing-verifier-test","0","results\optimization_update_round15\raw\v4_pricing-verifier-test.json","logs\optimization_update_round15\v4_pricing-verifier-test.log"
"iterative-closure-test","0","results\optimization_update_round15\raw\v4_iterative-closure-test.json","logs\optimization_update_round15\v4_iterative-closure-test.log"
"certificate-basis-test","0","results\optimization_update_round15\raw\v4_certificate-basis-test.json","logs\optimization_update_round15\v4_certificate-basis-test.log"
"station-set-test","0","results\optimization_update_round15\raw\v4_station-set-test.json","logs\optimization_update_round15\v4_station-set-test.log"
"ng-dssr-pricing-test","0","results\optimization_update_round15\raw\v4_ng-dssr-pricing-test.json","logs\optimization_update_round15\v4_ng-dssr-pricing-test.log"
"dssr-exactness-test","0","results\optimization_update_round15\raw\v4_dssr-exactness-test.json","logs\optimization_update_round15\v4_dssr-exactness-test.log"
"dual-stabilization-test","0","results\optimization_update_round15\raw\v4_dual-stabilization-test.json","logs\optimization_update_round15\v4_dual-stabilization-test.log"
"bpc-hybrid-pricing-test","0","results\optimization_update_round15\raw\v4_bpc-hybrid-pricing-test.json","logs\optimization_update_round15\v4_bpc-hybrid-pricing-test.log"
"two-track-column-test","0","results\optimization_update_round15\raw\v4_two-track-column-test.json","logs\optimization_update_round15\v4_two-track-column-test.log"
"projection-safe-relaxed-column-test","0","results\optimization_update_round15\raw\v4_projection-safe-relaxed-column-test.json","logs\optimization_update_round15\v4_projection-safe-relaxed-column-test.log"
"non-elementary-relaxed-column-test","0","results\optimization_update_round15\raw\v4_non-elementary-relaxed-column-test.json","logs\optimization_update_round15\v4_non-elementary-relaxed-column-test.log"
"ng-relaxed-closure-test","0","results\optimization_update_round15\raw\v4_ng-relaxed-closure-test.json","logs\optimization_update_round15\v4_ng-relaxed-closure-test.log"
"relaxed-rmp-cg-test","0","results\optimization_update_round15\raw\v4_relaxed-rmp-cg-test.json","logs\optimization_update_round15\v4_relaxed-rmp-cg-test.log"
"frontier-relaxed-rmp-cg-test","0","results\optimization_update_round15\raw\v4_frontier-relaxed-rmp-cg-test.json","logs\optimization_update_round15\v4_frontier-relaxed-rmp-cg-test.log"
"relaxed-rmp-test","0","results\optimization_update_round15\raw\v4_relaxed-rmp-test.json","logs\optimization_update_round15\v4_relaxed-rmp-test.log"
"relaxed-pricing-closure-test","0","results\optimization_update_round15\raw\v4_relaxed-pricing-closure-test.json","logs\optimization_update_round15\v4_relaxed-pricing-closure-test.log"
"relaxed-column-incumbent-safety-test","0","results\optimization_update_round15\raw\v4_relaxed-column-incumbent-safety-test.json","logs\optimization_update_round15\v4_relaxed-column-incumbent-safety-test.log"
"large-relaxed-rmp-test","0","results\optimization_update_round15\raw\v4_large-relaxed-rmp-test.json","logs\optimization_update_round15\v4_large-relaxed-rmp-test.log"
"large-relaxed-rmp-cg-test","0","results\optimization_update_round15\raw\v4_large-relaxed-rmp-cg-test.json","logs\optimization_update_round15\v4_large-relaxed-rmp-cg-test.log"
"external-incumbent-test","0","results\optimization_update_round15\raw\v4_external-incumbent-test.json","logs\optimization_update_round15\v4_external-incumbent-test.log"
"large-instance-mode-test","0","results\optimization_update_round15\raw\v4_large-instance-mode-test.json","logs\optimization_update_round15\v4_large-instance-mode-test.log"
"large-lb-test","0","results\optimization_update_round15\raw\v4_large-lb-test.json","logs\optimization_update_round15\v4_large-lb-test.log"
