elapsed_seconds,event,incumbent_UB,global_LB,gap,unresolved_intervals,global_min_lb_interval_id,global_min_lb_interval_range,global_min_lb_source,open_nodes,route_pool_columns_after_dominance,route_pool_best_incumbent,focused_intensification_passes,last_LB_improvement_time,last_UB_improvement_time,bound_time_seconds,master_time_seconds,pricing_time_seconds,columns,nodes
0.0002052,initial_empty_incumbent,1.72941892675,0,1,0,-1,"","seed_initial",0,0,0,0,0.0002052,0.0002052,0,0,0,0,0
0.0003613,initial_after_seed,1.72941892675,0,1,4,0,"[0,0.2375]",gamma_floor,0,0,0,0,0.0003613,0.0003613,0,0,0,0,0
69.7364144,interval_relaxation_0,1.72941892675,0.2375,0.862670636751,4,1,"[0.2375,0.475]",gamma_floor,0,0,0,0,69.7364144,0.0003613,69.7357452,0,0,0,0
104.4141122,interval_tree_0,1.13623075045,0.2375,0.790975556764,4,1,"[0.2375,0.475]",gamma_floor,0,3140,1.13623075045,0,69.7364144,104.4141122,69.7357452,29.3933364,0.0002674,3138,1
149.7811001,interval_relaxation_1,1.13623075045,0.359195534786,0.683870961382,4,0,"[0,0.2375]",inventory_route_gini_relaxation,1,3140,1.13623075045,0,149.7811001,104.4141122,115.1006635,29.3933364,0.0002674,3138,1
169.1012464,interval_tree_1,1.13623075045,0.359195534786,0.683870961382,4,0,"[0,0.2375]",inventory_route_gini_relaxation,1,3140,1.13623075045,0,149.7811001,104.4141122,115.1006635,46.5128863,0.0004496,6276,2
171.0910517,route_pool_after_candidate_1,1.13623075045,0.359195534786,0.683870961382,4,0,"[0,0.2375]",inventory_route_gini_relaxation,2,3140,1.13623075045,0,149.7811001,104.4141122,115.1006635,46.5128863,0.0004496,6276,2
204.8902284,interval_relaxation_2,1.13623075045,0.359195534786,0.683870961382,4,0,"[0,0.2375]",inventory_route_gini_relaxation,2,3140,1.13623075045,0,149.7811001,104.4141122,148.8978671,46.5128863,0.0004496,6276,2
218.3119561,interval_tree_2,1.13623075045,0.359195534786,0.683870961382,4,0,"[0,0.2375]",inventory_route_gini_relaxation,2,3140,1.13623075045,0,149.7811001,104.4141122,148.8978671,57.7052573,0.0006314,9414,3
239.9190861,interval_relaxation_3,1.13623075045,0.359195534786,0.683870961382,4,0,"[0,0.2375]",inventory_route_gini_relaxation,3,3140,1.13623075045,0,149.7811001,104.4141122,170.5028564,57.7052573,0.0006314,9414,3
247.4077235,interval_tree_3,1.13623075045,0.359195534786,0.683870961382,4,0,"[0,0.2375]",inventory_route_gini_relaxation,3,3140,1.13623075045,0,149.7811001,104.4141122,170.5028564,62.9808161,0.0008155,12552,4
302.6678531,adaptive_split_child_4,1.13623075045,0.380133485197,0.66544341011,4,4,"[0,0.11875]",inventory_route_gini_relaxation,4,3140,1.13623075045,0,302.6678531,104.4141122,225.7598632,62.9808161,0.0008155,12552,4
302.6678848,adaptive_split_child_5,1.13623075045,0.359195534786,0.683870961382,5,5,"[0.11875,0.2375]",gamma_floor,5,3140,1.13623075045,0,302.6678531,104.4141122,225.7598632,62.9808161,0.0008155,12552,4
304.6470882,route_pool_before_final_summary,1.13623075045,0.359195534786,0.683870961382,5,5,"[0.11875,0.2375]",gamma_floor,5,3140,1.13623075045,0,302.6678531,104.4141122,225.7598632,62.9808161,0.0008155,12552,4
304.6471616,final_summary,1.13623075045,0.359195534786,0.683870961382,5,5,"[0.11875,0.2375]",gamma_floor,5,3140,1.13623075045,0,302.6678531,104.4141122,225.7598632,62.9808161,0.0008155,12552,4
