"name","exit","out","log","progress"
"v12_m2_focus_exact_300s","0","results\optimization_update_round15\raw\v12_m2_focus_exact_300s.json","logs\optimization_update_round15\v12_m2_focus_exact_300s.log","results\optimization_update_round15\raw\progress_v12_m2_focus_exact_300s.csv"
"v12_m2_focus_relaxed_cg_300s","0","results\optimization_update_round15\raw\v12_m2_focus_relaxed_cg_300s.json","logs\optimization_update_round15\v12_m2_focus_relaxed_cg_300s.log","results\optimization_update_round15\raw\progress_v12_m2_focus_relaxed_cg_300s.csv"
"v12_m2_full_exact_300s","0","results\optimization_update_round15\raw\v12_m2_full_exact_300s.json","logs\optimization_update_round15\v12_m2_full_exact_300s.log","results\optimization_update_round15\raw\progress_v12_m2_full_exact_300s.csv"
"v12_m2_full_relaxed_cg_300s","0","results\optimization_update_round15\raw\v12_m2_full_relaxed_cg_300s.json","logs\optimization_update_round15\v12_m2_full_relaxed_cg_300s.log","results\optimization_update_round15\raw\progress_v12_m2_full_relaxed_cg_300s.csv"
"v12_m1_full_exact_300s","0","results\optimization_update_round15\raw\v12_m1_full_exact_300s.json","logs\optimization_update_round15\v12_m1_full_exact_300s.log","results\optimization_update_round15\raw\progress_v12_m1_full_exact_300s.csv"
"v12_m1_full_relaxed_cg_300s","0","results\optimization_update_round15\raw\v12_m1_full_relaxed_cg_300s.json","logs\optimization_update_round15\v12_m1_full_relaxed_cg_300s.log","results\optimization_update_round15\raw\progress_v12_m1_full_relaxed_cg_300s.csv"
"v20_relaxed_cg_300s","0","results\optimization_update_round15\raw\v20_relaxed_cg_300s.json","logs\optimization_update_round15\v20_relaxed_cg_300s.log","results\optimization_update_round15\raw\progress_v20_relaxed_cg_300s.csv"
"v50_relaxed_cg_300s","0","results\optimization_update_round15\raw\v50_relaxed_cg_300s.json","logs\optimization_update_round15\v50_relaxed_cg_300s.log","results\optimization_update_round15\raw\progress_v50_relaxed_cg_300s.csv"
"v100_relaxed_cg_300s","0","results\optimization_update_round15\raw\v100_relaxed_cg_300s.json","logs\optimization_update_round15\v100_relaxed_cg_300s.log","results\optimization_update_round15\raw\progress_v100_relaxed_cg_300s.csv"
