decision_sequence,K0,tau,interval_id,parent_id,depth,gamma_L,gamma_U,B_p,B_L,B_R,U,proof_gap,g_L_raw,g_R_raw,g_L,g_R,eta,mu,S_AM,adaptive_rho_I,score_tolerance,selected_action,native_target,deterministic_reason,coverage_update
2,1,0.080000000000000002,"L0.0","L0",1,0,0.41498170658588762,0.53312231231027307,0.577001723543071,0.65706635050246931,0.82996341317177524,0.29684110086150217,0.14782121177104393,0.41754338544252029,0.14782121177104393,0.41754338544252029,0.14782121177104393,0.28268229860678212,0.041786439926278618,0.2830032173725951,3.3688057960625914e-07,"native-target",0.577001723543071,"adaptive_mass_score_below_tau_native_target","parent_coverage_retained"
3,1,0.080000000000000002,"L0.0","L0",1,0,0.41498170658588762,0.60757805331806658,0.577001723543071,0.65706635050246931,0.82996341317177524,0.22238535985370866,-0.13749254804861952,0.22253397083763751,0,0.22253397083763751,0,0.11126698541881876,0,0.7189913494903537,4.496698957428035e-07,"exact-close",,"adaptive_mass_no_strict_child_improvement","parent_coverage_retained"
