query,vehicle,model_reused,work_limit,time_limit,columns,rows
0,0,0,10,14.999791200000001,288,480
1,1,0,10,14.9997787,288,480
2,2,0,10,14.999643900000001,288,480
3,0,1,10,14.9998831,288,480
4,1,1,10,14.999897900000001,288,480
5,2,1,10,14.999815999999999,288,480
6,0,1,10,14.999890000000001,288,480
7,1,1,10,14.999902199999999,288,480
8,2,1,10,14.9998086,288,480
