instance_id,run_id,leaf_id,cut_type,signature,scope,source_lower,source_upper,target_lower,target_upper,inherited,deduplicated,reason,sharing_policy_valid
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,stage3-development__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__noadaptive,L0,envelope,0.016992609584:-0.432082055129:0:0.0053342515099451416,source-interval,0,0.0053342515099451416,0,0.0053342515099451416,0,0,valid_on_source_parent_domain,True
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,stage3-development__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__noadaptive,L0,envelope,0.015840192406999999:0:0:0.0053342515099451416,source-interval,0,0.0053342515099451416,0,0.0053342515099451416,0,0,valid_on_source_parent_domain,True
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,stage3-development__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__noadaptive,L1,envelope,0.015601403509:0:0.0053342515099451416:0.010668503019890283,source-interval,0.0053342515099451416,0.010668503019890283,0.0053342515099451416,0.010668503019890283,0,0,valid_on_source_parent_domain,True
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,stage3-development__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__noadaptive,L1,envelope,0.012820261874999999:0.34758286507300001:0.0053342515099451416:0.010668503019890283,source-interval,0.0053342515099451416,0.010668503019890283,0.0053342515099451416,0.010668503019890283,0,0,valid_on_source_parent_domain,True
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,stage3-development__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__noadaptive,L2,envelope,0.018138221422999999:0:0.010668503019890283:0.016002754529835427,source-interval,0.010668503019890283,0.016002754529835427,0.010668503019890283,0.016002754529835427,0,0,valid_on_source_parent_domain,True
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,stage3-development__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__noadaptive,L2,envelope,0.010116797362:0.60150325086699996:0.010668503019890283:0.016002754529835427,source-interval,0.010668503019890283,0.016002754529835427,0.010668503019890283,0.016002754529835427,0,0,valid_on_source_parent_domain,True
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,stage3-development__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__noadaptive,L0,envelope,0.029932324896999998:0:0:0.012367170653604861,source-interval,0,0.012367170653604861,0,0.012367170653604861,0,0,valid_on_source_parent_domain,True
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,stage3-development__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__noadaptive,L0,envelope,0.027638132760999998:0.37101325764499998:0:0.012367170653604861,source-interval,0,0.012367170653604861,0,0.012367170653604861,0,0,valid_on_source_parent_domain,True
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,stage3-development__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__noadaptive,L1,envelope,0.034528448501000002:0:0.012367170653604861:0.024734341307209723,source-interval,0.012367170653604861,0.024734341307209723,0.012367170653604861,0.024734341307209723,0,0,valid_on_source_parent_domain,True
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,stage3-development__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__noadaptive,L1,envelope,0.027600138707999999:0.37347856875300001:0.012367170653604861:0.024734341307209723,source-interval,0.012367170653604861,0.024734341307209723,0.012367170653604861,0.024734341307209723,0,0,valid_on_source_parent_domain,True
