phase,instance_id,configuration,run_id,correctness,certified,right_censored,false_certificate,verified_incumbent,parameter_roundtrip_valid,root_coverage_valid,global_bound_monotone,failure_reason
development,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,noadaptive,stage3-development__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__noadaptive,True,True,False,,,,,,none
development,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,noadaptive,stage3-development__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__noadaptive,True,True,False,,,,,,none
development,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,noadaptive,stage3-development__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__noadaptive,True,True,False,,,,,,none
development,round39_small_medium_V8_M3_Q30_slot03_seed1177285734,noadaptive,stage3-development__round39_small_medium_V8_M3_Q30_slot03_seed1177285734__noadaptive,True,True,False,,,,,,none
development,round39_small_medium_V10_M2_Q20_slot05_seed968549317,noadaptive,stage3-development__round39_small_medium_V10_M2_Q20_slot05_seed968549317__noadaptive,True,True,False,,,,,,none
development,round39_small_hard_V10_M1_Q30_slot02_seed1721447042,noadaptive,stage3-development__round39_small_hard_V10_M1_Q30_slot02_seed1721447042__noadaptive,True,True,False,,,,,,none
development,round39_small_hard_V10_M1_Q20_slot01_seed561355351,noadaptive,stage3-development__round39_small_hard_V10_M1_Q20_slot01_seed561355351__noadaptive,True,True,False,,,,,,none
development,round39_small_hard_V12_M3_Q20_slot07_seed621538683,noadaptive,stage3-development__round39_small_hard_V12_M3_Q20_slot07_seed621538683__noadaptive,True,True,False,,,,,,none
development,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,noadaptive,stage3-development__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__noadaptive,True,True,False,,,,,,none
development,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,noadaptive,stage3-development__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__noadaptive,True,True,False,,,,,,none
development,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,veto-f05,stage3-development__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__veto-f05,True,True,False,,,,,,none
development,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,veto-f05,stage3-development__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__veto-f05,True,True,False,,,,,,none
development,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,veto-f05,stage3-development__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__veto-f05,True,True,False,,,,,,none
development,round39_small_medium_V8_M3_Q30_slot03_seed1177285734,veto-f05,stage3-development__round39_small_medium_V8_M3_Q30_slot03_seed1177285734__veto-f05,True,True,False,,,,,,none
development,round39_small_medium_V10_M2_Q20_slot05_seed968549317,veto-f05,stage3-development__round39_small_medium_V10_M2_Q20_slot05_seed968549317__veto-f05,True,True,False,,,,,,none
development,round39_small_hard_V10_M1_Q30_slot02_seed1721447042,veto-f05,stage3-development__round39_small_hard_V10_M1_Q30_slot02_seed1721447042__veto-f05,True,True,False,,,,,,none
development,round39_small_hard_V10_M1_Q20_slot01_seed561355351,veto-f05,stage3-development__round39_small_hard_V10_M1_Q20_slot01_seed561355351__veto-f05,True,True,False,,,,,,none
development,round39_small_hard_V12_M3_Q20_slot07_seed621538683,veto-f05,stage3-development__round39_small_hard_V12_M3_Q20_slot07_seed621538683__veto-f05,True,True,False,,,,,,none
