instance_id,role,mechanism,provenance,certified,work,process_seconds,shifted_work_over_pgrb,shifted_time_over_pgrb,split_count,terminal_mip_jobs
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,major_fragmentation_regression,C6,frozen_round40_reference,True,4373.077783569157,1911.4661885,2.718650016756506,2.043916196393188,1,4
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,major_fragmentation_regression,P-GRB,frozen_round40_reference,True,1607.9153648352515,934.6871832,1.0,1.0,0,0
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,major_fragmentation_regression,C6 + envelope only,stage3-witness__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__overlay,True,3427.580187383055,1561.5246015,2.130988529489326,1.6699219884109662,1,4
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,major_fragmentation_regression,no-adaptive K4 + envelope,stage3-witness__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__noadaptive,True,1671.8335188598146,749.8811409,1.0397274806503622,0.8024916386393439,0,3
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,major_fragmentation_regression,veto-only,stage3-witness__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__veto-f05,True,1675.439939039798,859.3634466,1.0419690032679008,0.919499018526259,0,3
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,major_fragmentation_regression,veto+promotion,stage3-witness__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__veto-prom-f05-m0007,True,1675.439939039798,852.6222622,1.0419690032679008,0.9122944906444669,0,3
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,major_fragmentation_regression,frontier-only,stage3-witness__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__f-f05,True,1675.439939039798,853.1818317,1.0419690032679008,0.9128925211722403,0,3
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,major_fragmentation_regression,frontier-mass,stage3-witness__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__fm-f05-m002,True,1675.439939039798,758.2556696,1.0419690032679008,0.8114417758757647,0,3
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,major_fragmentation_regression,H=F*M_root,stage3-witness__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__h-h0004,True,1675.439939039798,747.9272625,1.0419690032679008,0.8004034638357542,0,3
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,major_fragmentation_regression,root-mass-only,stage3-witness__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__mroot-m002,True,1675.439939039798,748.2411394,1.0419690032679008,0.8007389145137538,0,3
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,major_fragmentation_regression,"Round 43 D recursion A(4,2,0.1)",x43e__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__algorithm__K4__d2__rho0.1__d__single,True,1346.0503225176133,651.2814998,0.8372412570350135,0.697114924209213,0,3
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,strongest_k4_positive_control,C6,frozen_round40_reference,True,133.73490192498448,82.5178879,0.012974327231813144,0.013196874282041299,0,3
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,strongest_k4_positive_control,P-GRB,frozen_round40_reference,True,10383.731286460352,6327.6113147,1.0,1.0,0,0
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,strongest_k4_positive_control,C6 + envelope only,stage3-witness__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__overlay,True,163.20344039994654,94.3568305,0.015812006673108198,0.015067575769506755,0,3
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,strongest_k4_positive_control,no-adaptive K4 + envelope,stage3-witness__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__noadaptive,True,162.60833994868105,94.8633349,0.015754701343307184,0.015147609820393005,0,4
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,strongest_k4_positive_control,veto-only,stage3-witness__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__veto-f05,True,163.20344039994654,109.9486672,0.015812006673108198,0.017531281616598917,0,3
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,strongest_k4_positive_control,veto+promotion,stage3-witness__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__veto-prom-f05-m0007,True,163.20344039994654,105.5438627,0.015812006673108198,0.016835267233511652,0,3
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,strongest_k4_positive_control,frontier-only,stage3-witness__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__f-f05,True,163.20344039994654,105.3769569,0.015812006673108198,0.016808894022754924,0,3
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,strongest_k4_positive_control,frontier-mass,stage3-witness__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__fm-f05-m002,True,163.20344039994654,94.662013,0.015812006673108198,0.015115798433978363,0,3
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,strongest_k4_positive_control,H=F*M_root,stage3-witness__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__h-h0004,True,163.20344039994654,93.3192257,0.015812006673108198,0.014903621191100294,0,3
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,strongest_k4_positive_control,root-mass-only,stage3-witness__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__mroot-m002,True,163.20344039994654,93.429784,0.015812006673108198,0.01492109078980091,0,3
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,strongest_k4_positive_control,"Round 43 D recursion A(4,2,0.1)",stage3-candidate__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__algorithm__K4__d2__rho0.1__d__single,True,203.52532910564796,138.6772497,0.019694811879466614,0.022070758141767986,10,10
