phase,instance_id,role,tag,family,kind,rho_F,rho_M,rho_H,lookahead,injection,scope,run_id,decision_identity_sha256,executable_sha256,correctness,certified,right_censored,failure_reason,work,process_seconds,nodes,lp_jobs,terminal_mip_jobs,split_count,final_intervals,pgrb_work,pgrb_process_seconds,shifted_work_over_pgrb,shifted_time_over_pgrb,c6_work,c6_process_seconds,shifted_work_over_c6,shifted_time_over_c6,severe_pgrb_regression,c6_advantage_gate_applies,pgrb_advantage_over_candidate,c6_advantage_retained,major_gate
development,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,development,noadaptive,no-adaptive,envelope,0.5,0.007,0.0004,fixed-d1,all,parent,stage3-development__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__noadaptive,27aa92eacff6d7fbab2bdf81557c58de3730259d441cb07bee403a1fb79377b9,db542bbe7047260e80084432695925394c02f1ecce02f47f18fd04eed48f4a1c,True,True,False,none,0.0,2.7175036,0.0,0,0,0,0,0.02713133726856121,0.0505268,0.973585328103501,3.538704200597262,0.0,2.4657144,1.0,1.0726514567963246,False,False,1.0271313372685613,True,True
development,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,development,noadaptive,no-adaptive,envelope,0.5,0.007,0.0004,fixed-d1,all,parent,stage3-development__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__noadaptive,27aa92eacff6d7fbab2bdf81557c58de3730259d441cb07bee403a1fb79377b9,db542bbe7047260e80084432695925394c02f1ecce02f47f18fd04eed48f4a1c,True,True,False,none,43.484953660396734,30.5194008,74.0,14,3,0,4,2.080721906744143,1.6591912,14.439782300055315,11.853002822813192,47.3035471806965,30.1220781,0.9209458985275975,1.0127665864317716,False,False,0.06925312163440091,True,True
development,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,major_fragmentation_regression,noadaptive,no-adaptive,envelope,0.5,0.007,0.0004,fixed-d1,all,parent,stage3-development__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__noadaptive,27aa92eacff6d7fbab2bdf81557c58de3730259d441cb07bee403a1fb79377b9,db542bbe7047260e80084432695925394c02f1ecce02f47f18fd04eed48f4a1c,True,True,False,none,1671.8335188598146,759.4792273,19435.0,14,3,0,4,1607.9153648352515,934.6871832,1.0397274806503622,0.8127494326674454,4373.077783569157,1911.4661885,0.3824425631258018,0.3976432273014274,False,False,0.9617904870365528,True,True
development,round39_small_medium_V8_M3_Q30_slot03_seed1177285734,development,noadaptive,no-adaptive,envelope,0.5,0.007,0.0004,fixed-d1,all,parent,stage3-development__round39_small_medium_V8_M3_Q30_slot03_seed1177285734__noadaptive,27aa92eacff6d7fbab2bdf81557c58de3730259d441cb07bee403a1fb79377b9,db542bbe7047260e80084432695925394c02f1ecce02f47f18fd04eed48f4a1c,True,True,False,none,3.679095375377496,4.2176444,303.0,17,4,0,4,5.806863502157574,4.3065391,0.6874084332518732,0.9832480834825094,3.407074912530055,3.8686028,1.061723584973344,1.0716923549401074,False,False,1.4547392083471722,True,True
development,round39_small_medium_V10_M2_Q20_slot05_seed968549317,medium_c6_win_guard,noadaptive,no-adaptive,envelope,0.5,0.007,0.0004,fixed-d1,all,parent,stage3-development__round39_small_medium_V10_M2_Q20_slot05_seed968549317__noadaptive,27aa92eacff6d7fbab2bdf81557c58de3730259d441cb07bee403a1fb79377b9,db542bbe7047260e80084432695925394c02f1ecce02f47f18fd04eed48f4a1c,True,True,False,none,95.74423884861486,58.5792567,4957.0,17,4,0,4,517.2770571210964,292.1943537,0.18666510029598007,0.20320738086573867,109.91515934198168,65.3808308,0.8722363960216294,0.8975370748146768,False,False,5.3571878107604425,True,True
development,round39_small_hard_V10_M1_Q30_slot02_seed1721447042,development,noadaptive,no-adaptive,envelope,0.5,0.007,0.0004,fixed-d1,all,parent,stage3-development__round39_small_hard_V10_M1_Q30_slot02_seed1721447042__noadaptive,27aa92eacff6d7fbab2bdf81557c58de3730259d441cb07bee403a1fb79377b9,db542bbe7047260e80084432695925394c02f1ecce02f47f18fd04eed48f4a1c,True,True,False,none,1.0285304985578159,1.6132491,1.0,11,2,0,4,0.7273008006012202,0.6111954,1.1743933065113772,1.6219318277596868,1.1499275494877275,1.6598264,0.943534352606981,0.98248859399245,False,False,0.8515034907432967,True,True
development,round39_small_hard_V10_M1_Q20_slot01_seed561355351,hard_p_grb_win_guard,noadaptive,no-adaptive,envelope,0.5,0.007,0.0004,fixed-d1,all,parent,stage3-development__round39_small_hard_V10_M1_Q20_slot01_seed561355351__noadaptive,27aa92eacff6d7fbab2bdf81557c58de3730259d441cb07bee403a1fb79377b9,db542bbe7047260e80084432695925394c02f1ecce02f47f18fd04eed48f4a1c,True,True,False,none,0.7502955320985,1.4790983,1.0,11,2,0,4,0.5720710311796616,0.5189224,1.1133692418370567,1.6321428270463323,0.989274344317732,1.6887786,0.879866337741768,0.9220165245290185,False,False,0.8981746238561452,True,True
development,round39_small_hard_V12_M3_Q20_slot07_seed621538683,numerical_fail_closed_endpoint,noadaptive,no-adaptive,envelope,0.5,0.007,0.0004,fixed-d1,all,parent,stage3-development__round39_small_hard_V12_M3_Q20_slot07_seed621538683__noadaptive,27aa92eacff6d7fbab2bdf81557c58de3730259d441cb07bee403a1fb79377b9,db542bbe7047260e80084432695925394c02f1ecce02f47f18fd04eed48f4a1c,True,True,False,none,134.99459009347234,78.5794543,2915.0,17,4,0,4,3562.7211838269295,2278.1262339,0.03816083893169036,0.03491665056385449,138.4451303784979,79.7295563,0.9752552113102859,0.9857536439847867,False,True,26.204874630509188,True,True
development,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,strongest_k4_positive_control,noadaptive,no-adaptive,envelope,0.5,0.007,0.0004,fixed-d1,all,parent,stage3-development__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__noadaptive,27aa92eacff6d7fbab2bdf81557c58de3730259d441cb07bee403a1fb79377b9,db542bbe7047260e80084432695925394c02f1ecce02f47f18fd04eed48f4a1c,True,True,False,none,162.60833994868105,95.7009891,8339.0,21,4,0,4,10383.731286460352,6327.6113147,0.015754701343307184,0.015279969694992084,133.73490192498448,82.5178879,1.2142981336771392,1.1578476363744346,False,True,63.473116894393804,True,True
development,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,hard_c6_win_guard,noadaptive,no-adaptive,envelope,0.5,0.007,0.0004,fixed-d1,all,parent,stage3-development__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__noadaptive,27aa92eacff6d7fbab2bdf81557c58de3730259d441cb07bee403a1fb79377b9,db542bbe7047260e80084432695925394c02f1ecce02f47f18fd04eed48f4a1c,True,True,False,none,10.700450366810307,9.090919,556.0,17,4,0,4,100.19984835374473,59.3698132,0.11561727173652776,0.16715173470173997,10.503884558425527,9.0603292,1.017086907243068,1.0030406360857456,False,True,8.649226754622191,True,True
