kind,instance_id,source,source_sha256,equivalence_passed,candidate_results_observed
round43_default_off_sentinel,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,results/gf_k1_k4_envelope_refinement_round43/default_off_equivalence.csv,bc234c828c954365b91494345d1d0ca5528e2f11d5b26e093eefb6815f134826,True,False
round43_default_off_sentinel,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,results/gf_k1_k4_envelope_refinement_round43/default_off_equivalence.csv,bc234c828c954365b91494345d1d0ca5528e2f11d5b26e093eefb6815f134826,True,False
round43_default_off_sentinel,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,results/gf_k1_k4_envelope_refinement_round43/default_off_equivalence.csv,bc234c828c954365b91494345d1d0ca5528e2f11d5b26e093eefb6815f134826,True,False
candidate_independent_startup_reference,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,results/gf_small_hard_light_round39/runs/primary__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__p_grb/process_phases.csv,d623043033acea88b53a47097746f69270605abeb35902953d91f57c8371e027,True,False
candidate_independent_startup_reference,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,results/gf_small_hard_light_round39/runs/primary__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__p_grb/process_phases.csv,e04523433fdd0b9f9e220e0b65e6ab1b12ccb474a475f16c6ffe87992b1bccd1,True,False
candidate_independent_startup_reference,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,results/gf_small_hard_light_round39/runs/primary__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__p_grb/process_phases.csv,93ec983236415019ff1d5f5ae7e1c077c98fffcd3b3c103fe4af5a66944f67b6,True,False
candidate_independent_startup_reference,round39_small_medium_V8_M3_Q30_slot03_seed1177285734,results/gf_small_hard_light_round39/runs/primary__round39_small_medium_V8_M3_Q30_slot03_seed1177285734__p_grb/process_phases.csv,11773755d705ba20123d75d054230a65c0444d3a1c1446b6d8fd3a2c52f1776d,True,False
candidate_independent_startup_reference,round39_small_medium_V10_M2_Q20_slot05_seed968549317,results/gf_small_hard_light_round39/runs/primary__round39_small_medium_V10_M2_Q20_slot05_seed968549317__p_grb/process_phases.csv,7fc2ac7f22d55ab94fd589ce4998e4c762b971e75003cf3a1f8038c779129b9b,True,False
candidate_independent_startup_reference,round39_small_hard_V10_M1_Q30_slot02_seed1721447042,results/gf_small_hard_light_round39/runs/primary__round39_small_hard_V10_M1_Q30_slot02_seed1721447042__p_grb/process_phases.csv,147eff4f3808fa654a529ddccacb35617e278bc1e6936598883bca3feebd9879,True,False
candidate_independent_startup_reference,round39_small_hard_V10_M1_Q20_slot01_seed561355351,results/gf_small_hard_light_round39/runs/primary__round39_small_hard_V10_M1_Q20_slot01_seed561355351__p_grb/process_phases.csv,39283867789e15401df3d39a6a878d90560508c684ff3610b2b37e2b1ae54f1c,True,False
candidate_independent_startup_reference,round39_small_hard_V12_M3_Q20_slot07_seed621538683,results/gf_small_hard_light_round39/runs/primary__round39_small_hard_V12_M3_Q20_slot07_seed621538683__p_grb/process_phases.csv,d56156a5c7b027f802f26a421c08a444c0499acec8ec64f1b4487fdc652fab9d,True,False
candidate_independent_startup_reference,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,results/gf_small_hard_light_round39/runs/primary__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__p_grb/process_phases.csv,be8047eb87c126a2a78168227f076e91524b06bd4549881db0fb643d4b9d46b6,True,False
candidate_independent_startup_reference,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,results/gf_small_hard_light_round39/runs/primary__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__p_grb/process_phases.csv,27eec2baecce3a43d1b619b4dc409b60d236457e1466b90f7078cde501d38b39,True,False
candidate_independent_startup_reference,round39_small_easy_V8_M1_Q30_slot01_seed432322553,results/gf_small_hard_light_round39/runs/primary__round39_small_easy_V8_M1_Q30_slot01_seed432322553__p_grb/process_phases.csv,13e2ec7ac2706e2e4f4e364ec55f52de50d709e085d68ca0e560f2083c77cc68,True,False
candidate_independent_startup_reference,round39_small_easy_V10_M3_Q20_slot06_seed1178207568,results/gf_small_hard_light_round39/runs/primary__round39_small_easy_V10_M3_Q20_slot06_seed1178207568__p_grb/process_phases.csv,23e2985a79f7a68119b4baaaec4b3980b0c3fd229de02c0ff8137f90b25cba71,True,False
candidate_independent_startup_reference,round39_small_easy_V12_M2_Q30_slot07_seed1210444511,results/gf_small_hard_light_round39/runs/primary__round39_small_easy_V12_M2_Q30_slot07_seed1210444511__p_grb/process_phases.csv,40ddb6dd2d5bfb2f4f317dbbe52c6ae87a29aadc1a7b78e79eb6fb15866185bf,True,False
candidate_independent_startup_reference,round39_small_medium_V8_M2_Q20_slot02_seed890603285,results/gf_small_hard_light_round39/runs/primary__round39_small_medium_V8_M2_Q20_slot02_seed890603285__p_grb/process_phases.csv,664ea6168297c25feaa87b3f913583802c8abe253f2d7870987f374665af5c72,True,False
candidate_independent_startup_reference,round39_small_medium_V12_M1_Q30_slot07_seed907224013,results/gf_small_hard_light_round39/runs/primary__round39_small_medium_V12_M1_Q30_slot07_seed907224013__p_grb/process_phases.csv,7344cf6ca62a2660e823e0bd2182e86f81f94c9c75286e21d116f6dcdfe2a195,True,False
candidate_independent_startup_reference,round39_small_hard_V12_M1_Q20_slot05_seed180890838,results/gf_small_hard_light_round39/runs/primary__round39_small_hard_V12_M1_Q20_slot05_seed180890838__p_grb/process_phases.csv,aaf02d7b137afdd4231b1b7437c5035b68455c4189fd225e9f3a96001fbaaedf,True,False
candidate_independent_startup_reference,round39_small_hard_V10_M2_Q20_slot03_seed490008310,results/gf_small_hard_light_round39/runs/primary__round39_small_hard_V10_M2_Q20_slot03_seed490008310__p_grb/process_phases.csv,4374efd31e7ae19c2c3d203e554c2616e060ffa32160f2c6dcfb7159129532b5,True,False
candidate_independent_startup_reference,round39_small_easy_V8_M2_Q30_slot03_seed1019524729,results/gf_small_hard_light_round39/runs/primary__round39_small_easy_V8_M2_Q30_slot03_seed1019524729__p_grb/process_phases.csv,67ba84602775a679ad3b6dac7b2e0869fbf03c3f9319f2dd4bd69a99d7ae6f3f,True,False
candidate_independent_startup_reference,round39_small_easy_V8_M2_Q20_slot02_seed944712007,results/gf_small_hard_light_round39/runs/primary__round39_small_easy_V8_M2_Q20_slot02_seed944712007__p_grb/process_phases.csv,e69f09c82a777a34449a04dbc711a0b1005002f446327e579b8a6dfe522d0f13,True,False
candidate_independent_startup_reference,round39_small_easy_V10_M2_Q30_slot05_seed332426708,results/gf_small_hard_light_round39/runs/primary__round39_small_easy_V10_M2_Q30_slot05_seed332426708__p_grb/process_phases.csv,45a71a060fca2900fb69c95ddf7820199da3ec22ab4e9eb4518eda7dc22c880c,True,False
candidate_independent_startup_reference,round39_small_hard_V12_M2_Q20_slot06_seed258908503,results/gf_small_hard_light_round39/runs/primary__round39_small_hard_V12_M2_Q20_slot06_seed258908503__p_grb/process_phases.csv,b14b58f280c600b1adced5959aa0ded1f2cbda81705f1414d1f5d83aacab3a37,True,False
candidate_independent_startup_reference,round39_small_medium_V8_M1_Q20_slot01_seed244478273,results/gf_small_hard_light_round39/runs/primary__round39_small_medium_V8_M1_Q20_slot01_seed244478273__p_grb/process_phases.csv,349813971ff5bd0c55ad7f21498ffb9f26f3b63b33ff9ae3d89ff2e9e3f1e28c,True,False
