phase,instance_id,configuration,candidate_work,candidate_seconds,candidate_certified,pgrb_work,pgrb_seconds,pgrb_certified,shifted_work_over_pgrb,shifted_time_over_pgrb,c6_work,c6_seconds,c6_certified,shifted_work_over_c6,candidate_gap_integral,pgrb_gap_integral
development,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,noadaptive,0.0,2.7175036,True,0.02713133726856121,0.0505268,historical,0.973585328103501,3.538704200597262,0.0,2.4657144,historical,1.0,,
development,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,noadaptive,43.484953660396734,30.5194008,True,2.080721906744143,1.6591912,historical,14.439782300055315,11.853002822813192,47.3035471806965,30.1220781,historical,0.9209458985275975,,
development,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,noadaptive,1671.8335188598146,759.4792273,True,1607.9153648352515,934.6871832,historical,1.0397274806503622,0.8127494326674454,4373.077783569157,1911.4661885,historical,0.3824425631258018,,
development,round39_small_medium_V8_M3_Q30_slot03_seed1177285734,noadaptive,3.679095375377496,4.2176444,True,5.806863502157574,4.3065391,historical,0.6874084332518732,0.9832480834825094,3.407074912530055,3.8686028,historical,1.061723584973344,,
development,round39_small_medium_V10_M2_Q20_slot05_seed968549317,noadaptive,95.74423884861486,58.5792567,True,517.2770571210964,292.1943537,historical,0.18666510029598007,0.20320738086573867,109.91515934198168,65.3808308,historical,0.8722363960216294,,
development,round39_small_hard_V10_M1_Q30_slot02_seed1721447042,noadaptive,1.0285304985578159,1.6132491,True,0.7273008006012202,0.6111954,historical,1.1743933065113772,1.6219318277596868,1.1499275494877275,1.6598264,historical,0.943534352606981,,
development,round39_small_hard_V10_M1_Q20_slot01_seed561355351,noadaptive,0.7502955320985,1.4790983,True,0.5720710311796616,0.5189224,historical,1.1133692418370567,1.6321428270463323,0.989274344317732,1.6887786,historical,0.879866337741768,,
development,round39_small_hard_V12_M3_Q20_slot07_seed621538683,noadaptive,134.99459009347234,78.5794543,True,3562.7211838269295,2278.1262339,historical,0.03816083893169036,0.03491665056385449,138.4451303784979,79.7295563,historical,0.9752552113102859,,
development,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,noadaptive,162.60833994868105,95.7009891,True,10383.731286460352,6327.6113147,historical,0.015754701343307184,0.015279969694992084,133.73490192498448,82.5178879,historical,1.2142981336771392,,
development,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,noadaptive,10.700450366810307,9.090919,True,100.19984835374473,59.3698132,historical,0.11561727173652776,0.16715173470173997,10.503884558425527,9.0603292,historical,1.017086907243068,,
development,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,veto-f05,0.0,2.495319,True,0.02713133726856121,0.0505268,historical,0.973585328103501,3.327205931347967,0.0,2.4657144,historical,1.0,,
development,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,veto-f05,43.784770234878536,29.8850071,True,2.080721906744143,1.6591912,historical,14.53710253328554,11.614436412094022,47.3035471806965,30.1220781,historical,0.9271528251816635,,
