phase,instance_id,configuration,candidate_work,pgrb_work,shifted_work_over_pgrb,candidate_seconds,pgrb_seconds,shifted_time_over_pgrb,severe_pgrb_regression
development,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,noadaptive,0.0,0.02713133726856121,0.973585328103501,2.7175036,0.0505268,3.538704200597262,False
development,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,noadaptive,43.484953660396734,2.080721906744143,14.439782300055315,30.5194008,1.6591912,11.853002822813192,False
development,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,noadaptive,1671.8335188598146,1607.9153648352515,1.0397274806503622,759.4792273,934.6871832,0.8127494326674454,False
development,round39_small_medium_V8_M3_Q30_slot03_seed1177285734,noadaptive,3.679095375377496,5.806863502157574,0.6874084332518732,4.2176444,4.3065391,0.9832480834825094,False
development,round39_small_medium_V10_M2_Q20_slot05_seed968549317,noadaptive,95.74423884861486,517.2770571210964,0.18666510029598007,58.5792567,292.1943537,0.20320738086573867,False
development,round39_small_hard_V10_M1_Q30_slot02_seed1721447042,noadaptive,1.0285304985578159,0.7273008006012202,1.1743933065113772,1.6132491,0.6111954,1.6219318277596868,False
development,round39_small_hard_V10_M1_Q20_slot01_seed561355351,noadaptive,0.7502955320985,0.5720710311796616,1.1133692418370567,1.4790983,0.5189224,1.6321428270463323,False
development,round39_small_hard_V12_M3_Q20_slot07_seed621538683,noadaptive,134.99459009347234,3562.7211838269295,0.03816083893169036,78.5794543,2278.1262339,0.03491665056385449,False
development,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,noadaptive,162.60833994868105,10383.731286460352,0.015754701343307184,95.7009891,6327.6113147,0.015279969694992084,False
development,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,noadaptive,10.700450366810307,100.19984835374473,0.11561727173652776,9.090919,59.3698132,0.16715173470173997,False
development,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,veto-f05,0.0,0.02713133726856121,0.973585328103501,2.495319,0.0505268,3.327205931347967,False
development,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,veto-f05,43.784770234878536,2.080721906744143,14.53710253328554,29.8850071,1.6591912,11.614436412094022,False
development,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,veto-f05,1675.439939039798,1607.9153648352515,1.0419690032679008,751.8185273,934.6871832,0.80456218789425,False
development,round39_small_medium_V8_M3_Q30_slot03_seed1177285734,veto-f05,4.63236446622553,5.806863502157574,0.827453711160836,4.7341337,4.3065391,1.0805788088888293,False
development,round39_small_medium_V10_M2_Q20_slot05_seed968549317,veto-f05,104.44092931317385,517.2770571210964,0.20344510308612287,63.2432748,292.1943537,0.21911497949832445,False
development,round39_small_hard_V10_M1_Q30_slot02_seed1721447042,veto-f05,1.1332860220650718,0.7273008006012202,1.235040255479845,1.7164922,0.6111954,1.6860103994835138,False
development,round39_small_hard_V10_M1_Q20_slot01_seed561355351,veto-f05,0.834577916685134,0.5720710311796616,1.166981567816621,1.5156782,0.5189224,1.656225624166185,False
development,round39_small_hard_V12_M3_Q20_slot07_seed621538683,veto-f05,139.2326085386873,3562.7211838269295,0.03935005049640203,80.2413747,2278.1262339,0.03564584246875225,False
development,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,veto-f05,163.20344039994654,10383.731286460352,0.015812006673108198,93.1924518,6327.6113147,0.014883589324124116,False
development,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,veto-f05,11.362316412552882,100.19984835374473,0.12215745985448836,9.4903434,59.3698132,0.17376802815748982,False
validation,round39_small_easy_V8_M1_Q30_slot01_seed432322553,noadaptive,0.46508638969100285,0.323659897802514,1.1068450378554788,3.4448742,0.3471442,3.2994791500419924,False
validation,round39_small_easy_V10_M3_Q20_slot06_seed1178207568,noadaptive,4.6230457679578345,1.1326278983876463,2.636674579850093,7.9284104,0.9917038,4.482800303940777,False
validation,round39_small_easy_V12_M2_Q30_slot07_seed1210444511,noadaptive,11.13136130510933,1.6278828690447789,4.616401076323091,13.0415914,1.331212,6.023300926728243,False
validation,round39_small_medium_V8_M2_Q20_slot02_seed890603285,noadaptive,16.338103903134524,22.411107831650927,0.740593056416325,12.1235804,17.7283335,0.7007340188597132,False
validation,round39_small_medium_V12_M1_Q30_slot07_seed907224013,noadaptive,10.831064281422252,13.58012742242556,0.811451363808042,10.2029542,9.8209297,1.0353042215956731,False
validation,round39_small_hard_V12_M1_Q20_slot05_seed180890838,noadaptive,3.046179509280355,5.35335760224831,0.6368568814461985,3.5205504,3.5549344,0.9924512634034859,False
validation,round39_small_hard_V10_M2_Q20_slot03_seed490008310,noadaptive,8.228499935694419,39.21814487589712,0.2294611042893998,7.0958965,26.126958,0.29844468738440927,False
validation_fallback,round39_small_easy_V8_M1_Q30_slot01_seed432322553,veto-f05,0.638556353832332,0.323659897802514,1.2378983125141105,3.4249046,0.3471442,3.2846554956774483,False
validation_fallback,round39_small_easy_V10_M3_Q20_slot06_seed1178207568,veto-f05,5.076129511975768,1.1326278983876463,2.8491278373360727,7.5690259,0.9917038,4.302359567722871,False
validation_fallback,round39_small_easy_V12_M2_Q30_slot07_seed1210444511,veto-f05,12.978915071073825,1.6278828690447789,5.319458959049832,13.2421213,1.331212,6.10932051653818,False
validation_fallback,round39_small_medium_V8_M2_Q20_slot02_seed890603285,veto-f05,25.42246179214708,22.411107831650927,1.1286292806880722,18.2838242,17.7283335,1.0296604446946653,False
validation_fallback,round39_small_medium_V12_M1_Q30_slot07_seed907224013,veto-f05,11.563815798772376,13.58012742242556,0.8617082303031238,10.5736056,9.8209297,1.069557415200655,False
validation_fallback,round39_small_hard_V12_M1_Q20_slot05_seed180890838,veto-f05,2.8408225871291632,5.35335760224831,0.6045342994340477,2.97444,3.5549344,0.872557022994667,False
validation_fallback,round39_small_hard_V10_M2_Q20_slot03_seed490008310,veto-f05,12.654592480644414,39.21814487589712,0.3395132352021453,9.6212334,26.126958,0.39153794538996967,False
