instance_id,lookahead_policy,injection_policy,parent_decisions,lookahead_lp_jobs,depth2_lp_jobs,fixed_d2_reference_jobs,lp_jobs_avoided_vs_fixed_d2,complete_gap_free_profiles
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,fixed-d1,none,0,0,0,0,0,0
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,fixed-d1,all,0,0,0,0,0,0
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,fixed-d1,violated,0,0,0,0,0,0
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,fixed-d1,active-one,0,0,0,0,0,0
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,fixed-d2,none,0,0,0,0,0,0
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,fixed-d2,all,0,0,0,0,0,0
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,fixed-d2,violated,0,0,0,0,0,0
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,fixed-d2,active-one,0,0,0,0,0,0
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,frontier-d2,none,0,0,0,0,0,0
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,frontier-d2,all,0,0,0,0,0,0
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,frontier-d2,violated,0,0,0,0,0,0
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,frontier-d2,active-one,0,0,0,0,0,0
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,fixed-d1,none,3,6,0,18,12,3
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,fixed-d1,all,3,6,0,18,12,3
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,fixed-d1,violated,3,6,0,18,12,3
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,fixed-d1,active-one,3,6,0,18,12,3
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,fixed-d2,none,3,18,12,18,0,3
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,fixed-d2,all,3,18,12,18,0,3
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,fixed-d2,violated,3,18,12,18,0,3
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,fixed-d2,active-one,3,18,12,18,0,3
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,frontier-d2,none,3,14,8,18,4,3
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,frontier-d2,all,3,14,8,18,4,3
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,frontier-d2,violated,3,14,8,18,4,3
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,frontier-d2,active-one,3,14,8,18,4,3
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,fixed-d1,none,4,8,0,24,16,4
