phase,instance_id,configuration,gate_applies,pgrb_work,c6_work,candidate_work,pgrb_advantage_over_candidate,candidate_over_c6_work,advantage_retained
development,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,noadaptive,False,0.02713133726856121,0.0,0.0,1.0271313372685613,1.0,True
development,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,noadaptive,False,2.080721906744143,47.3035471806965,43.484953660396734,0.06925312163440091,0.9209458985275975,True
development,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,noadaptive,False,1607.9153648352515,4373.077783569157,1671.8335188598146,0.9617904870365528,0.3824425631258018,True
development,round39_small_medium_V8_M3_Q30_slot03_seed1177285734,noadaptive,False,5.806863502157574,3.407074912530055,3.679095375377496,1.4547392083471722,1.061723584973344,True
development,round39_small_medium_V10_M2_Q20_slot05_seed968549317,noadaptive,False,517.2770571210964,109.91515934198168,95.74423884861486,5.3571878107604425,0.8722363960216294,True
development,round39_small_hard_V10_M1_Q30_slot02_seed1721447042,noadaptive,False,0.7273008006012202,1.1499275494877275,1.0285304985578159,0.8515034907432967,0.943534352606981,True
development,round39_small_hard_V10_M1_Q20_slot01_seed561355351,noadaptive,False,0.5720710311796616,0.989274344317732,0.7502955320985,0.8981746238561452,0.879866337741768,True
development,round39_small_hard_V12_M3_Q20_slot07_seed621538683,noadaptive,True,3562.7211838269295,138.4451303784979,134.99459009347234,26.204874630509188,0.9752552113102859,True
development,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,noadaptive,True,10383.731286460352,133.73490192498448,162.60833994868105,63.473116894393804,1.2142981336771392,True
development,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,noadaptive,True,100.19984835374473,10.503884558425527,10.700450366810307,8.649226754622191,1.017086907243068,True
development,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,veto-f05,False,0.02713133726856121,0.0,0.0,1.0271313372685613,1.0,True
development,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,veto-f05,False,2.080721906744143,47.3035471806965,43.784770234878536,0.06878949898786944,0.9271528251816635,True
development,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,veto-f05,False,1607.9153648352515,4373.077783569157,1675.439939039798,0.9597214474362725,0.3832670615363081,True
development,round39_small_medium_V8_M3_Q30_slot03_seed1177285734,veto-f05,False,5.806863502157574,3.407074912530055,4.63236446622553,1.2085268172851609,1.2780278479523393,True
development,round39_small_medium_V10_M2_Q20_slot05_seed968549317,veto-f05,False,517.2770571210964,109.91515934198168,104.44092931317385,4.915330891875424,0.9506448887484417,True
development,round39_small_hard_V10_M1_Q30_slot02_seed1721447042,veto-f05,False,0.7273008006012202,1.1499275494877275,1.1332860220650718,0.80969020690866,0.9922594938482364,True
development,round39_small_hard_V10_M1_Q20_slot01_seed561355351,veto-f05,False,0.5720710311796616,0.989274344317732,0.834577916685134,0.8569115636256043,0.9222347445064673,True
development,round39_small_hard_V12_M3_Q20_slot07_seed621538683,veto-f05,True,3562.7211838269295,138.4451303784979,139.2326085386873,25.41292799843891,1.0056472259594287,True
development,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,veto-f05,True,10383.731286460352,133.73490192498448,163.20344039994654,63.243079811035024,1.2187149584401604,True
development,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,veto-f05,True,100.19984835374473,10.503884558425527,11.362316412552882,8.186155812270334,1.0746210421156073,True
validation,round39_small_easy_V8_M1_Q30_slot01_seed432322553,noadaptive,False,0.323659897802514,0.3908992764865721,0.46508638969100285,0.9034688378216955,1.053337516568294,True
validation,round39_small_easy_V10_M3_Q20_slot06_seed1178207568,noadaptive,False,1.1326278983876463,3.3447293532894102,4.6230457679578345,0.3792656126934157,1.2942223348620339,True
validation,round39_small_easy_V12_M2_Q30_slot07_seed1210444511,noadaptive,False,1.6278828690447789,9.380035587911921,11.13136130510933,0.21661895997920705,1.168720588900188,True
validation,round39_small_medium_V8_M2_Q20_slot02_seed890603285,noadaptive,False,22.411107831650927,14.858987962360878,16.338103903134524,1.3502692083543504,1.0932667295217149,True
validation,round39_small_medium_V12_M1_Q30_slot07_seed907224013,noadaptive,False,13.58012742242556,11.212953219085438,10.831064281422252,1.2323597501976242,0.9687308277684712,True
validation,round39_small_hard_V12_M1_Q20_slot05_seed180890838,noadaptive,False,5.35335760224831,2.6781467899102065,3.046179509280355,1.570211501411687,1.1000592799557989,True
