stage,instance_id,role,tag,family,lookahead,injection,scope,causal_only,run_id,decision_identity_sha256,executable_sha256,complete_marker,correctness,certified,right_censored,failure_reason,work,process_seconds,nodes,lp_jobs,terminal_mip_jobs,split_count,final_intervals,pgrb_work,pgrb_process_seconds,shifted_work_over_pgrb,shifted_time_over_pgrb,c6_work,c6_process_seconds,shifted_work_over_c6,shifted_time_over_c6,pgrb_advantage_over_candidate,severe_pgrb_regression,global_lower_bound,verified_upper_bound,major_gate,control_advantage_retained
stage2-mechanism,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,major_fragmentation_regression,na-frontier-all,no-adaptive,frontier-d2,all,parent,False,stage2-mechanism__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__na-frontier-all,e8b40f88bfc8f6971cbec14ee68552f3cc1011e2ca19b9f987c0a6c0585b72dc,c6cd3f8c3d0220da87f96c891dc2cbbe493f6cc6e2d7b64b31210b7993e1e7fd,True,True,True,False,none,1349.6109340319874,614.6182212,13940.0,26,3,0,4,1607.9153648352515,934.6871832,0.8394543078841729,0.6579316594832673,4373.077783569157,1911.4661885,0.3087761582808244,0.3218975712626043,1.191250066391915,False,0.04500155005562829,0.04500155005562836,True,True
stage2-mechanism,round39_small_medium_V10_M2_Q20_slot05_seed968549317,medium_c6_win_guard,na-frontier-all,no-adaptive,frontier-d2,all,parent,False,stage2-mechanism__round39_small_medium_V10_M2_Q20_slot05_seed968549317__na-frontier-all,e8b40f88bfc8f6971cbec14ee68552f3cc1011e2ca19b9f987c0a6c0585b72dc,c6cd3f8c3d0220da87f96c891dc2cbbe493f6cc6e2d7b64b31210b7993e1e7fd,True,True,True,False,none,96.56488294698424,57.1536914,4903.0,29,4,0,4,517.2770571210964,292.1943537,0.1882485084115696,0.19834519548593885,109.91515934198168,65.3808308,0.8796352412582765,0.8760615180489727,5.3121270837041115,False,0.12152565367470172,0.1215256536747018,True,True
stage2-mechanism,round39_small_hard_V10_M1_Q20_slot01_seed561355351,hard_p_grb_win_guard,na-frontier-all,no-adaptive,frontier-d2,all,parent,False,stage2-mechanism__round39_small_hard_V10_M1_Q20_slot01_seed561355351__na-frontier-all,e8b40f88bfc8f6971cbec14ee68552f3cc1011e2ca19b9f987c0a6c0585b72dc,c6cd3f8c3d0220da87f96c891dc2cbbe493f6cc6e2d7b64b31210b7993e1e7fd,True,True,True,False,none,1.029957335442418,1.8570428,1.0,15,2,0,4,0.5720710311796616,0.5189224,1.291263114185855,1.880966927606045,0.989274344317732,1.6887786,1.0204511716751865,1.0625801618623416,0.7744355035112289,False,0.8585174613256055,0.8585174613256055,True,True
stage2-mechanism,round39_small_hard_V12_M3_Q20_slot07_seed621538683,numerical_fail_closed_endpoint,na-frontier-all,no-adaptive,frontier-d2,all,parent,False,stage2-mechanism__round39_small_hard_V12_M3_Q20_slot07_seed621538683__na-frontier-all,e8b40f88bfc8f6971cbec14ee68552f3cc1011e2ca19b9f987c0a6c0585b72dc,c6cd3f8c3d0220da87f96c891dc2cbbe493f6cc6e2d7b64b31210b7993e1e7fd,True,True,True,False,none,140.8822837662202,85.579244,2917.0,33,4,0,4,3562.7211838269295,2278.1262339,0.03981295854740769,0.037987910766946485,138.4451303784979,79.7295563,1.0174775080428202,1.072460297914458,25.117450108844327,False,0.647116433455502,0.6471164334555021,True,True
stage2-mechanism,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,strongest_k4_positive_control,na-frontier-all,no-adaptive,frontier-d2,all,parent,False,stage2-mechanism__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__na-frontier-all,e8b40f88bfc8f6971cbec14ee68552f3cc1011e2ca19b9f987c0a6c0585b72dc,c6cd3f8c3d0220da87f96c891dc2cbbe493f6cc6e2d7b64b31210b7993e1e7fd,True,True,True,False,none,167.10243064257722,100.2334078,8339.0,31,4,0,4,10383.731286460352,6327.6113147,0.016187460802356026,0.015996148722999724,133.73490192498448,82.5178879,1.2476531933512711,1.2121164740326245,61.776211365679636,False,0.5063433075651865,0.506343307565206,True,True
stage2-mechanism,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,hard_c6_win_guard,na-frontier-all,no-adaptive,frontier-d2,all,parent,False,stage2-mechanism__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__na-frontier-all,e8b40f88bfc8f6971cbec14ee68552f3cc1011e2ca19b9f987c0a6c0585b72dc,c6cd3f8c3d0220da87f96c891dc2cbbe493f6cc6e2d7b64b31210b7993e1e7fd,True,True,True,False,none,11.712998210258387,10.011428,556.0,25,4,0,4,100.19984835374473,59.3698132,0.12562270020227717,0.18239957051912825,10.503884558425527,9.0603292,1.1051048144382931,1.0945395305752024,7.960344733792571,False,0.5045438521642065,0.5045438521642074,True,True
stage2-mechanism,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,major_fragmentation_regression,overlay-d1-all-parent,c6-overlay,fixed-d1,all,parent,False,stage2-mechanism__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__overlay-d1-all-parent,d85f44fb8d04222505f1ce0db1c9a2cb4920a71f07808aa41934b0fce9767a0e,c6cd3f8c3d0220da87f96c891dc2cbbe493f6cc6e2d7b64b31210b7993e1e7fd,True,True,True,False,none,3427.580187383055,1631.1282906,30607.0,22,4,1,5,1607.9153648352515,934.6871832,2.130988529489326,1.7443097649560706,4373.077783569157,1911.4661885,0.7838406990068212,0.8534155011023349,0.46926578259885887,True,0.04500155005562834,0.04500155005562836,False,True
stage2-mechanism,round39_small_medium_V10_M2_Q20_slot05_seed968549317,medium_c6_win_guard,overlay-d1-all-parent,c6-overlay,fixed-d1,all,parent,False,stage2-mechanism__round39_small_medium_V10_M2_Q20_slot05_seed968549317__overlay-d1-all-parent,d85f44fb8d04222505f1ce0db1c9a2cb4920a71f07808aa41934b0fce9767a0e,c6cd3f8c3d0220da87f96c891dc2cbbe493f6cc6e2d7b64b31210b7993e1e7fd,True,True,True,False,none,104.44092931317385,64.5953363,5607.0,17,4,0,4,517.2770571210964,292.1943537,0.20344510308612287,0.22372646496159312,109.91515934198168,65.3808308,0.9506448887484417,0.9881668474086046,4.915330891875424,False,0.12152565367470146,0.1215256536747018,True,True
stage2-mechanism,round39_small_hard_V10_M1_Q20_slot01_seed561355351,hard_p_grb_win_guard,overlay-d1-all-parent,c6-overlay,fixed-d1,all,parent,False,stage2-mechanism__round39_small_hard_V10_M1_Q20_slot01_seed561355351__overlay-d1-all-parent,d85f44fb8d04222505f1ce0db1c9a2cb4920a71f07808aa41934b0fce9767a0e,c6cd3f8c3d0220da87f96c891dc2cbbe493f6cc6e2d7b64b31210b7993e1e7fd,True,True,True,False,none,1.3039524076024094,2.3130028,2.0,23,2,3,7,0.5720710311796616,0.5189224,1.4655523585811217,2.1811534282462355,0.989274344317732,1.6887786,1.158187363238027,1.232159018224855,0.6823365908046797,False,0.8585174613256055,0.8585174613256055,True,True
stage2-mechanism,round39_small_hard_V12_M3_Q20_slot07_seed621538683,numerical_fail_closed_endpoint,overlay-d1-all-parent,c6-overlay,fixed-d1,all,parent,False,stage2-mechanism__round39_small_hard_V12_M3_Q20_slot07_seed621538683__overlay-d1-all-parent,d85f44fb8d04222505f1ce0db1c9a2cb4920a71f07808aa41934b0fce9767a0e,c6cd3f8c3d0220da87f96c891dc2cbbe493f6cc6e2d7b64b31210b7993e1e7fd,True,True,True,False,none,139.2326085386873,82.4625294,2918.0,17,4,0,4,3562.7211838269295,2278.1262339,0.03935005049640203,0.03662040660958933,138.4451303784979,79.7295563,1.0056472259594287,1.0338534388798566,25.41292799843891,False,0.647116433455502,0.6471164334555021,True,True
