"time_seconds","source","objective","G","P","improvement_over_previous","verifier_passed","route_count","served_station_count","total_pickup","total_drop","depot_unload","incumbent_hash","exported_incumbent_path","paper_reproducible","contributes_lower_bound","accepted","file"
"16.1507946","native_hga_tgbc_initial","2.44340319194","0.526657794384","12.7783026504","2.78807260605","true","3","6","78","23","55","5741cbbd4772da57","","true","false","true","E:\codes\ExactEBRP\results\exact_primal_stress_round\ub_events\high_imbalance_seed3201_core_native_300s.ub_events.csv"
"16.7077852","native_hga_tgbc_initial","2.44340319194","0.526657794384","12.7783026504","0","true","3","6","78","23","55","standalone_primal_heuristic","results\exact_primal_stress_round\incumbents\high_imbalance_seed3201_hga_incumbent.json","true","false","true","E:\codes\ExactEBRP\results\exact_primal_stress_round\ub_events\high_imbalance_seed3201_heuristic.ub_events.csv"
"14.2264156","native_hga_tgbc_initial","1.74931345205","0.55290775659","7.97603796974","3.29228844391","true","3","9","72","72","0","36d0cf2a768f5e37","","true","false","true","E:\codes\ExactEBRP\results\exact_primal_stress_round\ub_events\high_imbalance_seed3202_core_native_300s.ub_events.csv"
"14.7840998","native_hga_tgbc_initial","1.74931345205","0.55290775659","7.97603796974","0","true","3","9","72","72","0","standalone_primal_heuristic","results\exact_primal_stress_round\incumbents\high_imbalance_seed3202_hga_incumbent.json","true","false","true","E:\codes\ExactEBRP\results\exact_primal_stress_round\ub_events\high_imbalance_seed3202_heuristic.ub_events.csv"
"20.0071382","native_hga_tgbc_initial","0.0491525526647","0.0193859708441","0.198443878804","1.2279294141","true","3","19","66","66","0","64609862cc4ce594","","true","false","true","E:\codes\ExactEBRP\results\exact_primal_stress_round\ub_events\moderate_seed3301_core_native_300s.ub_events.csv"
"20.0052608","native_hga_tgbc_initial","0.0491525526647","0.0193859708441","0.198443878804","1.2279294141","true","3","19","66","66","0","64609862cc4ce594","","true","false","true","E:\codes\ExactEBRP\results\exact_primal_stress_round\ub_events\moderate_seed3301_core_repair_300s.ub_events.csv"
"20.0089769","native_hga_tgbc_initial","0.0491525526647","0.0193859708441","0.198443878804","0","true","3","19","66","66","0","standalone_primal_heuristic","results\exact_primal_stress_round\incumbents\moderate_seed3301_hga_incumbent.json","true","false","true","E:\codes\ExactEBRP\results\exact_primal_stress_round\ub_events\moderate_seed3301_heuristic.ub_events.csv"
"20.0099977","native_hga_tgbc_initial","0.196836224675","0.0763315290514","0.803364637493","1.15844108328","true","3","19","68","68","0","26f70811f6ebff0b","","true","false","true","E:\codes\ExactEBRP\results\exact_primal_stress_round\ub_events\moderate_seed3302_core_native_300s.ub_events.csv"
"20.0055323","native_hga_tgbc_initial","0.196836224675","0.0763315290514","0.803364637493","0","true","3","19","68","68","0","standalone_primal_heuristic","results\exact_primal_stress_round\incumbents\moderate_seed3302_hga_incumbent.json","true","false","true","E:\codes\ExactEBRP\results\exact_primal_stress_round\ub_events\moderate_seed3302_heuristic.ub_events.csv"
"5.7692519","native_hga_tgbc_initial","0.617830412041","0.289573108594","2.18838202298","2.46438161852","true","3","7","41","24","17","3e78412cd719b085","","true","false","true","E:\codes\ExactEBRP\results\exact_primal_stress_round\ub_events\tight_T_seed3101_core_native_300s.ub_events.csv"
"5.8408498","native_hga_tgbc_initial","0.617830412041","0.289573108594","2.18838202298","0","true","3","7","41","24","17","standalone_primal_heuristic","results\exact_primal_stress_round\incumbents\tight_T_seed3101_hga_incumbent.json","true","false","true","E:\codes\ExactEBRP\results\exact_primal_stress_round\ub_events\tight_T_seed3101_heuristic.ub_events.csv"
"9.979281","native_hga_tgbc_initial","1.57552584458","0.334477399518","8.27365630039","2.44261072982","true","3","8","46","41","5","cd63b7800396e93b","","true","false","true","E:\codes\ExactEBRP\results\exact_primal_stress_round\ub_events\tight_T_seed3102_core_native_300s.ub_events.csv"
"10.2089891","native_hga_tgbc_initial","1.57552584458","0.334477399518","8.27365630039","2.44261072982","true","3","8","46","41","5","cd63b7800396e93b","","true","false","true","E:\codes\ExactEBRP\results\exact_primal_stress_round\ub_events\tight_T_seed3102_core_repair_300s.ub_events.csv"
"10.0313499","native_hga_tgbc_initial","1.57552584458","0.334477399518","8.27365630039","0","true","3","8","46","41","5","standalone_primal_heuristic","results\exact_primal_stress_round\incumbents\tight_T_seed3102_hga_incumbent.json","true","false","true","E:\codes\ExactEBRP\results\exact_primal_stress_round\ub_events\tight_T_seed3102_heuristic.ub_events.csv"
