"instance","instance_scope","instance_hash","input_path","source_type","variant","status","certified_original_problem","verifier_passed","initial_heuristic_UB","final_UB","lower_bound","gap","runtime_seconds","heuristic_time","bound_time","pricing_time","master_time","bpc_tree_entered","pricing_calls","route_pool_incumbent_calls","route_pool_incumbent_successes","local_redecode_repair_calls","local_redecode_repair_successes","ub_improved_after_initial_heuristic","ub_update_count_after_initial","first_ub_improvement_time","last_ub_improvement_time","unresolved_intervals","invalid_bound_intervals","open_nodes","plateau_reason","result_file","progress_log","ub_event_log"
"regen_candidate_V12_M2_average.txt","regenerated_engineering","52a1bbf5593d7d3f","E:\codes\ExactEBRP\reference\regen_candidate_V12_M2_average.txt","primal_improvement","local_redecode_repairs_greedy_start","optimal","True","True","0.789342396801","0.718504070755","0.718504070755","0","198.4956795","0.0004625","191.736065","0","0","False","0","2","0","1","1","True","1","6.7587541","6.7587541","0","0","0","certified","results\exact_primal_stress_round\raw\v12_m2_greedy_start_300s.json","results\exact_primal_stress_round\progress\v12_m2_greedy_start_300s.csv","results\exact_primal_stress_round\ub_events\v12_m2_greedy_start_300s.ub_events.csv"
"moderate_seed3301.txt","historical_target","d5bf31d0bb885c86","E:\codes\ExactEBRP\reference\hard_stress\V20_M3\moderate_seed3301.txt","primal_improvement","local_redecode_on_v20_plateau","gcap_frontier_not_closed","False","True","0.0491525526647","0.0491525526647","0.0427477151184","0.130305288314","303.3983988","20.0049177","263.384601","0","0","False","0","2","0","1","0","False","0","0","0","5","0","5","relaxation_bound_plateau","E:\codes\ExactEBRP\results\exact_primal_stress_round\raw\moderate_seed3301_core_repair_300s.json","results\exact_primal_stress_round\progress\moderate_seed3301_core_repair_300s.csv","results\exact_primal_stress_round\ub_events\moderate_seed3301_core_repair_300s.ub_events.csv"
"tight_T_seed3102.txt","historical_target","8e9a4ec7edfa3f8d","E:\codes\ExactEBRP\reference\hard_stress\V20_M3\tight_T_seed3102.txt","primal_improvement","local_redecode_on_v20_plateau","gcap_frontier_not_closed","False","True","1.57552584458","1.57552584458","1.39118663149","0.117001706903","342.6167208","10.2088957","324.0174684","0","0","False","0","2","0","1","0","False","0","0","0","2","0","2","relaxation_bound_plateau","E:\codes\ExactEBRP\results\exact_primal_stress_round\raw\tight_T_seed3102_core_repair_300s.json","results\exact_primal_stress_round\progress\tight_T_seed3102_core_repair_300s.csv","results\exact_primal_stress_round\ub_events\tight_T_seed3102_core_repair_300s.ub_events.csv"
