"file","elapsed_seconds","event","incumbent_UB","global_LB","gap","unresolved_intervals","open_nodes","bound_time_seconds","pricing_time_seconds"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\high_imbalance_seed3201_core_native_300s.csv","0.0002334","initial_empty_incumbent","5.231475798","0","1","0","0","0","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\high_imbalance_seed3201_core_native_300s.csv","16.1510778","initial_after_seed","2.44340319194","1.34341951282","0.450185087238","3","0","0","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\high_imbalance_seed3201_core_native_300s.csv","45.9239032","interval_relaxation_0","2.44340319194","1.58377469667","0.351816064623","2","0","29.7725739","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\high_imbalance_seed3201_core_native_300s.csv","162.5243114","interval_relaxation_1","2.44340319194","1.90044136333","0.222215404482","2","0","146.3729401","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\high_imbalance_seed3201_core_native_300s.csv","276.1775452","interval_relaxation_2","2.44340319194","2.11629979572","0.133872050793","2","1","260.0261293","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\high_imbalance_seed3201_core_native_300s.csv","334.2360281","adaptive_split_child_3","2.44340319194","2.1396388383","0.124320191872","2","2","318.0845565","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\high_imbalance_seed3201_core_native_300s.csv","334.2360543","adaptive_split_child_4","2.44340319194","2.11629979572","0.133872050793","3","3","318.0845565","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\high_imbalance_seed3201_core_native_300s.csv","334.2361009","route_pool_before_final_summary","2.44340319194","2.11629979572","0.133872050793","3","3","318.0845565","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\high_imbalance_seed3201_core_native_300s.csv","334.2361388","final_summary","2.44340319194","2.11629979572","0.133872050793","3","3","318.0845565","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\high_imbalance_seed3202_core_native_300s.csv","0.0002427","initial_empty_incumbent","5.04160189596","0","1","0","0","0","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\high_imbalance_seed3202_core_native_300s.csv","14.2266019","initial_after_seed","1.74931345205","0.638995585916","0.634716359628","3","0","0","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\high_imbalance_seed3202_core_native_300s.csv","33.2126781","interval_relaxation_0","1.74931345205","0.905881450707","0.48215029751","2","0","18.9859396","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\high_imbalance_seed3202_core_native_300s.csv","104.5817874","interval_relaxation_1","1.74931345205","1.22254811737","0.301126898704","2","0","90.3550059","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\high_imbalance_seed3202_core_native_300s.csv","170.5493033","interval_relaxation_2","1.74931345205","1.46940951067","0.160007882549","2","1","156.3224783","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\high_imbalance_seed3202_core_native_300s.csv","241.5991031","adaptive_split_child_3","1.74931345205","1.53248146717","0.123952619596","2","2","227.3722161","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\high_imbalance_seed3202_core_native_300s.csv","310.1291477","adaptive_split_child_4","1.74931345205","1.53248146717","0.123952619596","3","3","295.9022061","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\high_imbalance_seed3202_core_native_300s.csv","310.1292099","route_pool_before_final_summary","1.74931345205","1.53248146717","0.123952619596","3","3","295.9022061","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\high_imbalance_seed3202_core_native_300s.csv","310.1292468","final_summary","1.74931345205","1.53248146717","0.123952619596","3","3","295.9022061","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\moderate_seed3301_core_native_300s.csv","0.000262","initial_empty_incumbent","1.27708196677","0","1","0","0","0","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\moderate_seed3301_core_native_300s.csv","20.0073273","initial_after_seed","0.0491525526647","0","1","3","0","0","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\moderate_seed3301_core_native_300s.csv","59.5595071","interval_relaxation_0","0.0491525526647","0.0163841842216","0.666666666667","3","0","39.5520617","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\moderate_seed3301_core_native_300s.csv","98.1086848","interval_relaxation_1","0.0491525526647","0.0327683684432","0.333333333333","3","1","78.1011777","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\moderate_seed3301_core_native_300s.csv","107.5935003","interval_relaxation_2","0.0491525526647","0.0426751738296","0.131781128019","2","2","87.5859532","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\moderate_seed3301_core_native_300s.csv","146.933332","adaptive_split_child_3","0.0491525526647","0.0440604552058","0.103597823163","2","2","126.9257222","0"
