leaf_id,parent_id,child_index,depth,gamma_L,gamma_U,base_lower_bound,current_lower_bound,cutoff,status,lp_complete,lp_optimal,lp_infeasible,lp_bound,lp_native_status,terminal_mip_started,terminal_native_status,closure_source,model_sha256,row_signature,parent_child_coverage_valid,parent_replaced,lower_bound_sources
R.0.0.1.1,"R.0.0.1",1,4,0.031660750611923749,0.042214334149231668,0.070914965519364548,0.077877870671259702,0.16885733659692667,replaced,1,1,0,0.077877870671259702,"OPTIMAL",0,"not_run","",f7db175a6735caf13698f8bbf36fe365e6b6d2fd5a4062ca288b3279e174c59e,f7db175a6735caf13698f8bbf36fe365e6b6d2fd5a4062ca288b3279e174c59e,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.0.0.0.1.0,"R.0.0.0.1",0,5,0.010553583537307917,0.015830375305961875,0.072297673022583803,0.081796741492400377,0.16885733659692667,replaced,1,1,0,0.081796741492400377,"OPTIMAL",0,"not_run","",7414a02ca52f308b8ac558ec502d11e1476d9ac8c4f22793fec10e33af04edd3,7414a02ca52f308b8ac558ec502d11e1476d9ac8c4f22793fec10e33af04edd3,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.0.0.0.1.1,"R.0.0.0.1",1,5,0.015830375305961875,0.021107167074615834,0.072297673022583803,0.075370071051892418,0.16885733659692667,replaced,1,1,0,0.075370071051892418,"OPTIMAL",0,"not_run","",b28c1f666f66b68566b1c66b8cde41f6e82396599076b97f6c3e5239bf6bd465,b28c1f666f66b68566b1c66b8cde41f6e82396599076b97f6c3e5239bf6bd465,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.0.0.1.0.0,"R.0.0.1.0",0,5,0.021107167074615834,0.026383958843269793,0.073463468072278729,0.075336913314521844,0.16885733659692667,replaced,1,1,0,0.075336913314521844,"OPTIMAL",0,"not_run","",87cfdbe6c8e0a1328d95240403f54eb73048352a689bd6d14dedbef21b7f5ce7,87cfdbe6c8e0a1328d95240403f54eb73048352a689bd6d14dedbef21b7f5ce7,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.0.0.1.0.1,"R.0.0.1.0",1,5,0.026383958843269793,0.031660750611923749,0.073463468072278729,0.076745667296396036,0.16885733659692667,replaced,1,1,0,0.076745667296396036,"OPTIMAL",0,"not_run","",d01e0dffb49844fa31bff412e547bf3daa21e91ef2a9124a0fc516a0942cb398,d01e0dffb49844fa31bff412e547bf3daa21e91ef2a9124a0fc516a0942cb398,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.0.0.1.1.0,"R.0.0.1.1",0,5,0.031660750611923749,0.036937542380577712,0.077877870671259702,0.078685121812397257,0.16885733659692667,replaced,1,1,0,0.078685121812397257,"OPTIMAL",0,"not_run","",af4c2df489fcfc7b24c6992bcfbaa3da7cb1d87cfd67bc5bc535b9b6af9e4527,af4c2df489fcfc7b24c6992bcfbaa3da7cb1d87cfd67bc5bc535b9b6af9e4527,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.0.0.1.1.1,"R.0.0.1.1",1,5,0.036937542380577712,0.042214334149231668,0.077877870671259702,0.081368151071725028,0.16885733659692667,replaced,1,1,0,0.081368151071725028,"OPTIMAL",0,"not_run","",77e86c39ec0fb742a6b461972e13e67e754cae0dc62ea2c661004efc34712443,77e86c39ec0fb742a6b461972e13e67e754cae0dc62ea2c661004efc34712443,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.0.0.0.1.0.0,"R.0.0.0.1.0",0,6,0.010553583537307917,0.013191979421634897,0.081796741492400377,0.088366138200327238,0.16885733659692667,replaced,1,1,0,0.088366138200327238,"OPTIMAL",0,"not_run","",69faf07c728da5051a6b235cc71ad153fcacc00da6a689000374d7fe00fe3701,69faf07c728da5051a6b235cc71ad153fcacc00da6a689000374d7fe00fe3701,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.0.0.0.1.0.1,"R.0.0.0.1.0",1,6,0.013191979421634897,0.015830375305961875,0.081796741492400377,0.083176175074279837,0.16885733659692667,replaced,1,1,0,0.083176175074279837,"OPTIMAL",0,"not_run","",e27ac1114da788ff970008ed08953a4b87409e820ed4d4e81d3c9b573f9408c0,e27ac1114da788ff970008ed08953a4b87409e820ed4d4e81d3c9b573f9408c0,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.0.0.0.1.1.0,"R.0.0.0.1.1",0,6,0.015830375305961875,0.018468771190288856,0.075370071051892418,0.07846602871506804,0.16885733659692667,replaced,1,1,0,0.07846602871506804,"OPTIMAL",0,"not_run","",264a19f384e62291d4ba81207034f13ae3c48796986d5a719581b9e6a1a2255a,264a19f384e62291d4ba81207034f13ae3c48796986d5a719581b9e6a1a2255a,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
