station,initial_inventory,target_inventory,final_inventory
0,50000,0,50000
1,9,13,13
2,15,11,11
3,13,10,10
4,10,16,16
5,7,12,12
6,19,14,14
7,14,11,11
8,5,8,8
9,11,8,8
10,7,11,11
11,8,13,13
12,6,9,9
13,14,10,10
14,15,11,11
15,18,13,13
16,8,12,12
17,7,10,10
18,6,10,10
19,8,11,11
20,13,10,10
21,7,11,11
22,23,17,17
23,8,11,11
24,2,4,4
25,9,13,13
26,12,9,9
27,18,13,13
28,11,8,8
29,13,10,10
30,13,10,10
