vehicle,route_sequence_position,predecessor,station,successor,pickup,drop,load_before,load_after,travel_time_from_predecessor,operation_time,station_inventory_after
0,1,0,7,12,3,0,0,3,482.8689192293605,180.0,11
0,2,7,12,26,0,3,3,0,1078.243605521545,180.0,9
0,3,12,26,17,3,0,0,3,682.6441754982171,180.0,9
0,4,26,17,6,0,3,3,0,723.5081760504473,180.0,10
0,5,17,6,5,5,0,0,5,1419.7390742933987,300.0,14
0,6,6,5,2,0,5,5,0,808.5664685613034,300.0,12
0,7,5,2,18,4,0,0,4,862.5120126115995,240.0,11
0,8,2,18,0,0,4,4,0,1398.4754565787343,240.0,10
1,1,0,22,4,6,0,0,6,540.9456100161043,360.0,17
1,2,22,4,0,0,6,6,0,883.7102127012622,360.0,16
2,1,0,14,30,4,0,0,4,421.8683082690791,240.0,11
2,2,14,30,19,3,0,4,7,517.8972747788499,180.0,10
2,3,30,19,25,0,3,7,4,661.1274423348664,180.0,11
2,4,19,25,0,0,4,4,0,475.5160399463527,240.0,13
3,1,0,29,15,3,0,0,3,641.8221329190345,180.0,10
3,2,29,15,10,5,0,3,8,615.25355911386,300.0,13
3,3,15,10,27,0,4,8,4,784.866394446412,240.0,11
3,4,10,27,3,5,0,4,9,1144.6484353947515,300.0,13
3,5,27,3,21,3,0,9,12,878.1089368876738,180.0,10
3,6,3,21,23,0,4,12,8,230.63522235112188,240.0,11
3,7,21,23,11,0,3,8,5,328.82562393323263,180.0,11
3,8,23,11,0,0,5,5,0,580.9901416612391,300.0,13
4,1,0,28,13,3,0,0,3,574.652321948125,180.0,8
4,2,28,13,8,4,0,3,7,706.5312186585383,240.0,10
4,3,13,8,1,0,3,7,4,893.5431605232493,180.0,8
4,4,8,1,20,0,4,4,0,1481.2688303686464,240.0,13
4,5,1,20,9,3,0,0,3,1132.4047179973088,180.0,10
4,6,20,9,16,3,0,3,6,467.42854469082107,180.0,8
4,7,9,16,24,0,4,6,2,789.453963870532,240.0,12
4,8,16,24,0,0,2,2,0,1233.1440351066776,120.0,4
