event_sequence,elapsed_runtime_seconds,work,incumbent_available,incumbent,best_bound_available,best_bound,processed_nodes,open_nodes,solution_count,callback_where,phase,context
0,0.0107472,0.016906416306649567,false,1e+100,true,0,0,0,0,3,1,MIP
1,0.012576499999999999,0.018201384542323187,true,1.2025854867527856,true,0,0,0,4.9406564584124654e-324,3,1,MIP
2,0.0152085,0.022746382278396558,true,1.2025854867527856,true,0.52741917711686337,0,0,4.9406564584124654e-324,3,1,MIP
3,0.036411800000000001,0.043774659365103191,true,1.1170320060539205,true,0.52741917711686337,0,0,9.8813129168249309e-324,3,1,MIP
4,0.040876299999999997,0.053025738602228263,true,1.1170320060539205,true,0.62395241138241986,0,0,9.8813129168249309e-324,3,1,MIP
5,0.044485400000000001,0.056173288972732487,true,1.0196093142305291,true,0.62516859246535483,0,0,1.4821969375237396e-323,3,1,MIP
6,0.045858900000000001,0.058170270277183772,true,1.0196093142305291,true,0.63437338142273947,0,0,1.4821969375237396e-323,3,1,MIP
7,0.0615893,0.07676003112239782,true,1.0196093142305291,true,0.64068246290521935,0,0,1.4821969375237396e-323,3,1,MIP
8,0.065500000000000003,0.081017573726422487,true,1.0196093142305291,true,0.64139965088772632,0,0,1.4821969375237396e-323,3,1,MIP
9,0.066719799999999996,0.082200797931329644,true,1.0196093142305291,true,0.64242827492422105,0,0,1.4821969375237396e-323,3,1,MIP
10,0.093768699999999996,0.10667089970491854,true,1.0196093142305291,true,0.64510366000644992,0,0,1.4821969375237396e-323,3,1,MIP
11,0.098321800000000001,0.11129409293607334,true,0.92407823893742014,true,0.64524083972178725,0,0,1.9762625833649862e-323,3,1,MIP
12,0.099098900000000004,0.11221177534369803,true,0.92407823893742014,true,0.64648809046440769,0,0,1.9762625833649862e-323,3,1,MIP
13,0.12750230000000001,0.14001608287558609,true,0.92407823893742014,true,0.65117478040525223,0,0,1.9762625833649862e-323,3,1,MIP
14,0.1329313,0.14544252652792614,true,0.89845632665916653,true,0.6511799935344762,0,0,2.4703282292062327e-323,3,1,MIP
15,0.13391429999999999,0.14685785867305112,true,0.89845632665916653,true,0.65252831791258259,0,0,2.4703282292062327e-323,3,1,MIP
16,0.14987629999999999,0.16345731587241424,true,0.89845632665916653,true,0.65426752736012495,0,0,2.4703282292062327e-323,3,1,MIP
17,0.1509451,0.16416158405674069,true,0.89845632665916653,true,0.65432152683472022,0,0,2.4703282292062327e-323,3,1,MIP
18,0.15165090000000001,0.16480455660181809,true,0.89845632665916653,true,0.6543797714721612,0,0,2.4703282292062327e-323,3,1,MIP
19,0.16635520000000001,0.17935966766448969,true,0.89845632665916653,true,0.65451292281787876,0,0,2.4703282292062327e-323,3,1,MIP
20,0.18732570000000001,0.19905849200734504,true,0.89845632665916653,true,0.65457934835512033,0,0,2.4703282292062327e-323,3,1,MIP
21,0.1971802,0.20896179067222048,true,0.89845632665916653,true,0.65608366596404111,1,3,2.4703282292062327e-323,3,1,MIP
22,0.19867270000000001,0.21144394059887539,true,0.89845632665916653,true,0.65935944115633849,2,4,2.4703282292062327e-323,3,1,MIP
23,0.201179,0.21599980368448068,true,0.89845632665916653,true,0.68392088210170854,4,6,2.4703282292062327e-323,3,1,MIP
24,0.20392969999999999,0.22057746361352734,true,0.89845632665916653,true,0.69191294634389955,6,8,2.4703282292062327e-323,3,1,MIP
25,0.20456179999999999,0.22162388123761417,true,0.89845632665916653,true,0.69306631649121386,7,9,2.4703282292062327e-323,3,1,MIP
26,0.20495079999999999,0.22213663971992118,true,0.89845632665916653,true,0.69401979932342728,8,10,2.4703282292062327e-323,3,1,MIP
27,0.22196949999999999,0.24404948312346961,true,0.89845632665916653,true,0.69813164574124353,45,34,2.4703282292062327e-323,3,1,MIP
28,0.2292759,0.25453287194198243,true,0.89845632665916653,true,0.70380271084490731,60,37,2.4703282292062327e-323,3,1,MIP
29,0.24254149999999999,0.26892764040735573,true,0.89845632665916653,true,0.7045491137975658,76,36,2.4703282292062327e-323,3,1,MIP
30,0.25433670000000003,0.28589607441349307,true,0.89845632665916653,true,0.7052538895852567,105,53,2.4703282292062327e-323,3,1,MIP
31,0.25900699999999999,0.29162887937101956,true,0.89845632665916653,true,0.71312325221034656,108,54,2.4703282292062327e-323,3,1,MIP
32,0.26934770000000002,0.30659406137172873,true,0.89845632665916653,true,0.71983214082996727,131,67,2.4703282292062327e-323,3,1,MIP
33,0.27159169999999999,0.30852758753595383,true,0.89845632665916653,true,0.72090262165635688,133,69,2.4703282292062327e-323,3,1,MIP
34,0.27579700000000001,0.31358165845839958,true,0.89845632665916653,true,0.72094789517241187,142,71,2.4703282292062327e-323,3,1,MIP
35,0.28197149999999999,0.3195757457079203,true,0.86297520022734753,true,0.72094789517241187,147,72,2.9643938750474793e-323,3,1,MIP
36,0.28738190000000002,0.32618033552884107,true,0.86297520022734753,true,0.72214103666638196,162,77,2.9643938750474793e-323,3,1,MIP
37,0.2901628,0.33084036454364957,true,0.86297520022734753,true,0.72438900517162252,164,78,2.9643938750474793e-323,3,1,MIP
38,0.29855870000000001,0.34328588872913463,true,0.86297520022734753,true,0.72665126482754494,178,81,2.9643938750474793e-323,3,1,MIP
39,0.31168780000000001,0.35328929843658374,true,0.85851746132560547,true,0.72665126482754494,180,82,4.4465908125712189e-323,3,1,MIP
40,0.32046279999999999,0.36387981199927183,true,0.85851746132560547,true,0.73119819355958993,193,83,4.4465908125712189e-323,3,1,MIP
41,0.32071880000000003,0.36425310074220901,true,0.85851746132560547,true,0.73146129135036408,194,84,4.4465908125712189e-323,3,1,MIP
42,0.32342670000000001,0.36756424219132627,true,0.85851746132560547,true,0.73245329936909831,202,84,4.4465908125712189e-323,3,1,MIP
43,0.32680710000000002,0.37234045822448453,true,0.85851746132560547,true,0.7339273783481296,209,81,4.4465908125712189e-323,3,1,MIP
44,0.32745429999999998,0.37288067063779362,true,0.85851746132560547,true,0.73523757369863818,210,82,4.4465908125712189e-323,3,1,MIP
45,0.33785870000000001,0.38671093283195679,true,0.85851746132560547,true,0.73588099176967514,230,88,4.4465908125712189e-323,3,1,MIP
46,0.34240559999999998,0.39256024178607296,true,0.85851746132560547,true,0.73714652858120122,244,92,4.4465908125712189e-323,3,1,MIP
47,0.3479023,0.39872683994684222,true,0.85851746132560547,true,0.73777783519856799,261,91,4.4465908125712189e-323,3,1,MIP
48,0.35011500000000001,0.4017743177294188,true,0.85851746132560547,true,0.74200105366127289,264,88,4.4465908125712189e-323,3,1,MIP
49,0.35075030000000001,0.40280245238060913,true,0.85851746132560547,true,0.74237517282212728,265,87,4.4465908125712189e-323,3,1,MIP
50,0.35139189999999998,0.40377907301775895,true,0.85851746132560547,true,0.74387592160080995,266,86,4.4465908125712189e-323,3,1,MIP
51,0.35312369999999998,0.40539019369043805,true,0.85851746132560547,true,0.74444445517451385,267,87,4.4465908125712189e-323,3,1,MIP
52,0.35402519999999998,0.40630999174076649,true,0.85851746132560547,true,0.74568157198362195,268,88,4.4465908125712189e-323,3,1,MIP
53,0.35950389999999999,0.4124255668733513,true,0.85851746132560547,true,0.74676145184779752,281,89,4.4465908125712189e-323,3,1,MIP
54,0.36372060000000001,0.41716738603117171,true,0.85851746132560547,true,0.74745260194203744,291,92,4.4465908125712189e-323,3,1,MIP
55,0.36817250000000001,0.42260556239307523,true,0.85851746132560547,true,0.74962592605388689,302,91,4.4465908125712189e-323,3,1,MIP
56,0.37181789999999998,0.42725469441001895,true,0.85851746132560547,true,0.75050445346409811,311,93,4.4465908125712189e-323,3,1,MIP
57,0.37647239999999998,0.43246986100964308,true,0.85851746132560547,true,0.75053395775976361,318,93,4.4465908125712189e-323,3,1,MIP
58,0.38181389999999998,0.44001206516863961,true,0.85851746132560547,true,0.75343321155028198,326,92,4.4465908125712189e-323,3,1,MIP
59,0.38538319999999998,0.44466149680132783,true,0.85851746132560547,true,0.756545808512746,337,89,4.4465908125712189e-323,3,1,MIP
60,0.38593290000000002,0.4454190605461737,true,0.85851746132560547,true,0.7601081727567115,338,89,4.4465908125712189e-323,3,1,MIP
61,0.38785540000000002,0.44709066866732455,true,0.85851746132560547,true,0.7604794905028206,342,87,4.4465908125712189e-323,3,1,MIP
62,0.38937630000000001,0.44888059788328394,true,0.85851746132560547,true,0.76066669175532686,345,86,4.4465908125712189e-323,3,1,MIP
63,0.39139289999999999,0.45129848643893067,true,0.85851746132560547,true,0.76105822553079094,348,85,4.4465908125712189e-323,3,1,MIP
64,0.39345809999999998,0.45361200457867173,true,0.85851746132560547,true,0.76228784510367609,351,84,4.4465908125712189e-323,3,1,MIP
65,0.39627210000000002,0.45682801669586409,true,0.85851746132560547,true,0.76354472944536933,355,85,4.4465908125712189e-323,3,1,MIP
66,0.40119630000000001,0.46350147210584874,true,0.85851746132560547,true,0.76479281569033419,365,83,4.4465908125712189e-323,3,1,MIP
67,0.40143010000000001,0.46380819856605854,true,0.85851746132560547,true,0.76522027771861667,366,82,4.4465908125712189e-323,3,1,MIP
68,0.41037259999999998,0.47549765704792912,true,0.85851746132560547,true,0.76591424542639941,386,79,4.4465908125712189e-323,3,1,MIP
69,0.41045530000000002,0.47559192504792913,true,0.85851746132560547,true,0.76685369074477039,387,78,4.4465908125712189e-323,3,1,MIP
70,0.41068529999999998,0.47585779608429263,true,0.85851746132560547,true,0.77106727355460825,388,77,4.4465908125712189e-323,3,1,MIP
71,0.4107439,0.47592782708429265,true,0.85851746132560547,true,0.77281110943918385,389,76,4.4465908125712189e-323,3,1,MIP
72,0.41080109999999997,0.47599923108429265,true,0.85851746132560547,true,0.77382377132736302,390,75,4.4465908125712189e-323,3,1,MIP
73,0.41114400000000001,0.47651163860338341,true,0.85851746132560547,true,0.77399185728338216,391,74,4.4465908125712189e-323,3,1,MIP
74,0.41121000000000002,0.47657916760338342,true,0.85851746132560547,true,0.77401199128852671,392,73,4.4465908125712189e-323,3,1,MIP
75,0.41234349999999997,0.47776684197665042,true,0.85851746132560547,true,0.77430143356227876,393,74,4.4465908125712189e-323,3,1,MIP
76,0.412966,0.4782805219415841,true,0.85851746132560547,true,0.77442925611420965,394,75,4.4465908125712189e-323,3,1,MIP
77,0.41817140000000003,0.4848224537911387,true,0.85851746132560547,true,0.77498481492869598,405,76,4.4465908125712189e-323,3,1,MIP
78,0.42210930000000002,0.49018262432017429,true,0.85851746132560547,true,0.77669173336393571,416,77,4.4465908125712189e-323,3,1,MIP
79,0.4222882,0.49042954659845733,true,0.85851746132560547,true,0.77683638289996071,417,76,4.4465908125712189e-323,3,1,MIP
80,0.42471940000000002,0.49310944413089103,true,0.85851746132560547,true,0.77805949943794017,426,74,4.4465908125712189e-323,3,1,MIP
81,0.4258016,0.49410516251473147,true,0.85851746132560547,true,0.77816011083198544,427,75,4.4465908125712189e-323,3,1,MIP
82,0.42678700000000003,0.49511889124491804,true,0.85851746132560547,true,0.7803813337645028,428,74,4.4465908125712189e-323,3,1,MIP
83,0.42845470000000002,0.49723073203741797,true,0.85851746132560547,true,0.78141982451824654,431,71,4.4465908125712189e-323,3,1,MIP
84,0.428952,0.4980426978940648,true,0.85851746132560547,true,0.78170885504357879,432,70,4.4465908125712189e-323,3,1,MIP
85,0.42933250000000001,0.49850883539867358,true,0.85851746132560547,true,0.78186936920779304,433,69,4.4465908125712189e-323,3,1,MIP
86,0.4294366,0.49862803239867359,true,0.85851746132560547,true,0.78198364566902001,434,68,4.4465908125712189e-323,3,1,MIP
87,0.4301509,0.49978649890882731,true,0.85851746132560547,true,0.78214175224760429,435,67,4.4465908125712189e-323,3,1,MIP
88,0.43151790000000001,0.50149234684183908,true,0.85851746132560547,true,0.78264176401473728,436,68,4.4465908125712189e-323,3,1,MIP
89,0.43177989999999999,0.50184716145842601,true,0.85851746132560547,true,0.78267141537604934,437,69,4.4465908125712189e-323,3,1,MIP
90,0.43505549999999998,0.5064122499932705,true,0.85851746132560547,true,0.78280182050380187,444,66,4.4465908125712189e-323,3,1,MIP
91,0.43581160000000002,0.50712173683281447,true,0.85851746132560547,true,0.78392338837637798,447,63,4.4465908125712189e-323,3,1,MIP
92,0.43734200000000001,0.50905722109282669,true,0.85851746132560547,true,0.78397436832468381,448,64,4.4465908125712189e-323,3,1,MIP
93,0.43782280000000001,0.50985373841052972,true,0.85851746132560547,true,0.78463310103574346,449,65,4.4465908125712189e-323,3,1,MIP
94,0.44295089999999998,0.51667181173461563,true,0.85851746132560547,true,0.78555809596888915,465,63,4.4465908125712189e-323,3,1,MIP
95,0.44341700000000001,0.51734497287811998,true,0.85851746132560547,true,0.78660062751742266,466,62,4.4465908125712189e-323,3,1,MIP
96,0.44349179999999999,0.51742560787811998,true,0.85851746132560547,true,0.78689846038328315,467,61,4.4465908125712189e-323,3,1,MIP
97,0.4439015,0.51799428884188881,true,0.85851746132560547,true,0.78813924016710279,468,60,4.4465908125712189e-323,3,1,MIP
98,0.44466650000000002,0.51896991077858923,true,0.85851746132560547,true,0.78866301247585702,469,61,4.4465908125712189e-323,3,1,MIP
99,0.44470019999999999,0.51900942177858922,true,0.85851746132560547,true,0.78879948214174311,470,60,4.4465908125712189e-323,3,1,MIP
100,0.44690229999999997,0.52178952753738939,true,0.85851746132560547,true,0.78915101097984919,477,57,4.4465908125712189e-323,3,1,MIP
101,0.44804919999999998,0.52398533383679147,true,0.85851746132560547,true,0.79004258530387794,478,56,4.4465908125712189e-323,3,1,MIP
102,0.44835649999999999,0.52439493231255241,true,0.85851746132560547,true,0.79020965015296951,479,55,4.4465908125712189e-323,3,1,MIP
103,0.44841609999999998,0.52445792631255239,true,0.85851746132560547,true,0.79283639402356543,480,54,4.4465908125712189e-323,3,1,MIP
104,0.44846330000000001,0.52452015431255239,true,0.85851746132560547,true,0.79533011045409974,481,53,4.4465908125712189e-323,3,1,MIP
