run_id,instance,decision_sequence,interval_id,parent_rows,parent_columns,parent_nonzeros,left_rows,left_columns,left_nonzeros,right_rows,right_columns,right_nonzeros,additional_models_built,additional_lp_queries,additional_mip_queries
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0",11916,3378,66725,11916,3378,67105,11916,3378,66969,0,0,0
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",5,"L0.1.0",11916,3378,67349,11916,3378,67349,11916,3378,67349,0,0,0
