stage,run_id,passed,result_hash_valid,runner_lifecycle_valid,structural_exactness_valid,environment_model_lifecycle_balanced,work_components_exact,nodes_reconstruct_from_ledger,target_count_valid,target_reached_count_valid,requeue_count_valid,split_count_valid,terminal_count_valid,leaf_partition_valid,timestamps_monotone,certificate_or_deadline_endpoint_valid,optimize_rows,target_rows,split_rows,work_ledger_absolute_delta,work_ledger_relative_delta,old_six_digit_work_reconstruction_exact_at_1e_7
B,r36_01_V12_M1__hh__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,10,3,1,2.55602569083635e-05,7.207546809858338e-07,False
B,r36_01_V12_M1__ss__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,17,3,4,1.3311849748731674e-05,4.1451913320628737e-07,False
B,r36_01_V12_M1__bw_p__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,17,3,4,4.709782834311227e-05,1.3600201556818643e-06,False
B,r36_01_V12_M1__bw_a__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,17,3,4,4.709782834311227e-05,1.3600201556818643e-06,False
B,r36_02_V12_M2__hh__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,17,3,4,0.00034331112058794133,1.5625402503306973e-06,False
B,r36_02_V12_M2__ss__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,14,2,3,0.00011592276774763377,6.813554615531784e-07,False
B,r36_02_V12_M2__bw_p__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,18,2,5,4.0728935772449404e-05,1.8761739210163747e-07,False
B,r36_02_V12_M2__bw_a__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,18,2,5,4.0728935772449404e-05,1.8761739210163747e-07,False
B,r36_03_high_imbalance_seed3202__hh__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,9,2,1,0.00026156718462289064,6.399267370701151e-07,False
B,r36_03_high_imbalance_seed3202__ss__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,9,2,1,0.00036422793380097573,7.54788714004163e-07,False
B,r36_03_high_imbalance_seed3202__bw_p__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,9,2,1,0.00026156718462289064,6.399267370701151e-07,False
B,r36_03_high_imbalance_seed3202__bw_a__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,9,2,1,0.00026156718462289064,6.399267370701151e-07,False
B,r36_04_round32_multi_m_tight_T_V20_M2_seed89001413__hh__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,17,2,4,0.0004556242646742703,2.0190435360369146e-06,False
B,r36_04_round32_multi_m_tight_T_V20_M2_seed89001413__ss__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,12,2,2,0.00014135474566501216,2.4856333239665337e-07,False
B,r36_04_round32_multi_m_tight_T_V20_M2_seed89001413__bw_p__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,12,2,2,2.483398520780611e-05,4.270863688575713e-08,True
B,r36_04_round32_multi_m_tight_T_V20_M2_seed89001413__bw_a__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,12,2,2,2.483398520780611e-05,4.270863688575713e-08,True
B,r36_05_tight_T_seed5103__hh__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,19,2,5,3.341360809372418e-05,4.675355078610647e-08,True
B,r36_05_tight_T_seed5103__ss__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,8,2,1,0.0002796363997958906,3.388455293782401e-07,False
B,r36_05_tight_T_seed5103__bw_p__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,11,3,2,0.0033170339752359723,2.3189501032595526e-06,False
B,r36_05_tight_T_seed5103__bw_a__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,11,3,2,0.0033170339752359723,2.3189501032595526e-06,False
B,r36_06_moderate_seed5301__hh__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,8,2,1,0.003186340441516222,8.629157472343123e-07,False
B,r36_06_moderate_seed5301__ss__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,11,2,2,0.00010468886239323183,2.7086077372061747e-08,True
B,r36_06_moderate_seed5301__bw_p__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,11,2,2,0.00492262869647675,1.3548264855612368e-06,False
B,r36_06_moderate_seed5301__bw_a__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,11,2,2,0.000992526326172083,2.7326533135414237e-07,False
B,r36_07_high_imbalance_seed5203__hh__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,26,3,8,8.483848242235581e-05,3.434686027132425e-07,False
B,r36_07_high_imbalance_seed5203__ss__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,31,4,11,8.530467979994683e-05,4.704085702397782e-07,False
B,r36_07_high_imbalance_seed5203__bw_p__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,26,3,8,8.483848242235581e-05,3.434686027132425e-07,False
B,r36_07_high_imbalance_seed5203__bw_a__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,26,3,8,8.483848242235581e-05,3.434686027132425e-07,False
B,r36_08_tight_T_seed5102__hh__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,11,1,2,0.0001871682684395637,5.290125650251943e-08,True
B,r36_08_tight_T_seed5102__ss__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,16,4,3,0.00014710454934174777,4.0366475370706605e-08,True
B,r36_08_tight_T_seed5102__bw_p__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,11,3,2,0.0018002518622779462,4.849551229822528e-07,False
B,r36_08_tight_T_seed5102__bw_a__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,11,3,2,0.0019174155850123498,5.167962054443208e-07,False
B,r36_09_round31_sealed_moderate_V50_seed1112848618__hh__3600s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,8,1,1,0.017395933869920555,1.5773563856353113e-06,False
B,r36_09_round31_sealed_moderate_V50_seed1112848618__ss__3600s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,11,3,2,0.047740401612827554,4.255288383937827e-06,False
B,r36_09_round31_sealed_moderate_V50_seed1112848618__bw_p__3600s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,11,3,2,0.031246605114574777,2.969535497907754e-06,False
B,r36_09_round31_sealed_moderate_V50_seed1112848618__bw_a__3600s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,11,3,2,0.009095782601434621,8.635404584413757e-07,False
B,r36_10_high_imbalance_seed6202__hh__3600s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,9,2,1,0.0021519885394809535,2.481258417463934e-07,False
B,r36_10_high_imbalance_seed6202__ss__3600s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,9,2,1,0.0041673187024571234,4.7268642998683303e-07,False
B,r36_10_high_imbalance_seed6202__bw_p__3600s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,9,2,1,0.0005638003131025471,6.618574794354733e-08,True
B,r36_10_high_imbalance_seed6202__bw_a__3600s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,9,2,1,0.0038564724309253506,4.508955090278059e-07,False
B,r36_11_tight_T_seed6102__hh__3600s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,12,3,2,0.0006499276423710398,6.642661106709613e-08,True
B,r36_11_tight_T_seed6102__ss__3600s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,4,1,0,0.0071548834112036275,6.859364632013669e-07,False
B,r36_11_tight_T_seed6102__bw_p__3600s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,4,1,0,0.022946539727854542,2.0888469050351443e-06,False
B,r36_11_tight_T_seed6102__bw_a__3600s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,4,1,0,0.03791085575176112,3.4573000447959404e-06,False
B,r36_12_round32_multi_m_moderate_V50_M4_seed721910669__hh__3600s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,8,1,1,0.01771635808290739,1.7080663961050751e-06,False
B,r36_12_round32_multi_m_moderate_V50_M4_seed721910669__ss__3600s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,11,3,2,0.012721346312901005,1.1426615297573635e-06,False
B,r36_12_round32_multi_m_moderate_V50_M4_seed721910669__bw_p__3600s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,11,3,2,0.0023927182774059474,2.374442264798062e-07,False
B,r36_12_round32_multi_m_moderate_V50_M4_seed721910669__bw_a__3600s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,11,3,2,0.0033587557772989385,3.3089238013631055e-07,False
B,r36_13_moderate_seed4302__hh__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,14,2,3,4.7936237933754455e-05,3.167201402065181e-08,True
B,r36_13_moderate_seed4302__ss__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,10,2,2,0.0010071545079881616,6.417202426573061e-07,False
B,r36_13_moderate_seed4302__bw_p__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,10,2,2,0.00021962576715850446,1.8041453423711265e-07,False
B,r36_13_moderate_seed4302__bw_a__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,10,2,2,0.00021962576715850446,1.8041453423711265e-07,False
B,r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459__hh__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,16,3,4,4.6199448977546353e-07,9.51973537905889e-08,True
B,r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459__ss__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,16,3,4,4.6199448977546353e-07,9.51973537905889e-08,True
B,r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459__bw_p__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,16,3,4,4.6199448977546353e-07,9.51973537905889e-08,True
B,r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459__bw_a__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,16,3,4,4.6199448977546353e-07,9.51973537905889e-08,True
C,r36c_01_V12_M1__bw_p__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,17,3,4,4.709782834311227e-05,1.3600201556818643e-06,False
C,r36c_02_V12_M2__bw_p__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,18,2,5,4.0728935772449404e-05,1.8761739210163747e-07,False
C,r36c_03_high_imbalance_seed3202__bw_p__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,9,2,1,0.00026156718462289064,6.399267370701151e-07,False
C,r36c_04_moderate_seed3302__bw_p__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,3,1,0,0.00291596960323659,8.492462092483227e-07,False
C,r36c_05_tight_T_seed3101__bw_p__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,4,0,1,0.0011677924430841813,3.215478195548555e-07,False
C,r36c_06_high_imbalance_seed4201__bw_p__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,21,3,6,0.0002535870873998647,3.318232598142628e-07,False
C,r36c_07_moderate_seed4302__bw_p__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,10,2,2,0.00021962576715850446,1.8041453423711265e-07,False
C,r36c_08_tight_T_seed4101__bw_p__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,15,3,3,6.529461211357557e-05,8.801798231697782e-08,True
C,r36c_09_high_imbalance_seed5202__bw_p__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,9,2,1,0.00030146861126922886,8.330619481048409e-08,True
C,r36c_10_high_imbalance_seed5203__bw_p__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,26,3,8,8.483848242235581e-05,3.434686027132425e-07,False
C,r36c_11_moderate_seed5301__bw_p__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,11,2,2,0.00016422098042312427,4.512028165192939e-08,True
C,r36c_12_moderate_seed5302__bw_p__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,6,1,1,0.0012973611655979767,3.565085901596488e-07,False
C,r36c_13_tight_T_seed5102__bw_p__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,11,3,2,0.003782561610933044,1.0173348967466216e-06,False
C,r36c_14_tight_T_seed5103__bw_p__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,11,3,2,0.0033170339752359723,2.3189501032595526e-06,False
C,r36c_15_high_imbalance_seed6202__bw_p__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,9,2,1,0.002554977825639071,5.868882106332957e-07,False
C,r36c_16_moderate_seed6301__bw_p__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,17,5,4,0.0013437388861348154,2.685037972917198e-07,False
C,r36c_17_tight_T_seed6102__bw_p__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,4,1,0,0.0020759436447406188,3.8868423978857643e-07,False
C,r36c_18_round31_sealed_high_imbalance_V20_seed1968399862__bw_p__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,8,1,2,0.0001496459529448657,5.783579637122706e-07,False
C,r36c_19_round31_sealed_high_imbalance_V50_seed802548647__bw_p__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,12,2,2,0.0018556626787358255,6.889044137419218e-07,False
C,r36c_20_round31_sealed_moderate_V20_seed311185674__bw_p__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,10,3,2,0.0028022308342769975,7.107809020498596e-07,False
C,r36c_21_round31_sealed_moderate_V50_seed1112848618__bw_p__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,11,3,2,0.0009553472827974474,1.8755282807883934e-07,False
C,r36c_22_round31_sealed_tight_T_V20_seed2113109204__bw_p__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,14,2,3,0.005595376480869163,1.5957177583992685e-06,False
C,r36c_23_round31_sealed_tight_T_V50_seed1973327304__bw_p__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,14,4,3,0.004805754382687155,1.0631210963298595e-06,False
C,r36c_24_round32_multi_m_high_imbalance_V20_M2_seed1052706459__bw_p__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,16,3,4,4.6199448977546353e-07,9.51973537905889e-08,True
C,r36c_25_round32_multi_m_high_imbalance_V20_M4_seed2081968251__bw_p__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,12,3,2,0.004662920257487713,1.2879569634819277e-06,False
