serial_order,stage,run_id,panel_ordinal,panel_row_id,instance_id,V,M,scenario,arm,process_cap_seconds,watchdog_seconds
1,focused_diagnostic,diagnostic_r36_08_tight_T_seed5102__c6,8,r36_08_tight_T_seed5102,tight_T_seed5102,20,3,tight_T,C6,480,570
2,focused_diagnostic,diagnostic_r36_08_tight_T_seed5102__g1,8,r36_08_tight_T_seed5102,tight_T_seed5102,20,3,tight_T,G1,480,570
3,focused_diagnostic,diagnostic_r36_09_round31_sealed_moderate_V50_seed1112848618__c6,9,r36_09_round31_sealed_moderate_V50_seed1112848618,round31_sealed_moderate_V50_seed1112848618,50,3,moderate,C6,480,570
4,focused_diagnostic,diagnostic_r36_09_round31_sealed_moderate_V50_seed1112848618__g1,9,r36_09_round31_sealed_moderate_V50_seed1112848618,round31_sealed_moderate_V50_seed1112848618,50,3,moderate,G1,480,570
5,focused_diagnostic,diagnostic_r36_10_high_imbalance_seed6202__c6,10,r36_10_high_imbalance_seed6202,high_imbalance_seed6202,50,3,high_imbalance,C6,480,570
6,focused_diagnostic,diagnostic_r36_10_high_imbalance_seed6202__g1,10,r36_10_high_imbalance_seed6202,high_imbalance_seed6202,50,3,high_imbalance,G1,480,570
