schema,round_id,run_id,serial_order,stage,panel_row_id,instance_id,instance_path,instance_sha256,V,M,scenario,arm,process_cap_seconds,watchdog_seconds,solver,solver_version,gurobi_seed,threads,K,rho,executable_sha256,matrix_sha256,source_tree_fingerprint,command,license_environment,algorithmic_solve_state_resumed,completed,runner_wall_seconds,return_code,emergency_timeout,result_json_parse_verified_after_process_exit,missing_required_artifacts,status,valid_lower_bound,verified_upper_bound,final_gap,strict_certified_original_problem,strict_certificate_class,strict_certificate_rejection_reason,reported_geometry_policy,arm_contract_matches,root_coverage_valid,parent_child_coverage_valid,lifecycle_complete,all_relevant_leaves_closed,false_certificate,pilot_all_initial_lps_complete,pilot_initial_lp_count,pilot_weakest_leaf_id,pilot_prefinement_performed,pilot_prefinement_count,artifact_count,artifact_manifest_sha256,result_sha256,completion_marker_atomic,completed_at_unix_seconds
round37-smoke-run-v1,37,smoke_r36_01_V12_M1__c6,1,exploratory_smoke,r36_01_V12_M1,V12_M1,reference/regen_candidate_V12_M1_average.txt,e395cfef336d3407a65f04d7e201aa29ac844a08aff25d1991ce6983e5e9508d,12,1,v12,C6,180,270,Gurobi,13.0.2,0,1,4,0.01,90689ced5d588175d32b5c430c16467d54ce7ebf4ab5c9077e5ef06b362d1927,7c683d74e8857b59767c0c5c4871b03b3188b69d6a40177eeedcc5f21a99df1a,3943679787d7c74fc5f83d0d07ca04badbb2103f14c6985fead4a00a038bf5de,"['E:\\codes\\ExactEBRP\\build_round37\\official\\gurobi\\ExactEBRP.exe', '--input', 'E:\\codes\\ExactEBRP\\reference\\regen_candidate_V12_M1_average.txt', '--method', 'gcap-frontier', '--algorithm-preset', 'paper-gf-tailored-bc', '--lambda', '0.15', '--T', '3600.0', '--time-limit', '180', '--process-wall-time-limit', '180', '--threads', '1', '--mip-threads', '1', '--cplex-threads', '1', '--compact-bc-threads', '1', '--primal-heuristic', 'hga-tgbc', '--primal-heuristic-seed', '20260626', '--primal-heuristic-stop', 'generation-stagnation', '--primal-heuristic-no-improve-generations', '2000', '--primal-heuristic-generation-log', 'E:\\codes\\ExactEBRP\\results\\gf_gini_geometry_mechanism_round37\\smoke_runs\\smoke_r36_01_V12_M1__c6\\hga_generations.csv', '--frontier-intervals', '4', '--frontier-adaptive-split', 'true', '--frontier-adaptive-max-depth', '8', '--frontier-adaptive-min-width', '0.0001', '--frontier-adaptive-split-factor', '2', '--tailored-bc-enabled', 'true', '--tailored-bc-mode', 'static', '--tailored-bc-callback-cut-profile', 'off', '--compact-bc-root-cut-rounds', '0', '--compact-bc-dynamic-cut-families', 'none', '--compact-bc-cut-profile', 'balanced', '--compact-bc-low-gini-strengthening', 'safe', '--compact-bc-denominator-bound-mode', 'tight', '--compact-bc-objective-estimator-mode', 'adaptive', '--compact-bc-domain-propagation-mode', 'iterative', '--compact-bc-domain-propagation-rounds', '2', '--compact-bc-variable-s-centering', 'true', '--compact-bc-sp-product-estimator', 'paper-safe', '--compact-bc-sp-product-bounds', 'tight', '--compact-bc-s-range-refinement', 'off', '--tailored-bc-branching-priority', 'off', '--tailored-bc-gini-branching', 'off', '--tailored-bc-gini-subset-envelope', 'false', '--tailored-bc-low-gini-l1-centering', 'false', '--tailored-bc-local-centering', 'false', '--tailored-bc-subset-cross-h-centering', 'false', '--tailored-bc-local-q-centering', 'false', '--tailored-bc-subset-inventory-imbalance', 'false', '--tailored-bc-transfer-cutset', 'false', '--tailored-bc-gs-product-coupling', 'false', '--tailored-bc-disaggregated-sp-estimator', 'false', '--tailored-bc-bucket-ratio-domain-tightening', 'false', '--tailored-bc-bucket-subset-ratio-domain', 'false', '--tailored-bc-bucket-integer-inventory-domain', 'false', '--tailored-bc-bucket-required-movement', 'false', '--tailored-bc-bucket-required-visit', 'false', '--tailored-bc-s-bucket-ledger', 'off', '--global-gini-tree-presolve', 'off', '--global-gini-tree-search', 'traditional', '--global-gini-tree-child-estimate', 'parent-copy', '--global-gini-tree-row-attachment', 'full-inherited-pack', '--global-gini-tree-row-timing', 'deferred', '--global-gini-tree-native-mip-start', 'false', '--global-gini-tree-root-connectivity-flow', 'true', '--global-gini-tree-root-connectivity-flow-variant', 'round20-current', '--progress-log', 'E:\\codes\\ExactEBRP\\results\\gf_gini_geometry_mechanism_round37\\smoke_runs\\smoke_r36_01_V12_M1__c6\\progress.csv', '--progress-interval-seconds', '5', '--exact-phase-local-redecode-repair', 'false', '--process-shutdown-margin', '15', '--process-phase-ledger', 'E:\\codes\\ExactEBRP\\results\\gf_gini_geometry_mechanism_round37\\smoke_runs\\smoke_r36_01_V12_M1__c6\\process_phases.csv', '--round34-c6-startup-variant', 'hga-full', '--round36-c6-causal-arm', 'off', '--round36-c6-split-normalization', 'proof', '--round37-c6-geometry-policy', 'off', '--heuristic-candidates-csv', 'E:\\codes\\ExactEBRP\\results\\gf_gini_geometry_mechanism_round37\\smoke_runs\\smoke_r36_01_V12_M1__c6\\heuristic_candidates.csv', '--frontier-execution-mode', 'external-gini-tree', '--external-gini-scheduling', 'round31-nonblocking-native-bound', '--external-gini-artifact-dir', 'E:\\codes\\ExactEBRP\\results\\gf_gini_geometry_mechanism_round37\\smoke_runs\\smoke_r36_01_V12_M1__c6\\external', '--external-gini-backend', 'gurobi', '--external-gini-lifecycle', 'round31-open-native-bounded', '--external-gini-warm-start', 'false', '--gurobi-home', 'D:/gurobi1302/win64', '--gurobi-seed', '0', '--gurobi-presolve', '-1', '--round24-executable-sha256', '90689ced5d588175d32b5c430c16467d54ce7ebf4ab5c9077e5ef06b362d1927', '--round24-manifest-executable-sha256', '90689ced5d588175d32b5c430c16467d54ce7ebf4ab5c9077e5ef06b362d1927', '--round24-expected-gurobi-model-fingerprint', '1133953353', '--log', 'E:\\codes\\ExactEBRP\\results\\gf_gini_geometry_mechanism_round37\\smoke_runs\\smoke_r36_01_V12_M1__c6\\native.log', '--out', 'E:\\codes\\ExactEBRP\\results\\gf_gini_geometry_mechanism_round37\\smoke_runs\\smoke_r36_01_V12_M1__c6\\result.json']",child_only_not_serialized,False,True,29.828000000678003,0,False,True,[],optimal,0.3572005832084145,0.3572005832084155,2.797309884512809e-15,True,engineering_exact_original_problem_optimal,none,off,True,True,True,True,True,False,False,0,,False,0,34,2e1dfc47a3e4112e7f4833b7e42a7162f7a0d32e0b414ff4161d51dce2b51ae8,eb910085a1b1b1ac1696d7e9406a650cf2e7a1eb58159dcf7c0d438d120bba33,True,1786552281.9581687
round37-smoke-run-v1,37,smoke_r36_01_V12_M1__g1,2,exploratory_smoke,r36_01_V12_M1,V12_M1,reference/regen_candidate_V12_M1_average.txt,e395cfef336d3407a65f04d7e201aa29ac844a08aff25d1991ce6983e5e9508d,12,1,v12,G1,180,270,Gurobi,13.0.2,0,1,4,0.01,90689ced5d588175d32b5c430c16467d54ce7ebf4ab5c9077e5ef06b362d1927,7c683d74e8857b59767c0c5c4871b03b3188b69d6a40177eeedcc5f21a99df1a,3943679787d7c74fc5f83d0d07ca04badbb2103f14c6985fead4a00a038bf5de,"['E:\\codes\\ExactEBRP\\build_round37\\official\\gurobi\\ExactEBRP.exe', '--input', 'E:\\codes\\ExactEBRP\\reference\\regen_candidate_V12_M1_average.txt', '--method', 'gcap-frontier', '--algorithm-preset', 'paper-gf-tailored-bc', '--lambda', '0.15', '--T', '3600.0', '--time-limit', '180', '--process-wall-time-limit', '180', '--threads', '1', '--mip-threads', '1', '--cplex-threads', '1', '--compact-bc-threads', '1', '--primal-heuristic', 'hga-tgbc', '--primal-heuristic-seed', '20260626', '--primal-heuristic-stop', 'generation-stagnation', '--primal-heuristic-no-improve-generations', '2000', '--primal-heuristic-generation-log', 'E:\\codes\\ExactEBRP\\results\\gf_gini_geometry_mechanism_round37\\smoke_runs\\smoke_r36_01_V12_M1__g1\\hga_generations.csv', '--frontier-intervals', '4', '--frontier-adaptive-split', 'true', '--frontier-adaptive-max-depth', '8', '--frontier-adaptive-min-width', '0.0001', '--frontier-adaptive-split-factor', '2', '--tailored-bc-enabled', 'true', '--tailored-bc-mode', 'static', '--tailored-bc-callback-cut-profile', 'off', '--compact-bc-root-cut-rounds', '0', '--compact-bc-dynamic-cut-families', 'none', '--compact-bc-cut-profile', 'balanced', '--compact-bc-low-gini-strengthening', 'safe', '--compact-bc-denominator-bound-mode', 'tight', '--compact-bc-objective-estimator-mode', 'adaptive', '--compact-bc-domain-propagation-mode', 'iterative', '--compact-bc-domain-propagation-rounds', '2', '--compact-bc-variable-s-centering', 'true', '--compact-bc-sp-product-estimator', 'paper-safe', '--compact-bc-sp-product-bounds', 'tight', '--compact-bc-s-range-refinement', 'off', '--tailored-bc-branching-priority', 'off', '--tailored-bc-gini-branching', 'off', '--tailored-bc-gini-subset-envelope', 'false', '--tailored-bc-low-gini-l1-centering', 'false', '--tailored-bc-local-centering', 'false', '--tailored-bc-subset-cross-h-centering', 'false', '--tailored-bc-local-q-centering', 'false', '--tailored-bc-subset-inventory-imbalance', 'false', '--tailored-bc-transfer-cutset', 'false', '--tailored-bc-gs-product-coupling', 'false', '--tailored-bc-disaggregated-sp-estimator', 'false', '--tailored-bc-bucket-ratio-domain-tightening', 'false', '--tailored-bc-bucket-subset-ratio-domain', 'false', '--tailored-bc-bucket-integer-inventory-domain', 'false', '--tailored-bc-bucket-required-movement', 'false', '--tailored-bc-bucket-required-visit', 'false', '--tailored-bc-s-bucket-ledger', 'off', '--global-gini-tree-presolve', 'off', '--global-gini-tree-search', 'traditional', '--global-gini-tree-child-estimate', 'parent-copy', '--global-gini-tree-row-attachment', 'full-inherited-pack', '--global-gini-tree-row-timing', 'deferred', '--global-gini-tree-native-mip-start', 'false', '--global-gini-tree-root-connectivity-flow', 'true', '--global-gini-tree-root-connectivity-flow-variant', 'round20-current', '--progress-log', 'E:\\codes\\ExactEBRP\\results\\gf_gini_geometry_mechanism_round37\\smoke_runs\\smoke_r36_01_V12_M1__g1\\progress.csv', '--progress-interval-seconds', '5', '--exact-phase-local-redecode-repair', 'false', '--process-shutdown-margin', '15', '--process-phase-ledger', 'E:\\codes\\ExactEBRP\\results\\gf_gini_geometry_mechanism_round37\\smoke_runs\\smoke_r36_01_V12_M1__g1\\process_phases.csv', '--round34-c6-startup-variant', 'hga-full', '--round36-c6-causal-arm', 'off', '--round36-c6-split-normalization', 'proof', '--round37-c6-geometry-policy', 'pilot-weakest-prefine', '--heuristic-candidates-csv', 'E:\\codes\\ExactEBRP\\results\\gf_gini_geometry_mechanism_round37\\smoke_runs\\smoke_r36_01_V12_M1__g1\\heuristic_candidates.csv', '--frontier-execution-mode', 'external-gini-tree', '--external-gini-scheduling', 'round31-nonblocking-native-bound', '--external-gini-artifact-dir', 'E:\\codes\\ExactEBRP\\results\\gf_gini_geometry_mechanism_round37\\smoke_runs\\smoke_r36_01_V12_M1__g1\\external', '--external-gini-backend', 'gurobi', '--external-gini-lifecycle', 'round31-open-native-bounded', '--external-gini-warm-start', 'false', '--gurobi-home', 'D:/gurobi1302/win64', '--gurobi-seed', '0', '--gurobi-presolve', '-1', '--round24-executable-sha256', '90689ced5d588175d32b5c430c16467d54ce7ebf4ab5c9077e5ef06b362d1927', '--round24-manifest-executable-sha256', '90689ced5d588175d32b5c430c16467d54ce7ebf4ab5c9077e5ef06b362d1927', '--round24-expected-gurobi-model-fingerprint', '1133953353', '--log', 'E:\\codes\\ExactEBRP\\results\\gf_gini_geometry_mechanism_round37\\smoke_runs\\smoke_r36_01_V12_M1__g1\\native.log', '--out', 'E:\\codes\\ExactEBRP\\results\\gf_gini_geometry_mechanism_round37\\smoke_runs\\smoke_r36_01_V12_M1__g1\\result.json']",child_only_not_serialized,False,True,30.125,0,False,True,[],optimal,0.3572005832084145,0.3572005832084155,2.797309884512809e-15,True,engineering_exact_original_problem_optimal,none,pilot-weakest-prefine,True,True,True,True,True,False,True,4,L1,True,1,38,41fd59406c679fa58802aff5e42124b446cc6d1509ee88576bcb127b0a95fac7,c20a4f7c2c6526b99c8f470882ab4685533df1f321e4af5575bafe77556f357e,True,1786552312.191537
round37-smoke-run-v1,37,smoke_r36_02_V12_M2__c6,3,exploratory_smoke,r36_02_V12_M2,V12_M2,reference/regen_candidate_V12_M2_average.txt,0bb0416cc9540fffbb91299d5c9ed3d6c2363906424005b1c40b4e3829ddf4f0,12,2,v12,C6,180,270,Gurobi,13.0.2,0,1,4,0.01,90689ced5d588175d32b5c430c16467d54ce7ebf4ab5c9077e5ef06b362d1927,7c683d74e8857b59767c0c5c4871b03b3188b69d6a40177eeedcc5f21a99df1a,3943679787d7c74fc5f83d0d07ca04badbb2103f14c6985fead4a00a038bf5de,"['E:\\codes\\ExactEBRP\\build_round37\\official\\gurobi\\ExactEBRP.exe', '--input', 'E:\\codes\\ExactEBRP\\reference\\regen_candidate_V12_M2_average.txt', '--method', 'gcap-frontier', '--algorithm-preset', 'paper-gf-tailored-bc', '--lambda', '0.15', '--T', '3600.0', '--time-limit', '180', '--process-wall-time-limit', '180', '--threads', '1', '--mip-threads', '1', '--cplex-threads', '1', '--compact-bc-threads', '1', '--primal-heuristic', 'hga-tgbc', '--primal-heuristic-seed', '20260626', '--primal-heuristic-stop', 'generation-stagnation', '--primal-heuristic-no-improve-generations', '2000', '--primal-heuristic-generation-log', 'E:\\codes\\ExactEBRP\\results\\gf_gini_geometry_mechanism_round37\\smoke_runs\\smoke_r36_02_V12_M2__c6\\hga_generations.csv', '--frontier-intervals', '4', '--frontier-adaptive-split', 'true', '--frontier-adaptive-max-depth', '8', '--frontier-adaptive-min-width', '0.0001', '--frontier-adaptive-split-factor', '2', '--tailored-bc-enabled', 'true', '--tailored-bc-mode', 'static', '--tailored-bc-callback-cut-profile', 'off', '--compact-bc-root-cut-rounds', '0', '--compact-bc-dynamic-cut-families', 'none', '--compact-bc-cut-profile', 'balanced', '--compact-bc-low-gini-strengthening', 'safe', '--compact-bc-denominator-bound-mode', 'tight', '--compact-bc-objective-estimator-mode', 'adaptive', '--compact-bc-domain-propagation-mode', 'iterative', '--compact-bc-domain-propagation-rounds', '2', '--compact-bc-variable-s-centering', 'true', '--compact-bc-sp-product-estimator', 'paper-safe', '--compact-bc-sp-product-bounds', 'tight', '--compact-bc-s-range-refinement', 'off', '--tailored-bc-branching-priority', 'off', '--tailored-bc-gini-branching', 'off', '--tailored-bc-gini-subset-envelope', 'false', '--tailored-bc-low-gini-l1-centering', 'false', '--tailored-bc-local-centering', 'false', '--tailored-bc-subset-cross-h-centering', 'false', '--tailored-bc-local-q-centering', 'false', '--tailored-bc-subset-inventory-imbalance', 'false', '--tailored-bc-transfer-cutset', 'false', '--tailored-bc-gs-product-coupling', 'false', '--tailored-bc-disaggregated-sp-estimator', 'false', '--tailored-bc-bucket-ratio-domain-tightening', 'false', '--tailored-bc-bucket-subset-ratio-domain', 'false', '--tailored-bc-bucket-integer-inventory-domain', 'false', '--tailored-bc-bucket-required-movement', 'false', '--tailored-bc-bucket-required-visit', 'false', '--tailored-bc-s-bucket-ledger', 'off', '--global-gini-tree-presolve', 'off', '--global-gini-tree-search', 'traditional', '--global-gini-tree-child-estimate', 'parent-copy', '--global-gini-tree-row-attachment', 'full-inherited-pack', '--global-gini-tree-row-timing', 'deferred', '--global-gini-tree-native-mip-start', 'false', '--global-gini-tree-root-connectivity-flow', 'true', '--global-gini-tree-root-connectivity-flow-variant', 'round20-current', '--progress-log', 'E:\\codes\\ExactEBRP\\results\\gf_gini_geometry_mechanism_round37\\smoke_runs\\smoke_r36_02_V12_M2__c6\\progress.csv', '--progress-interval-seconds', '5', '--exact-phase-local-redecode-repair', 'false', '--process-shutdown-margin', '15', '--process-phase-ledger', 'E:\\codes\\ExactEBRP\\results\\gf_gini_geometry_mechanism_round37\\smoke_runs\\smoke_r36_02_V12_M2__c6\\process_phases.csv', '--round34-c6-startup-variant', 'hga-full', '--round36-c6-causal-arm', 'off', '--round36-c6-split-normalization', 'proof', '--round37-c6-geometry-policy', 'off', '--heuristic-candidates-csv', 'E:\\codes\\ExactEBRP\\results\\gf_gini_geometry_mechanism_round37\\smoke_runs\\smoke_r36_02_V12_M2__c6\\heuristic_candidates.csv', '--frontier-execution-mode', 'external-gini-tree', '--external-gini-scheduling', 'round31-nonblocking-native-bound', '--external-gini-artifact-dir', 'E:\\codes\\ExactEBRP\\results\\gf_gini_geometry_mechanism_round37\\smoke_runs\\smoke_r36_02_V12_M2__c6\\external', '--external-gini-backend', 'gurobi', '--external-gini-lifecycle', 'round31-open-native-bounded', '--external-gini-warm-start', 'false', '--gurobi-home', 'D:/gurobi1302/win64', '--gurobi-seed', '0', '--gurobi-presolve', '-1', '--round24-executable-sha256', '90689ced5d588175d32b5c430c16467d54ce7ebf4ab5c9077e5ef06b362d1927', '--round24-manifest-executable-sha256', '90689ced5d588175d32b5c430c16467d54ce7ebf4ab5c9077e5ef06b362d1927', '--round24-expected-gurobi-model-fingerprint', '586310970', '--log', 'E:\\codes\\ExactEBRP\\results\\gf_gini_geometry_mechanism_round37\\smoke_runs\\smoke_r36_02_V12_M2__c6\\native.log', '--out', 'E:\\codes\\ExactEBRP\\results\\gf_gini_geometry_mechanism_round37\\smoke_runs\\smoke_r36_02_V12_M2__c6\\result.json']",child_only_not_serialized,False,True,124.375,0,False,True,[],optimal,0.7185040707549673,0.7185040707549709,5.099116526108658e-15,True,engineering_exact_original_problem_optimal,none,off,True,True,True,True,True,False,False,0,,False,0,47,484d89f75b7d6be73f301fbdcef716c68b6bbc612c5cb1b6180f64adbccf49ee,27be22a20984685fe4b848c153943c9f5857057b9909e966bb19d62bea556b74,True,1786552436.7145455
round37-smoke-run-v1,37,smoke_r36_02_V12_M2__g1,4,exploratory_smoke,r36_02_V12_M2,V12_M2,reference/regen_candidate_V12_M2_average.txt,0bb0416cc9540fffbb91299d5c9ed3d6c2363906424005b1c40b4e3829ddf4f0,12,2,v12,G1,180,270,Gurobi,13.0.2,0,1,4,0.01,90689ced5d588175d32b5c430c16467d54ce7ebf4ab5c9077e5ef06b362d1927,7c683d74e8857b59767c0c5c4871b03b3188b69d6a40177eeedcc5f21a99df1a,3943679787d7c74fc5f83d0d07ca04badbb2103f14c6985fead4a00a038bf5de,"['E:\\codes\\ExactEBRP\\build_round37\\official\\gurobi\\ExactEBRP.exe', '--input', 'E:\\codes\\ExactEBRP\\reference\\regen_candidate_V12_M2_average.txt', '--method', 'gcap-frontier', '--algorithm-preset', 'paper-gf-tailored-bc', '--lambda', '0.15', '--T', '3600.0', '--time-limit', '180', '--process-wall-time-limit', '180', '--threads', '1', '--mip-threads', '1', '--cplex-threads', '1', '--compact-bc-threads', '1', '--primal-heuristic', 'hga-tgbc', '--primal-heuristic-seed', '20260626', '--primal-heuristic-stop', 'generation-stagnation', '--primal-heuristic-no-improve-generations', '2000', '--primal-heuristic-generation-log', 'E:\\codes\\ExactEBRP\\results\\gf_gini_geometry_mechanism_round37\\smoke_runs\\smoke_r36_02_V12_M2__g1\\hga_generations.csv', '--frontier-intervals', '4', '--frontier-adaptive-split', 'true', '--frontier-adaptive-max-depth', '8', '--frontier-adaptive-min-width', '0.0001', '--frontier-adaptive-split-factor', '2', '--tailored-bc-enabled', 'true', '--tailored-bc-mode', 'static', '--tailored-bc-callback-cut-profile', 'off', '--compact-bc-root-cut-rounds', '0', '--compact-bc-dynamic-cut-families', 'none', '--compact-bc-cut-profile', 'balanced', '--compact-bc-low-gini-strengthening', 'safe', '--compact-bc-denominator-bound-mode', 'tight', '--compact-bc-objective-estimator-mode', 'adaptive', '--compact-bc-domain-propagation-mode', 'iterative', '--compact-bc-domain-propagation-rounds', '2', '--compact-bc-variable-s-centering', 'true', '--compact-bc-sp-product-estimator', 'paper-safe', '--compact-bc-sp-product-bounds', 'tight', '--compact-bc-s-range-refinement', 'off', '--tailored-bc-branching-priority', 'off', '--tailored-bc-gini-branching', 'off', '--tailored-bc-gini-subset-envelope', 'false', '--tailored-bc-low-gini-l1-centering', 'false', '--tailored-bc-local-centering', 'false', '--tailored-bc-subset-cross-h-centering', 'false', '--tailored-bc-local-q-centering', 'false', '--tailored-bc-subset-inventory-imbalance', 'false', '--tailored-bc-transfer-cutset', 'false', '--tailored-bc-gs-product-coupling', 'false', '--tailored-bc-disaggregated-sp-estimator', 'false', '--tailored-bc-bucket-ratio-domain-tightening', 'false', '--tailored-bc-bucket-subset-ratio-domain', 'false', '--tailored-bc-bucket-integer-inventory-domain', 'false', '--tailored-bc-bucket-required-movement', 'false', '--tailored-bc-bucket-required-visit', 'false', '--tailored-bc-s-bucket-ledger', 'off', '--global-gini-tree-presolve', 'off', '--global-gini-tree-search', 'traditional', '--global-gini-tree-child-estimate', 'parent-copy', '--global-gini-tree-row-attachment', 'full-inherited-pack', '--global-gini-tree-row-timing', 'deferred', '--global-gini-tree-native-mip-start', 'false', '--global-gini-tree-root-connectivity-flow', 'true', '--global-gini-tree-root-connectivity-flow-variant', 'round20-current', '--progress-log', 'E:\\codes\\ExactEBRP\\results\\gf_gini_geometry_mechanism_round37\\smoke_runs\\smoke_r36_02_V12_M2__g1\\progress.csv', '--progress-interval-seconds', '5', '--exact-phase-local-redecode-repair', 'false', '--process-shutdown-margin', '15', '--process-phase-ledger', 'E:\\codes\\ExactEBRP\\results\\gf_gini_geometry_mechanism_round37\\smoke_runs\\smoke_r36_02_V12_M2__g1\\process_phases.csv', '--round34-c6-startup-variant', 'hga-full', '--round36-c6-causal-arm', 'off', '--round36-c6-split-normalization', 'proof', '--round37-c6-geometry-policy', 'pilot-weakest-prefine', '--heuristic-candidates-csv', 'E:\\codes\\ExactEBRP\\results\\gf_gini_geometry_mechanism_round37\\smoke_runs\\smoke_r36_02_V12_M2__g1\\heuristic_candidates.csv', '--frontier-execution-mode', 'external-gini-tree', '--external-gini-scheduling', 'round31-nonblocking-native-bound', '--external-gini-artifact-dir', 'E:\\codes\\ExactEBRP\\results\\gf_gini_geometry_mechanism_round37\\smoke_runs\\smoke_r36_02_V12_M2__g1\\external', '--external-gini-backend', 'gurobi', '--external-gini-lifecycle', 'round31-open-native-bounded', '--external-gini-warm-start', 'false', '--gurobi-home', 'D:/gurobi1302/win64', '--gurobi-seed', '0', '--gurobi-presolve', '-1', '--round24-executable-sha256', '90689ced5d588175d32b5c430c16467d54ce7ebf4ab5c9077e5ef06b362d1927', '--round24-manifest-executable-sha256', '90689ced5d588175d32b5c430c16467d54ce7ebf4ab5c9077e5ef06b362d1927', '--round24-expected-gurobi-model-fingerprint', '586310970', '--log', 'E:\\codes\\ExactEBRP\\results\\gf_gini_geometry_mechanism_round37\\smoke_runs\\smoke_r36_02_V12_M2__g1\\native.log', '--out', 'E:\\codes\\ExactEBRP\\results\\gf_gini_geometry_mechanism_round37\\smoke_runs\\smoke_r36_02_V12_M2__g1\\result.json']",child_only_not_serialized,False,True,124.73400000017136,0,False,True,[],optimal,0.7185040707549673,0.7185040707549709,5.099116526108658e-15,True,engineering_exact_original_problem_optimal,none,pilot-weakest-prefine,True,True,True,True,True,False,True,4,L2,True,1,47,b0f7bbd0bcf392a1ce47cd631528064b879ad89ce8d00d7b91f6ee08c179707e,5d16fcb2d21d67504afd5f4b84a967eb038fde03a5b2eb370756bde90e1c1711,True,1786552561.5898566
