stage,relative_path,frozen_sha256,current_sha256,current_hash_matches,postfreeze_update_class,executable_or_runner_source
smoke,include/GiniFrontierGeometry.hpp,e5940ad3d5664e14c61223583094a442d5585c9db9afcb6e8725d17341b8bbcd,e5940ad3d5664e14c61223583094a442d5585c9db9afcb6e8725d17341b8bbcd,True,none,True
smoke,include/Instance.hpp,d0db3f11b12a6b9c12b2347f340963f2da2c3f892e68b321d1015573d7e223a3,d0db3f11b12a6b9c12b2347f340963f2da2c3f892e68b321d1015573d7e223a3,True,none,True
smoke,include/Result.hpp,ad1a0af840627eb89389519d4bf9f3b32c183199a589bc9e2aa1b82f6af439f3,ad1a0af840627eb89389519d4bf9f3b32c183199a589bc9e2aa1b82f6af439f3,True,none,True
smoke,results/gf_gini_geometry_mechanism_round37/hypothesis_register.json,a9d4023db739a7bce2e701467cb94a0b40a73ef8ed7c70e3edd5cfa97f5308c8,e03b3502355dd1746cf8aa484fea8f4a3fb6ed00fa963f5d69d4b4d140d0826d,False,final_hypothesis_status_update,False
smoke,results/gf_gini_geometry_mechanism_round37/research_protocol.md,19952553350f89357383d4738d5528d2f2c1c7fe99e5d9b27eabd45fa4f9a77c,d40625890c4727f0f7e10229dddc3016101331f4435d011663cc208f72fb14c5,False,rendering_only_character_repair,False
smoke,scripts/round37_experiment_common.py,0653250b3e7c1918e59d45b2a9caf59924117ca5af3bb02c6f632040af5b7aa3,0653250b3e7c1918e59d45b2a9caf59924117ca5af3bb02c6f632040af5b7aa3,True,none,True
smoke,scripts/run_round37_smoke.py,1d79154e0f2b80aabd0a9dae3b7fea0a9131b27ab8597a42742f4d2d0bd62daf,1d79154e0f2b80aabd0a9dae3b7fea0a9131b27ab8597a42742f4d2d0bd62daf,True,none,True
smoke,src/GiniFrontierGeometry.cpp,fdf8ed5c9254036bd11bbfcb913fc7eb02a51f577b370faead02d3bce04c2ef3,fdf8ed5c9254036bd11bbfcb913fc7eb02a51f577b370faead02d3bce04c2ef3,True,none,True
smoke,src/PaperExternalGiniTree.cpp,06b1562d689169706eb1b6bae4ac02acade2dfed770b54f3a9bca7f03a438bc8,06b1562d689169706eb1b6bae4ac02acade2dfed770b54f3a9bca7f03a438bc8,True,none,True
smoke,src/Result.cpp,9577d4460334929dce1a13fc362c5dde0d3c6df4a1c381b87d3533712fe544c0,9577d4460334929dce1a13fc362c5dde0d3c6df4a1c381b87d3533712fe544c0,True,none,True
smoke,src/main.cpp,d4a715cc8823cd2366484efc4d4fae375beeda581a1764b806fae53020fcf6b7,d4a715cc8823cd2366484efc4d4fae375beeda581a1764b806fae53020fcf6b7,True,none,True
diagnostic,include/GiniFrontierGeometry.hpp,e5940ad3d5664e14c61223583094a442d5585c9db9afcb6e8725d17341b8bbcd,e5940ad3d5664e14c61223583094a442d5585c9db9afcb6e8725d17341b8bbcd,True,none,True
diagnostic,include/Instance.hpp,d0db3f11b12a6b9c12b2347f340963f2da2c3f892e68b321d1015573d7e223a3,d0db3f11b12a6b9c12b2347f340963f2da2c3f892e68b321d1015573d7e223a3,True,none,True
diagnostic,include/Result.hpp,ad1a0af840627eb89389519d4bf9f3b32c183199a589bc9e2aa1b82f6af439f3,ad1a0af840627eb89389519d4bf9f3b32c183199a589bc9e2aa1b82f6af439f3,True,none,True
diagnostic,results/gf_gini_geometry_mechanism_round37/diagnostic_selection_predeclaration.md,d6d2c00a980c1349ef2a06570cbb0cddd62efab85ca657afd30617cda914593e,d6d2c00a980c1349ef2a06570cbb0cddd62efab85ca657afd30617cda914593e,True,none,True
diagnostic,results/gf_gini_geometry_mechanism_round37/hypothesis_register.json,a9d4023db739a7bce2e701467cb94a0b40a73ef8ed7c70e3edd5cfa97f5308c8,e03b3502355dd1746cf8aa484fea8f4a3fb6ed00fa963f5d69d4b4d140d0826d,False,final_hypothesis_status_update,False
diagnostic,results/gf_gini_geometry_mechanism_round37/research_protocol.md,19952553350f89357383d4738d5528d2f2c1c7fe99e5d9b27eabd45fa4f9a77c,d40625890c4727f0f7e10229dddc3016101331f4435d011663cc208f72fb14c5,False,rendering_only_character_repair,False
diagnostic,results/gf_gini_geometry_mechanism_round37/smoke_analysis.json,9f185688db4d3b34f1db49d85b2c306c1df06be82057da3dc0194ca0e99c673d,9f185688db4d3b34f1db49d85b2c306c1df06be82057da3dc0194ca0e99c673d,True,none,True
