stage,run_id,panel_row_id,arm,process_cap_seconds,artifact_count,optimize_count,ledger_work,result_work,ledger_nodes,result_nodes,strict_certificate,false_certificate,completion_marker_valid,result_hash_valid,artifact_manifest_valid,no_emergency_timeout,return_code_zero,policy_identity_valid,root_coverage_valid,parent_child_coverage_valid,all_leaf_bounds_valid,leaf_bounds_monotone,global_bound_monotone,lifecycle_complete,feasibility_consistency_gate,environment_free_balance,model_free_balance,optimize_counter_identity,optimize_ledger_row_identity,work_roundtrip_identity,node_roundtrip_identity,four_initial_cells,verified_bounds_ordered,certificate_endpoint_valid,passed
smoke,smoke_r36_01_V12_M1__c6,r36_01_V12_M1,C6,180,34,10,35.463185439743086,35.46318543974309,5867.0,5867.0,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
smoke,smoke_r36_01_V12_M1__g1,r36_01_V12_M1,G1,180,38,12,35.774379301885894,35.7743793018859,5867.0,5867.0,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
smoke,smoke_r36_02_V12_M2__c6,r36_02_V12_M2,C6,180,47,17,219.71345731112058,219.71345731112058,2107.0,2107.0,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
smoke,smoke_r36_02_V12_M2__g1,r36_02_V12_M2,G1,180,47,17,219.71345731112058,219.71345731112058,2107.0,2107.0,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
smoke,smoke_r36_04_round32_multi_m_tight_T_V20_M2_seed89001413__c6,r36_04_round32_multi_m_tight_T_V20_M2_seed89001413,C6,180,47,17,225.66341762426467,225.66341762426467,8861.0,8861.0,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
smoke,smoke_r36_04_round32_multi_m_tight_T_V20_M2_seed89001413__g1,r36_04_round32_multi_m_tight_T_V20_M2_seed89001413,G1,180,52,20,226.25550894765115,226.25550894765118,8862.0,8862.0,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
smoke,smoke_r36_08_tight_T_seed5102__c6,r36_08_tight_T_seed5102,C6,180,32,8,263.69236251835093,263.69236251835093,804.0,804.0,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
smoke,smoke_r36_08_tight_T_seed5102__g1,r36_08_tight_T_seed5102,G1,180,43,15,244.1163666248246,244.1163666248246,665.0,665.0,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
smoke,smoke_r36_09_round31_sealed_moderate_V50_seed1112848618__c6,r36_09_round31_sealed_moderate_V50_seed1112848618,C6,180,22,2,33.355344316103036,33.355344316103036,0.0,0.0,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
smoke,smoke_r36_09_round31_sealed_moderate_V50_seed1112848618__g1,r36_09_round31_sealed_moderate_V50_seed1112848618,G1,180,21,1,31.958452673500283,31.958452673500283,0.0,0.0,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
smoke,smoke_r36_10_high_imbalance_seed6202__c6,r36_10_high_imbalance_seed6202,C6,180,33,9,299.22069990569975,299.2206999056997,3.0,3.0,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
smoke,smoke_r36_10_high_imbalance_seed6202__g1,r36_10_high_imbalance_seed6202,G1,180,37,11,308.2701155448804,308.27011554488035,3.0,3.0,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
diagnostic,diagnostic_r36_08_tight_T_seed5102__c6,r36_08_tight_T_seed5102,C6,480,32,8,923.5067531584433,923.5067531584433,3944.0,3944.0,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
diagnostic,diagnostic_r36_08_tight_T_seed5102__g1,r36_08_tight_T_seed5102,G1,480,43,15,893.7906631079657,893.7906631079657,3036.0,3036.0,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
diagnostic,diagnostic_r36_09_round31_sealed_moderate_V50_seed1112848618__c6,r36_09_round31_sealed_moderate_V50_seed1112848618,C6,480,32,8,912.1385499434226,912.1385499434226,2.0,2.0,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
diagnostic,diagnostic_r36_09_round31_sealed_moderate_V50_seed1112848618__g1,r36_09_round31_sealed_moderate_V50_seed1112848618,G1,480,31,7,910.8958233713167,910.8958233713167,1.0,1.0,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
diagnostic,diagnostic_r36_10_high_imbalance_seed6202__c6,r36_10_high_imbalance_seed6202,C6,480,33,9,1131.4087716222182,1131.4087716222182,630.0,630.0,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
diagnostic,diagnostic_r36_10_high_imbalance_seed6202__g1,r36_10_high_imbalance_seed6202,G1,480,37,11,1189.3981847474558,1189.3981847474558,679.0,679.0,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
confirmation,confirmation_r36_08_tight_T_seed5102__c6,r36_08_tight_T_seed5102,C6,900,32,8,1824.6028477288849,1824.6028477288849,8908.0,8908.0,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
confirmation,confirmation_r36_08_tight_T_seed5102__g1,r36_08_tight_T_seed5102,G1,900,43,15,1833.0502956437017,1833.0502956437017,8131.0,8131.0,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
confirmation,confirmation_r36_10_high_imbalance_seed6202__c6,r36_10_high_imbalance_seed6202,C6,900,33,9,2199.094970023667,2199.094970023667,1013.0,1013.0,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
confirmation,confirmation_r36_10_high_imbalance_seed6202__g1,r36_10_high_imbalance_seed6202,G1,900,37,11,2207.5591222465414,2207.5591222465414,1097.0,1097.0,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
