panel_ordinal,panel_row_id,instance_id,V,M,scenario,common_verified_ub,c6_valid_lb,g1_valid_lb,c6_common_ub_gap,g1_common_ub_gap,g1_gap_improvement,outcome,c6_strict,g1_strict,certificate_regression,pilot_all_initial_lps_complete,pilot_initial_lp_count,expected_weakest_leaf,reported_weakest_leaf,weakest_cell_reproduced,pilot_exposure,pilot_prefinement_count,pilot_parent_lp_bound,pilot_post_split_bound,pilot_absolute_bound_gain,pilot_normalized_bound_gain,common_exact_window_seconds,c6_mean_common_gap_auc,g1_mean_common_gap_auc,g1_auc_improvement,c6_sequence_sha256,g1_sequence_sha256,c6_work_descriptive,g1_work_descriptive,c6_nodes_descriptive,g1_nodes_descriptive
1,r36_01_V12_M1,V12_M1,12,1,v12,0.3572005832084155,0.3572005832084145,0.3572005832084145,2.797309884512809e-15,2.797309884512809e-15,0.0,tie,True,True,False,True,4,L1,L1,True,True,1,0.2772609693609563,0.2929612572872057,0.01570028792624939,0.1964018484778858,23.6138417,0.0727039105813406,0.0752098611774919,-0.0025059505961513018,b068e711c9f5027ef03ad68606792d845c993e57321f647f7bb39a36bee9fcbe,1f6aa99b370859ccfea1b1b3ed68cf13a7ad05e410152f5848e6950fb18c0760,35.46318543974309,35.7743793018859,5867.0,5867.0
2,r36_02_V12_M2,V12_M2,12,2,v12,0.7185040707549709,0.7185040707549673,0.7185040707549673,5.099116526108658e-15,5.099116526108658e-15,0.0,tie,True,True,False,True,4,L2,L2,True,True,1,0.5895633367483878,0.595216516279601,0.005653179531213248,0.043843239878909195,117.2771754,0.08573738653287863,0.08592161613058125,-0.0001842295977026176,c9df2db831353a9db13c3ae4a6856b02f4496e0710799a738138edf8ff34ba58,a15e2563d31cb5832d7f7ed1ddfc8082f5f1b34773e9aeb528e657df0d2b3c75,219.71345731112058,219.71345731112058,2107.0,2107.0
4,r36_04_round32_multi_m_tight_T_V20_M2_seed89001413,round32_multi_m_tight_T_V20_M2_seed89001413,20,2,tight_T,0.33993609699240646,0.33993609633698973,0.33993609633698973,1.9280586165897106e-09,1.9280586165897106e-09,0.0,tie,True,True,False,True,4,L1,L1,True,True,1,0.1566135865454137,0.17379180329874633,0.017178216753332615,0.09370489587692862,131.8599896,0.08639612355898972,0.0855170328997342,0.0008790906592555242,03529275dc4ad2ecf9a1fc2fad330501cf6fde8d0e71fc833d9ee758c7a0dfc3,637e2a2bddbc3216c881e8cd9838be13aeebb6b34331121b1d7c2e4fc2f13e4e,225.66341762426467,226.25550894765118,8861.0,8862.0
8,r36_08_tight_T_seed5102,tight_T_seed5102,20,3,tight_T,0.3623546627845846,0.28917631309429254,0.31644634456648246,0.20195227826775808,0.12669443209398987,0.07525784617376821,g1_improves,False,False,False,True,4,L1,L1,True,True,1,0.20682410371683468,0.20843292656852036,0.0016088228516856762,0.010344094828237995,147.6130191,0.20790908467954872,0.14270045059032962,0.06520863408921909,e721afc8b69834a035915b657a8822b22031776f35c009f5b267e86fb25f666f,bb90f4d35cf76253c16fda32db84cf3cc0aa1279186159fc3583c072ddcbcfa8,263.69236251835093,244.1163666248246,804.0,665.0
9,r36_09_round31_sealed_moderate_V50_seed1112848618,round31_sealed_moderate_V50_seed1112848618,50,3,moderate,0.6874838397370203,0.17187095993425508,0.17187095993425508,0.75,0.75,0.0,tie,False,False,False,False,1,L1,,False,False,0,0.0,0.0,0.0,0.0,11.6892512,0.9769748211074462,0.9746508313552197,0.002323989752226474,c2742294552e8a893898ad3be3efff93c66e6dd68632cc03767d569385a84181,3d6af0e0c741d2143f0c622126e8c33fc0df6d8013c332e747e56ea2f929ac66,33.355344316103036,31.958452673500283,0.0,0.0
10,r36_10_high_imbalance_seed6202,high_imbalance_seed6202,50,3,high_imbalance,9.729588251536905,8.191699928419316,7.909894409896645,0.15806304268576427,0.18702680880178227,-0.028963766116018003,g1_regresses,False,False,False,True,4,L2,L2,True,True,1,7.407009003484954,7.461555638889693,0.05454663540473881,0.023485371037603762,143.6885431,0.2993731580075139,0.316747964816386,-0.0173748068088721,5012da41d84dfe0cc1f0dc005ee8a879c610cec32ab246afdd3a7ab3445d68e3,32a53afbd9fd7bddd9aa0ce8de15d3d37f051a335c081fdf5ce200041a547091,299.2206999056997,308.27011554488035,3.0,3.0
