panel_ordinal,panel_row_id,instance_id,path,instance_sha256,V,M,scenario,round35_pattern,round36_geometry_causal_outcome,round36_stage_c_bw_p_vs_c6_outcome,weakest_initial_cell_index,selection_reason
1,r36_01_V12_M1,V12_M1,reference/regen_candidate_V12_M1_average.txt,e395cfef336d3407a65f04d7e201aa29ac844a08aff25d1991ce6983e5e9508d,12,1,v12,3_simple_ub_weaker_exact_phase_faster,left_win,tie,1,mandatory_all_v12
2,r36_02_V12_M2,V12_M2,reference/regen_candidate_V12_M2_average.txt,0bb0416cc9540fffbb91299d5c9ed3d6c2363906424005b1c40b4e3829ddf4f0,12,2,v12,3_simple_ub_weaker_exact_phase_faster,right_win,tie,2,mandatory_all_v12
4,r36_04_round32_multi_m_tight_T_V20_M2_seed89001413,round32_multi_m_tight_T_V20_M2_seed89001413,reference/qualification_round32/V20_M2/round32_multi_m_tight_T_V20_M2_seed89001413.txt,7d93488c5d6542e44945ce30eeab5315cc80e1cdb653198a4db399bb1d55b759,20,2,tight_T,4_simple_ub_weaker_exact_phase_slower,left_win,candidate_win,1,round36_stage_c_candidate_win_regime
6,r36_06_moderate_seed5301,moderate_seed5301,reference/heldout_round26/V20_M3/moderate_seed5301.txt,7d1b9e36dec1a5389d2d76af66c9476e642fac496530154bd4418e2082e5d0a5,20,3,moderate,3_simple_ub_weaker_exact_phase_faster,right_win,candidate_win,0,round36_stage_c_candidate_win_regime
7,r36_07_high_imbalance_seed5203,high_imbalance_seed5203,reference/heldout_round26/V20_M3/high_imbalance_seed5203.txt,261a4e276df0a95d5ade89f6067b3451fa74650a70970cfa27248c4884f29761,20,3,high_imbalance,3_simple_ub_weaker_exact_phase_faster,left_win,tie,2,high_imbalance_largest_baseline_split_stress
8,r36_08_tight_T_seed5102,tight_T_seed5102,reference/heldout_round26/V20_M3/tight_T_seed5102.txt,7c6d264827a64fc1da476a350f4312c947f27c94ba1b7cf775347fdd407363d5,20,3,tight_T,3_simple_ub_weaker_exact_phase_faster,left_win,comparator_win,1,round36_stage_c_v20_comparator_win_regression
9,r36_09_round31_sealed_moderate_V50_seed1112848618,round31_sealed_moderate_V50_seed1112848618,reference/heldout_round31/V50_M3/round31_sealed_moderate_V50_seed1112848618.txt,14645ca5ea5fd88739a4d6632fdd986b574baeb1fc2706a261e36cf8bf61ce9b,50,3,moderate,5_simple_certification_or_final_gap_regression,left_win,comparator_win,1,mandatory_all_v50
10,r36_10_high_imbalance_seed6202,high_imbalance_seed6202,reference/heldout_round26/V50_M3/high_imbalance_seed6202.txt,dc638980e691c1e5a0db8863194d2c961c9548923de05ea66613c11a7b8542ba,50,3,high_imbalance,5_simple_certification_or_final_gap_regression,right_win,tie,2,mandatory_all_v50
11,r36_11_tight_T_seed6102,tight_T_seed6102,reference/heldout_round26/V50_M3/tight_T_seed6102.txt,62ed13533967116ca5cb0f3d3e8c4b984900b8aa11306aa6bb20a1aa6584e16c,50,3,tight_T,5_simple_certification_or_final_gap_regression,left_win,comparator_win,1,mandatory_all_v50
12,r36_12_round32_multi_m_moderate_V50_M4_seed721910669,round32_multi_m_moderate_V50_M4_seed721910669,reference/qualification_round32/V50_M4/round32_multi_m_moderate_V50_M4_seed721910669.txt,8eec8b89c4c4f3ca6a36c0777b1403912bcfa0509870afaccddda5c7ffcfae0e,50,4,moderate,5_simple_certification_or_final_gap_regression,left_win,comparator_win,1,mandatory_all_v50
13,r36_13_moderate_seed4302,moderate_seed4302,reference/heldout_round22/V20_M3/moderate_seed4302.txt,ce1aaed9987b1d34c665df323f602ca36223eab6da3bffd73c0ead4f78d936a7,20,3,moderate,2_simple_ub_weaker_exact_phase_similar,left_win,tie,0,unique_round35_pattern2_moderate_witness
14,r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459,round32_multi_m_high_imbalance_V20_M2_seed1052706459,reference/qualification_round32/V20_M2/round32_multi_m_high_imbalance_V20_M2_seed1052706459.txt,4cda9b09c2d0253145e931d7c5a3c317376aca12b040446c3b2db5d8f0bbbb1f,20,2,high_imbalance,1_simple_ub_not_weaker_simple_faster,right_win,tie,2,no_geometry_exposure_fast_negative_control
