panel_ordinal,panel_row_id,instance_id,path,instance_sha256,V,M,scenario,round35_pattern,proof_upper,weakest_initial_cell_index,weakest_initial_cell_lower,weakest_initial_cell_upper,weakest_initial_cell_width,weakest_initial_lp_bound,weakness_gap_scaled,baseline_actual_splits,baseline_final_common_ub_gap,round36_geometry_exposure,round36_geometry_downstream_changed,round36_geometry_causal_outcome,round36_right_minus_left_proof_auc,round36_stage_c_bw_p_vs_c6_outcome,selected_for_round37_development,selection_reason
1,r36_01_V12_M1,V12_M1,reference/regen_candidate_V12_M1_average.txt,e395cfef336d3407a65f04d7e201aa29ac844a08aff25d1991ce6983e5e9508d,12,1,v12,3_simple_ub_weaker_exact_phase_faster,0.3572005832084155,1,0.08930014580210388,0.17860029160420776,0.08930014580210388,0.2772609693609563,0.07993961384745923,0,2.797309884512809e-15,True,True,left_win,-0.034793107534055775,tie,True,mandatory_all_v12
2,r36_02_V12_M2,V12_M2,reference/regen_candidate_V12_M2_average.txt,0bb0416cc9540fffbb91299d5c9ed3d6c2363906424005b1c40b4e3829ddf4f0,12,2,v12,3_simple_ub_weaker_exact_phase_faster,0.7185040707549709,2,0.35925203537748546,0.5388780530662282,0.1796260176887427,0.5895633367483878,0.12894073400658312,2,5.099116526108658e-15,True,True,right_win,0.026138676248695737,tie,True,mandatory_all_v12
3,r36_03_high_imbalance_seed3202,high_imbalance_seed3202,reference/hard_stress/V20_M3/high_imbalance_seed3202.txt,902f4c46fa076f3e24b537737c5d58ffe833e6de21e900a42bb8846d3f76db50,20,3,high_imbalance,4_simple_ub_weaker_exact_phase_slower,1.7493134520506337,2,0.475,0.7124999999999999,0.23749999999999993,1.5823276849906989,0.09545788770113536,0,7.615945718524238e-16,True,False,left_win,-0.003637521437690237,tie,False,not_selected
4,r36_04_round32_multi_m_tight_T_V20_M2_seed89001413,round32_multi_m_tight_T_V20_M2_seed89001413,reference/qualification_round32/V20_M2/round32_multi_m_tight_T_V20_M2_seed89001413.txt,7d93488c5d6542e44945ce30eeab5315cc80e1cdb653198a4db399bb1d55b759,20,2,tight_T,4_simple_ub_weaker_exact_phase_slower,0.35363892908469974,1,0.08840973227117493,0.17681946454234987,0.08840973227117493,0.1566135865454137,0.19702534253928602,1,1.9280586165897106e-09,True,True,left_win,-0.1268957783521781,candidate_win,True,round36_stage_c_candidate_win_regime
5,r36_05_tight_T_seed5103,tight_T_seed5103,reference/heldout_round26/V20_M3/tight_T_seed5103.txt,96043ed4a57c0596cd1acf7d7028a3b8c9edcbd7610e6d7a5772d55f75c5b528,20,3,tight_T,4_simple_ub_weaker_exact_phase_slower,0.2849628509699851,1,0.07124071274249627,0.14248142548499254,0.07124071274249627,0.13196642219552804,0.15299642877445704,2,1.3666644572788014e-15,True,True,left_win,-0.017367087674629838,tie,False,not_selected
6,r36_06_moderate_seed5301,moderate_seed5301,reference/heldout_round26/V20_M3/moderate_seed5301.txt,7d1b9e36dec1a5389d2d76af66c9476e642fac496530154bd4418e2082e5d0a5,20,3,moderate,3_simple_ub_weaker_exact_phase_faster,0.16885733659692667,0,0.0,0.04221433414923167,0.04221433414923167,0.057144635390030694,0.11171270120689597,0,0.4906119438406776,True,True,right_win,0.1757544511142652,candidate_win,True,round36_stage_c_candidate_win_regime
7,r36_07_high_imbalance_seed5203,high_imbalance_seed5203,reference/heldout_round26/V20_M3/high_imbalance_seed5203.txt,261a4e276df0a95d5ade89f6067b3451fa74650a70970cfa27248c4884f29761,20,3,high_imbalance,3_simple_ub_weaker_exact_phase_faster,2.3524097575828193,2,0.475,0.7124999999999999,0.23749999999999993,1.9814255024217624,0.1577039263526333,5,5.852197076200602e-15,True,False,left_win,-0.0003741872968379566,tie,True,high_imbalance_largest_baseline_split_stress
8,r36_08_tight_T_seed5102,tight_T_seed5102,reference/heldout_round26/V20_M3/tight_T_seed5102.txt,7c6d264827a64fc1da476a350f4312c947f27c94ba1b7cf775347fdd407363d5,20,3,tight_T,3_simple_ub_weaker_exact_phase_faster,0.3623546627845846,1,0.09058866569614615,0.1811773313922923,0.09058866569614615,0.20682410371683468,0.15553055906774993,0,0.05235506215396187,True,True,left_win,0.08236240405906146,comparator_win,True,round36_stage_c_v20_comparator_win_regression
9,r36_09_round31_sealed_moderate_V50_seed1112848618,round31_sealed_moderate_V50_seed1112848618,reference/heldout_round31/V50_M3/round31_sealed_moderate_V50_seed1112848618.txt,14645ca5ea5fd88739a4d6632fdd986b574baeb1fc2706a261e36cf8bf61ce9b,50,3,moderate,5_simple_certification_or_final_gap_regression,0.6874838397370203,1,0.17187095993425508,0.34374191986851016,0.17187095993425508,0.4711447726521601,0.21633906708486023,0,0.08301750811765535,True,True,left_win,-0.06116958153554068,comparator_win,True,mandatory_all_v50
10,r36_10_high_imbalance_seed6202,high_imbalance_seed6202,reference/heldout_round26/V50_M3/high_imbalance_seed6202.txt,dc638980e691c1e5a0db8863194d2c961c9548923de05ea66613c11a7b8542ba,50,3,high_imbalance,5_simple_certification_or_final_gap_regression,9.820664665302525,2,0.49,0.735,0.245,7.407009003484954,0.2457731471419932,0,0.1580542179540433,True,True,right_win,0.00022489675292831552,tie,True,mandatory_all_v50
11,r36_11_tight_T_seed6102,tight_T_seed6102,reference/heldout_round26/V50_M3/tight_T_seed6102.txt,62ed13533967116ca5cb0f3d3e8c4b984900b8aa11306aa6bb20a1aa6584e16c,50,3,tight_T,5_simple_certification_or_final_gap_regression,0.6855974831044359,1,0.17139937077610898,0.34279874155221796,0.17139937077610898,0.48661597140378293,0.19898151170065298,1,0.06949686269252923,True,True,left_win,-0.023751038213907963,comparator_win,True,mandatory_all_v50
12,r36_12_round32_multi_m_moderate_V50_M4_seed721910669,round32_multi_m_moderate_V50_M4_seed721910669,reference/qualification_round32/V50_M4/round32_multi_m_moderate_V50_M4_seed721910669.txt,8eec8b89c4c4f3ca6a36c0777b1403912bcfa0509870afaccddda5c7ffcfae0e,50,4,moderate,5_simple_certification_or_final_gap_regression,0.40669239072992647,1,0.10167309768248162,0.20334619536496323,0.10167309768248162,0.2654568439729791,0.14123554675694738,0,0.18401615665242374,True,True,left_win,-0.02235486353677033,comparator_win,True,mandatory_all_v50
13,r36_13_moderate_seed4302,moderate_seed4302,reference/heldout_round22/V20_M3/moderate_seed4302.txt,ce1aaed9987b1d34c665df323f602ca36223eab6da3bffd73c0ead4f78d936a7,20,3,moderate,2_simple_ub_weaker_exact_phase_similar,0.04854285887126694,0,0.0,0.012135714717816735,0.012135714717816735,0.0,0.04854285887126694,0,4.653871638179039e-16,True,True,left_win,-0.012793941003905192,tie,True,unique_round35_pattern2_moderate_witness
14,r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459,round32_multi_m_high_imbalance_V20_M2_seed1052706459,reference/qualification_round32/V20_M2/round32_multi_m_high_imbalance_V20_M2_seed1052706459.txt,4cda9b09c2d0253145e931d7c5a3c317376aca12b040446c3b2db5d8f0bbbb1f,20,2,high_imbalance,1_simple_ub_not_weaker_simple_faster,4.356924112605589,2,0.475,0.7124999999999999,0.23749999999999993,4.243094555303086,0.026126128057444825,3,0.0,False,False,right_win,0.04626639511297465,tie,True,no_geometry_exposure_fast_negative_control
